id,created_at,text
1477973243076173824,2022-01-03 12:00:55+00:00,"Would you like to be part of improving access to excellent oral care, particularly in low and middle-income countries? We are recruiting dental fellows and members for a brand new Global Oral Health Committee @RCSnews. Find out more and apply by 31 January https://t.co/17AZHRuDWt https://t.co/jv0SvKxtYe"
1476856918136143872,2021-12-31 10:05:02+00:00,"#Omicron has increased uncertainties for dentists and their teams, and added huge pressure onto the NHS. Ask your questions to @Matthew_RCSEng and the Deans of the Dental Faculties at our latest intercollegiate webinar on 25 January. Register today: https://t.co/wPQXTLybxn https://t.co/rZzpnZBxQ8"
1476523666313732098,2021-12-30 12:00:49+00:00,How can we improve the delivery of care in oral surgery? Join us on Wednesday 26 January to learn more about Managed Clinical Networks and the importance of improving data quality as part of a series of webinars we are hosting with @NHSGIRFT https://t.co/kk2fHrFTGl https://t.co/1ZLxjHANlf
1476134661189423107,2021-12-29 10:15:03+00:00,Learn about the implications of human factors on patient safety and much more on our Joint Paediatric-Orthodontic Course in collaboration with @bspduk and @BOSbraces. Limited spaces remain for our next session on Friday 21 January: https://t.co/l507P6zqYm https://t.co/BZ8JgQHK89
1474681457838858243,2021-12-25 10:00:32+00:00,"Dean @Matthew_RCSEng and FDS Registrar, Hazel, are shown here enjoying a socially distanced drink earlier this month to mark the end of another challenging year! Merry Christmas and Happy New Year to all of our fellows and members from everyone at the Faculty 🌟 https://t.co/z1xunVzc6L"
1473594279113248775,2021-12-22 10:00:28+00:00,"Find out how @NHSGIRFT's recommendations can lead to better quality data in restorative dentistry, helping to measure clinical outcomes, assure quality and support workforce planning in the first of our series of webinars on 19 January: https://t.co/pxBexDXCfo https://t.co/hiwg17ZAjt"
1473272805840064518,2021-12-21 12:43:03+00:00,"We’re excited to be hosting a series of webinars in early 2022 with @NHSGIRFT. Join us to learn more about restorative dentistry, oral surgery and improving service delivery and care for children: https://t.co/2dZJe2FRbx https://t.co/pFIriu57rr"
1468898413953568772,2021-12-09 11:00:47+00:00,Throwback to last month when the FDS Board met face to face for the first time since January 2020. We look forward to welcoming more members and fellows into our newly refurbished home in 2022! https://t.co/cgBOCW2eXm
1467826406650429441,2021-12-06 12:01:00+00:00,We are looking for a new National Specialty Advisor in Dental Public Health. Our Specialty Advisors work with the Faculty Regional Advisor to provide specialty-specific advice to local individuals and groups. Find out more and apply: https://t.co/VvVIMZpbqq https://t.co/nu1vRxLLKi
1466359398507462657,2021-12-02 10:51:38+00:00,"Chief Dental Officer, Sara Hurley, and National Lead for Dental Public Health, Anna Ireland, have issued an update to the dental profession with a special focus on mouth cancer prevention. Read the update online now: https://t.co/R3VkUQYGyp"
1466346559558270982,2021-12-02 10:00:37+00:00,Last chance to register for our virtual Core CPD course! Join us tomorrow to ensure you are up to date on all core subjects as set out by @GDC_UK. Covering everything from disinfection and decontamination to legal and ethical issues. Find out more: https://t.co/ucbI3FBPVg https://t.co/8D3A631C77
1465741127286288385,2021-11-30 17:54:51+00:00,There's still time to register for tomorrow night's @NHSEngland webinar on the latest IPC and SOP changes. Sara Hurley CDO will update dental care professionals on what the changes mean for the delivery of primary care dentistry from 7-8pm: https://t.co/cuX8t6B9Kd
1465636849259532294,2021-11-30 11:00:29+00:00,"Keep up with your professional development and join us virtually for our Core CPD course on 3 December. We will be covering a wide range of subjects, including; medical emergencies, radiography and radiation protection, and early detection of oral cancer. https://t.co/ucbI3FBPVg https://t.co/g0SonNOcqA"
1456597949119614977,2021-11-05 12:23:08+00:00,All staff working in the delivery of primary care services can access individual coaching with a skilled and experienced coach through the NHS' #LookingAfterYou offer. Access their new coaching on looking after your career today: https://t.co/fFzpZgOUmj https://t.co/jmqdaVjc9p
1456199694300950533,2021-11-04 10:00:36+00:00,"Don't forget! The deadline to apply for the Emerging Leaders programme is fast approaching. Develop your leadership style, build confidence and learn from colleagues and mentors. Eligible FDS members who are women should apply by Sunday 7 November. https://t.co/iUnA6daaAC https://t.co/zSTL4PStup"
1456184530944118788,2021-11-04 09:00:21+00:00,Happy #Diwali to all those celebrating today! We hope the festival of lights brings you happiness and prosperity. https://t.co/BSaOTHqWVP
1455097422326214662,2021-11-01 09:00:34+00:00,"Spend a year training in research! If you are a clinical trainee, you can apply for our Dental Research Fellowship and train in any area of oral or dental research. Find out more and start your application today: https://t.co/sKXI5ZJS8X https://t.co/mPLcrAeEVS"
1454411519840735237,2021-10-30 11:35:02+00:00,#HappyHalloween! Trick or treating needn’t spoil children’s teeth. Here are six tips from our Dean @Matthew_RCSEng on keeping teeth healthy: https://t.co/9vBWuPTCBJ https://t.co/94ESQZP0gg
1453315628350246924,2021-10-27 11:00:21+00:00,"It's #WorldSustainabilityDay! Did you know a single operating theatre can produce 814kg of CO2? That's why we are working to make surgery more sustainable, while still improving standards of clinical care. Because saving a patient shouldn't cost the earth: https://t.co/P7fX3exa7e https://t.co/fMEEiS2J8O"
1451465904856961024,2021-10-22 08:30:13+00:00,"The FDS Pump-Priming Grant Scheme is now accepting applications for a variety of grants of up to £10,000. Learn more about the available opportunities and eligibility and submit your application by Wednesday 27 October. https://t.co/zJmS3rbddQ https://t.co/rl0C1QIzmx"
1451141339559731200,2021-10-21 11:00:30+00:00,"Did you know October is National #DentalHygieneMonth? Thank you to the whole dental team for helping us maintain good oral health, which plays a huge role in both our physical and mental wellbeing. You keep our smiles bright! https://t.co/O4IUcTP4uE"
1449306658669223942,2021-10-16 09:30:08+00:00,"Together with @SAADuk, @bspduk, @BAOS_UK, @Gerodontology and more, we have developed a range of grants of up to £10,000 each. Learn more about the available opportunities and submit an application by 27 October. https://t.co/STPqu25V5W https://t.co/1HosPDFa48"
1448234605119692801,2021-10-13 10:30:11+00:00,"We have a range of pump-priming grants of up to £10,000 available to FDS fellows and members in a variety of fields. Find out more on the available opportunities and submit your application by 27 October. https://t.co/nkWrbFkb7F https://t.co/iMeNPTVIhj"
1446807979228078080,2021-10-09 12:01:17+00:00,"Find out how the MFDS is structured, where it can be taken and what the benefits of FDS membership include at our upcoming webinar on 12 October. We'll explain more about the new gold standard dental qualification and how it can support your future career: https://t.co/91tHebKWdh https://t.co/kJ4vKrB15v"
1446430300284887043,2021-10-08 11:00:31+00:00,Is teledentistry here to stay? Arya et al discuss the benefits and challenges of virtual  dental clinics in the latest issue of the FDJ. Read in full: https://t.co/LXUQ1rT4kE https://t.co/YonuadhnvZ
1445388870699339780,2021-10-05 14:02:15+00:00,"Together with a number of organisations, such as @BOSbraces,  @BAOS_UK, @Gerodontology and @bspduk, we have developed research fellowships and pump-priming grants for a variety of specialties. Find out more and apply: https://t.co/ToWnqIFnDU https://t.co/rSwUrPybAR"
1443966708130197506,2021-10-01 15:51:05+00:00,"Today is #WorldSmileDay! Your smile not only shows off your excellent oral health, it's good for your mental health too. What made you smile today? https://t.co/0NGEeWi8Hi"
1443855732269592577,2021-10-01 08:30:06+00:00,"In October’s issue of the FDJ, authors explore how the #COVID19 pandemic has affected dental students and trainees, and whether teledentistry is here to stay. Read the full issue here: https://t.co/PPfxy1COjS https://t.co/bGCDnYnfI1"
