id,created_at,text
1477942816999366656,2022-01-03 10:00:01+00:00,"📣FICMCRW is seeking a new SAS members📣

If you have an interest in careers advice, wellbeing support, training and recruitment, or workforce, we would love to hear from you!

🟠1 week left to apply!
🟠Full details 👉https://t.co/oSwZvLM1Ew
🟠Questions: contact@ficm.ac.uk https://t.co/yZZBrnxP56"
1477720583135805440,2022-01-02 19:16:56+00:00,👏👏Congratulations @RPMahajan Fantastic News!👏👏 https://t.co/nS7zhqUcC3
1475406098358173697,2021-12-27 10:00:00+00:00,"📣FICMCRW is seeking a new SAS members📣

If you have an interest in careers advice, wellbeing support, training and recruitment, or workforce, we would love to hear from you!

🟠2 weeks left to apply!
🟠Full details 👉https://t.co/oSwZvLuqfW
🟠Questions: contact@ficm.ac.uk https://t.co/eDjkpT4rtN"
1474666228224434177,2021-12-25 09:00:01+00:00,"🎄🌟Happy Christmas from everyone at FICM🎄🌟

Thank you to everyone working today and over the rest of the season to keep critical care 24/7. https://t.co/iLTbKOQutx"
1474349140255645710,2021-12-24 12:00:01+00:00,The Dean's Digest newsletter has been sent to our Fellows and Members. Check your inbox for the December edition. https://t.co/Xdfie8ffiU
1474342401208725509,2021-12-24 11:33:15+00:00,"Our Vice-Dean, @DannytheBaker's article in The Times: 'We're seeing COVID Deaths that could be avoided'
We urge the public to: 
💉get their vaccines &amp; booster jabs
😷wear masks
🏠work from home if possible
https://t.co/ri0GFX7uqc"
1474021814196178944,2021-12-23 14:19:21+00:00,"𝗙𝗙𝗜𝗖𝗠 𝗘𝘅𝗮𝗺𝗶𝗻𝗮𝘁𝗶𝗼𝗻 𝗨𝗽𝗱𝗮𝘁𝗲 - 23 December 2021
🟠Conversations and next steps with the GMC
🟠Discussions with the RCoA
🟠The April 2022 examination
🟠Further information
Read more 👉https://t.co/NdCYPolkfT https://t.co/eXAXELyM1X"
1473972419232735240,2021-12-23 11:03:04+00:00,"A fabulous WICM blog to finish December with!

The WICM blog and the #FICMLearning blogs, podcast, cases of the month and webinars will be back in the New Year with more #FOAMed 🎧🖊️📚🖥️ https://t.co/bVO9h5BONL"
1471544260998610946,2021-12-16 18:14:26+00:00,@dr_harvie @ChambersrRob @UHSFT @UHS_CritCare Thank you for taking part!
1471480239217774592,2021-12-16 14:00:02+00:00,"📣FICMCRW is seeking a new SAS members📣

If you have an interest in careers advice, wellbeing support, training and recruitment, or workforce, we would love to hear from you!

🟠Deadline 10 Jan 2022 9am
🟠Full details 👉https://t.co/oSwZvLuqfW
🟠Questions: contact@ficm.ac.uk https://t.co/3oBdPaEyIZ"
1471451830676692993,2021-12-16 12:07:09+00:00,If you are a FICM registered ACCP Trainee or ACCP Member and have not received your email seeking your opinion please get in touch with us at contact@ficm.ac.uk and we will rectify this.
1471451827791138817,2021-12-16 12:07:08+00:00,"Poll for ACCPs who are not currently members of or registered with FICM, regarding ongoing engagement with MAPs programme

🟣Deadline 10 Jan 2022, 12pm
👉https://t.co/kcsyD3z08u

All our ACCP members &amp; registered ACCP trainees have been emailed to seek their views on this topic. https://t.co/PUxjepaYoI"
1471434938453053441,2021-12-16 11:00:01+00:00,"The latest #FICMLearning podcast is out now!

𝗣𝗮𝗹𝗹𝗶𝗮𝘁𝗶𝘃𝗲 𝗖𝗮𝗿𝗲 𝗶𝗻 𝗜𝗻𝘁𝗲𝗻𝘀𝗶𝘃𝗲 𝗖𝗮𝗿𝗲 is a 2 episode mini series, speaking to:
🔊Dr Carol Davies
🔊Dr David Harvie
🔊Dr Rob Chambers 

Both episodes are available now👉https://t.co/TB9YBYSg4r

#FOAMed https://t.co/FWEd3ihIaB"
1470755603572305920,2021-12-14 14:00:35+00:00,"This Thursday our #FICMLearning Podcast will focus on Palliative Care in Intensive Care featuring:
 
🔊Dr Carol Davies, Consultant in Palliative Medicine
🔊Dr David Harvie, Higher Trainee in Anaesthetics &amp; ICM
🔊Dr Rob Chambers Consultant in ICM

Hit play to hear a sneak peek! https://t.co/LM0tSJEU2B"
1469293317091467265,2021-12-10 13:09:59+00:00,"FICM &amp; @RCoANews voice our support for introducing new measures to help combat the risks of the Omicron variant to protect your loved ones &amp; the NHS. 
👉https://t.co/xiWHTdE76z
We urge the public to: 
💉get their vaccines &amp; booster jabs
😷wear masks
 🏠work from home if possible https://t.co/LElUnwZKg2"
1468988238585028608,2021-12-09 16:57:43+00:00,"We are continuing to engage with stakeholders regarding the FFICM exam and are seeking your input on expanding and improving exam resources for candidates. Latest update here: 
https://t.co/2xawfFecfa"
1468925623645216777,2021-12-09 12:48:54+00:00,"📣FICMCRW is seeking a new SAS members📣

If you have an interest in careers advice, wellbeing support, training and recruitment, or workforce, we would love to hear from you!

🟠Deadline 10 Jan 2022 9am
🟠Full details 👉https://t.co/oSwZvLM1Ew
🟠Questions: contact@ficm.ac.uk https://t.co/sR5TyzhsBo"
1468898217454714880,2021-12-09 11:00:00+00:00,"This week's #FICMLearning content is an excellent webinar Dr Annemarie Docherty @abdocherty79 
on ISARIC4C: Lessons from &gt;200000 in-hospital patients with COVID-19

Originally presented at at our 2021 ACCP Conference
👉https://t.co/FEm1WW7GRd

#FOAMed https://t.co/37SHX2gkKn"
1466087548531490819,2021-12-01 16:51:24+00:00,"🚨𝐔𝐩𝐝𝐚𝐭𝐞 𝐭𝐨 𝐈𝐂𝐌 𝐏𝐞𝐫𝐬𝐨𝐧 𝐒𝐩𝐞𝐜𝐢𝐟𝐢𝐜𝐚𝐭𝐢𝐨𝐧 𝐟𝐨𝐫 𝐍𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐑𝐞𝐜𝐫𝐮𝐢𝐭𝐦𝐞𝐧𝐭 𝟐𝟎𝟐𝟐🚨
Please be aware of a necessary update to the ICM Person Specification. For further details: https://t.co/1MERe7P4iM"
1465984024632037379,2021-12-01 10:00:02+00:00,"The ICS  @ICS_updates and FICM are pleased to share the GPICS V2 Audit toolkit 🔧

🟠Deadline for audit submissions: 28 February 2022
🟠More info &amp; related documents👉https://t.co/Ig5YOXWuk7
🟠Send submissions to info@ics.ac.uk https://t.co/0QGsJYhMDt"
