id,created_at,text,scores,compound
1477955647870283777,2022-01-03 10:51:00+00:00,"DEVELOP YOUR SKILLS The Diploma in Occupational Medicine is designed for medical practitioners who are working part-time in occupational medicine or have an interest in the speciality. It's most frequently taken by general practitioners.  

👉Find out more https://t.co/yGA1LsnFVd https://t.co/zGej9VuWh4","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.4588}",0.4588
1477592001797312514,2022-01-02 10:46:00+00:00,"We are one of the designated bodies managing the revalidation of doctors working in occupational medicine. This process usually takes place every five years &amp; the Faculty has a Responsible Officer who makes recommendations to the @gmcuk.

More details:
👉 https://t.co/gvsSWrcxJL https://t.co/gKWhecl07q","{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.3182}",0.3182
1476502070194700289,2021-12-30 10:35:00+00:00,"CHOOSE OCCUPATIONAL MEDICINE 
&gt; We manage the specialty training alongside the National School of Occupational Health  
&gt; We set the exams &amp; assessments for Specialty Registrars  
&gt; We make the recommendation for specialist registration  
Find out more:
👉 https://t.co/sycu6sRwpP https://t.co/PIlNi3IjMz","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1475816301729771520,2021-12-28 13:10:00+00:00,"We set the standards for occupational medicine.

Find out more:
👉 https://t.co/AFziltGlcg https://t.co/GJ98oryrbG","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1475407105595265027,2021-12-27 10:04:00+00:00,"FOM MEMBER BENEFITS These can include access to OVID, a search portal to more than 100 million health resources, ethics guidance and regular newsletter updates.

👉 Access OVID https://t.co/k520KjX2BR
👉 Benefits of membership https://t.co/CSf5sclKUy https://t.co/vkh3uMVH8R","{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.7125}",0.7125
1471154178827427841,2021-12-15 16:24:23+00:00,"Members will now be receiving their latest newsletter. In this edition @FomPresident discusses the Omicron variant and meeting the new Deputy CMO and joint lead of the Office for Health Improvement and Disparity, Dr Jeanelle de Gruchy. 
Check your inboxes 📨 https://t.co/aSUU4w53eH","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.4588}",0.4588
1466731440243048448,2021-12-03 11:30:00+00:00,"FREE STUDENT MEMBERSHIP All undergraduate medical students &amp; foundation year doctors can become members of the Faculty for free.
&gt; Specialty updates via our newsletter
&gt; Free CPD events &amp; discounted conference fees 
&gt; Faculty annual prizes &amp; awards
JOIN: https://t.co/kNj2oUrCXb https://t.co/SMGxMn7erR","{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.9626}",0.9626
1466353953046675465,2021-12-02 10:30:00+00:00,"AVIATION MEDICINE Develop your career with the faculty’s Diploma in Aviation Medicine that is designed for medical practitioners who wish to practise aviation medicine such as Flight Medical Officers. 
Find out more: https://t.co/I1MLxQLhig https://t.co/Eq3pqcu26j","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.4019}",0.4019
1466000372103790592,2021-12-01 11:05:00+00:00,"DEVELOP YOUR SKILLS The Diploma in Occupational Medicine is designed for medical practitioners who are working part-time in occupational medicine or have an interest in the speciality. It is most frequently taken by general practitioners.  
Find out more: https://t.co/yGA1LsnFVd https://t.co/yxK3ABZst7","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.4588}",0.4588
1465724835045294083,2021-11-30 16:50:07+00:00,"Members will now be receiving their latest newsletter. In this edition @FomPresident discusses the new Omicron Covid variant and the high-level talks regarding expanding the workforce. We are also inviting applications for two Chief Examiner roles. 
Check your inboxes 📨 https://t.co/w5CPwloikc","{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.3182}",0.3182
1463899283783098375,2021-11-25 15:56:01+00:00,@m007_MA @RCPhysicians Hi - there are no current plans for remote access to the Awards,"{'neg': 0.128, 'neu': 0.698, 'pos': 0.174, 'compound': 0.2023}",0.2023
