id,created_at,text
1477233466676850696,2022-01-01 11:01:18+00:00,"Many congratulations to FPH President Elect @ProfKevinFenton and other FPH Fellows including @CMO_England @CMOWales @DrGregorSmith, Jonathan Van Tam and Jenny Harries @UKHSA for their richly deserved recognition #NewYearHonours"
1472934293437661185,2021-12-20 14:17:56+00:00,"In this interview with @TheBMA's @TheDrMagazine, FPH President @MaggieRae20 discusses the impact of the COVID-19 pandemic and organisational restructuring on the public health workforce https://t.co/ygOrHVvswn"
1471472631597645832,2021-12-16 13:29:48+00:00,FPH President @MaggieRae20 is grateful to @BMJ_latest  for publishing this new article. The Omicron variant reminds us that to tackle COVID-19 we need coordinated international action based on principles of equity https://t.co/p5mHkRgjo8
1469991439811624960,2021-12-12 11:24:05+00:00,"Our call to pilot Overdose Prevention Centres, supported by 70 health and care organisations, has been published in today’s Observer. Government must listen to the evidence and support a pilot of OPCs to protect health and save lives https://t.co/PlmBfnpPeP"
1469947720840491008,2021-12-12 08:30:21+00:00,"FPH have led this call for Government to pilot Overdose Prevention Centres, signed by 70 health and care organisations. With drug deaths at their highest since records began we must implement all available evidence-based interventions to save lives
https://t.co/vy4T8Rls4O"
1469260319218356228,2021-12-10 10:58:52+00:00,Proposals close today at 5pm GMT for FPH Fellows to nominate outstanding individuals working in the UK or internationally for Distinction or Honorary grades of membership. Nominees may work outside of typical public health settings https://t.co/dLdOB0rAVa
1468599247142543369,2021-12-08 15:12:00+00:00,"FPH’s Climate and Health Committee have guest edited @R_S_P_H's Perspectives in Public Health focusing on Climate Change and Health: Tackling Global Inequalities. Co-edited by FPH President @MaggieRae20, Prof Selena Gray, Prof Diarmuid O’ Donovan, @heljoh2 https://t.co/RSUyYoW8WU"
1468210686832562178,2021-12-07 13:28:00+00:00,FPH President @MaggieRae20 joins @TracyD_PH to discuss learning from the COVID-19 pandemic and the future of outbreak management at today's @LGANews webinar https://t.co/7COV8VkWo7
1468174003646910468,2021-12-07 11:02:14+00:00,"Today is our Faculty of Public Health in Scotland AGM. Thank you Dr. Julie Cavanagh for your leadership of CFPHS, and all our members in Scotland for working with the Faculty over the past year to protect and improve the health of the populations you serve @MaggieRae20 https://t.co/CMR0iJl2wO"
1466811809575415810,2021-12-03 16:49:22+00:00,"Tomorrow @thackraymuseum are hosting the latest edition of their Insights Lecture Series on health inequalities. Featuring talks from @ProfKEPickett, @ProfRGWilkinson and @coreen_anne. More info and booking online here: https://t.co/UoKvUbhjMK"
1466757349197205510,2021-12-03 13:12:57+00:00,Proposals are currently open for FPH Fellows to nominate outstanding individuals working in the UK or internationally for Distinction membership. Proposals close on 10 December 2021. Nominees may work outside of typical public health settings https://t.co/dLdOB0rAVa
1466712896780615688,2021-12-03 10:16:19+00:00,"FPH President @MaggieRae20 speaks at today's @LSEnews European Health Policy Group meeting on the impacts of digitalisation on population health. New technologies offer great opportunities to promote health, but we must have proper governance https://t.co/0DYCtvSTXb"
1466453242016157712,2021-12-02 17:04:32+00:00,"Voting is currently open for the election of FPH's next President, Vice President and three General Board Members. If you are an FPH member and have not yet received an email regarding this please contact fphelections@fph.org.uk or DM us"
1466379703988756482,2021-12-02 12:12:20+00:00,"Speaking at today's #YearAheadConference, FPH President @MaggieRae20 discussed the importance of Environmental Health and the future of the Public Health system, including the structural and resourcing arrangements needed to deliver #BetterHealthForAll https://t.co/fAdwXlPPIk"
1466378889836605443,2021-12-02 12:09:05+00:00,Good brain health must be promoted throughout the life course to prevent ill-health. FPH are pleased to join @AlzResearchUK as signatories of the Brain Health Consensus Statement https://t.co/zeS58I4Ql0
1465997627347116040,2021-12-01 10:54:05+00:00,"This #WorldAIDSDay we remember the 7.7million people who have lost their lives to AIDS this decade. Whilst PrEP and other developments have advanced treatment and prevention of HIV/AIDS, we must continue to tackle global inequalities to prevent deaths and #endAIDS"
1465311006507343875,2021-11-29 13:25:42+00:00,The new Omicron variant of COVID-19 reinforces the need for global vaccine equity. Read this statement from over 200 public health professionals urging further action to deliver global access to COVID-19 vaccination https://t.co/bXATmiLMzR
1464241571877031941,2021-11-26 14:36:09+00:00,Primary Care and Public Health specialists are uniquely placed to support each other in reducing health inequalities and delivering better health for all. Read this @BMJ_latest article co-authored by FPH President @MaggieRae20 and Chair @RCGP @MartinRCGP https://t.co/lEKbPQgRwe
1464232636784775170,2021-11-26 14:00:39+00:00,This new report from @IPPR finds that the NHS migrant charging system is 'unfit for purpose'. It has never been so important to remove barriers to accessing care and support #BetterHealthforAll https://t.co/9X80XJvXUi
1463898432234471424,2021-11-25 15:52:38+00:00,"Joining @GeriSoc for their virtual conference, FPH President @MaggieRae20 examines the health inequalities facing older populations and how we can work together to tackle these challenges https://t.co/h1s0VeLcz0"
1463884458646454277,2021-11-25 14:57:07+00:00,"Speaking at yesterday's @UWEBristol and @WEAHSN's joint event on the impact of COVID-19 on the future delivery of care, FPH President @MaggieRae20 discussed how the public health system has evolved during the pandemic and what we need to see into the future https://t.co/KvNZHjDRd3"
1463172282038333451,2021-11-23 15:47:11+00:00,"Voting is currently open for the election of FPH's next President, Vice President and three General Board Members. If you are an FPH member and have not yet received an email regarding this please contact fphelections@fph.org.uk or DM us"
1462842573991690243,2021-11-22 17:57:02+00:00,Proposals are currently open for FPH Fellows to nominate outstanding individuals working in the UK or internationally for Distinction membership. Proposals close on 10 December 2021. Nominees may work outside of typical public health settings https://t.co/dLdOB0rAVa
1461286617428250626,2021-11-18 10:54:13+00:00,"FPH’s Jobs Board is the premier resource to connect career opportunities with highly qualified public health candidates. Access the board to take your next step as a public health professional, or recruit for open positions as an employer https://t.co/inLh2w4cq7"
1460930098987732994,2021-11-17 11:17:33+00:00,Proposals are currently open for FPH Fellows to nominate outstanding individuals working in the UK or internationally for Distinction membership. Proposals close on 10 December 2021. Nominees may work outside of typical public health settings https://t.co/dLdOB0rAVa
1460691248906448897,2021-11-16 19:28:26+00:00,"Join @UCLHealthPublic on 30 Nov for their seminar on ""Global Health Security and Resilience: Making a safer world"". The event will discuss factors affecting animal-human disease transmission and how we can be better prepared for global health emergencies https://t.co/plb6s7850H"
1460256587419987970,2021-11-15 14:41:15+00:00,Government is yet to publish the new Tobacco Control Plan to deliver on the #Smokefree2030 ambition. Join FPH in supporting @AshOrgUK's letter calling on Government to deliver on commitments to take action on smoking and save lives: https://t.co/DCsNIuqUma
1459226944650858498,2021-11-12 18:29:49+00:00,"Speaking at @EUPHActs #EPH2021 Digital Conference today, FPH President @MaggieRae20 was joined by @SamiaLtf, @FarhangTahzib, and Professor John Newton to discuss the Faculty's work to support the public health system and workforce during the COVID-19 pandemic https://t.co/JomANqgiYb"
1459196267523940357,2021-11-12 16:27:55+00:00,FPH have led a coalition of health and non-governmental organisations in submitting this statement to the @UNFCCC secretariat at #COP26. We must take action on climate change to protect health and save lives  https://t.co/PKhHdbNLP0
1459102767499386890,2021-11-12 10:16:23+00:00,"Congratulations @jimmcmanusph on your election as @ADPHUK President. FPH looks forward to continuing to work with you and our brilliant Directors of Public Health to protect and improve the public's health at local, regional, and national level https://t.co/VivjDJ8Ms8"
1459102580227907599,2021-11-12 10:15:38+00:00,"FPH supports the #COP26 draft text calling on wealthy countries to double their climate change financing commitments. Climate-vulnerable countries need funding to adapt and build resilient health systems - as grants, not loans. #ClimatePrescription"
1459102477018664962,2021-11-12 10:15:13+00:00,Air Pollution leads to 7 million early deaths per year. An end to fossil fuel subsidies must remain an important part of the #COP26 draft text and we must assign deadlines for action
1459102175137832961,2021-11-12 10:14:02+00:00,".@GCHAlliance have issued this statement on the draft text for #COP26. Amongst other measures, we must limit global heating to 1.5c to protect human health across the planet https://t.co/Cx0vrCmFkm"
1458441431543173133,2021-11-10 14:28:28+00:00,"Reflecting on week one of #COP26 and the first-hand testimonies of communities worst impacted by climate change, Chair of FPH's Climate and Health Committee Professor Sue Atkinson CBE has authored this new blog https://t.co/x23RMI0ZCC"
1458437672649773063,2021-11-10 14:13:32+00:00,"The Healthy #ClimatePrescription letter, supported by FPH and representing 46 million international health workers has been delivered to #COP26 Presidencies @GCHAlliance @UKHealthClimate https://t.co/95B9tUD8Mc"
1458093051172245516,2021-11-09 15:24:08+00:00,Proposals are currently open for FPH Fellows to nominate outstanding individuals working in the UK or internationally for Distinction membership. Proposals close on 10 December 2021. Nominees may work outside of typical public health settings https://t.co/dLdOB0rAVa
1458082462060449806,2021-11-09 14:42:03+00:00,"FPH joins @GCHAlliance in calling on @AlokSharma_RDG to receive the Healthy #ClimatePrescription letter at #COP26, representing the views of 46 million health professionals &amp; workers worldwide https://t.co/2doG1YLu7s"
1458031460900814854,2021-11-09 11:19:23+00:00,"FPH supports @actiononsugar's #SugarAwarenessWeek to raise awareness of the detrimental impacts of sugar. Government must improve access to healthier foods, especially amongst our most deprived communities https://t.co/LEoAKEf1xj https://t.co/okgbxAdKlN"
1458025152290201604,2021-11-09 10:54:19+00:00,Read this blog post from Chair of our Climate and Health Committee Professor Sue Atkinson CBE on her experiences representing FPH as an observer at #COP26. Health and inequalities must be at the forefront of the discussion on climate change https://t.co/Z1lCP5X1lv
1456625703286362121,2021-11-05 14:13:25+00:00,"Important materials from FPH’s event on CVD and Blood Pressure, with @MaggieRae20 @Shahed_Ahmad @roryhonney Prof John Newton, Prof Chris Bentley, Dr Alison Barnett &amp; Dr Saloni Zaveri
https://t.co/aGl7BS00Rq &amp; https://t.co/nCpcbDVp5X"
1456625701004713985,2021-11-05 14:13:24+00:00,"See this video by @Shahed_Ahmad on the importance of CVD prevention and population health
https://t.co/J3P6g6IQ18"
1456623824070402048,2021-11-05 14:05:57+00:00,"Chair of FPH’s Climate and Health Committee Prof Sue Atkinson CBE is at COP26 and has written a blog on the conference. The blog outlines her role at #COP26, the global climate health equity issue and calls for health to be part of the agenda @MaggieRae20
https://t.co/Z1lCP5X1lv"
1456622096872792069,2021-11-05 13:59:05+00:00,"Read @publichealthie’s new blog where Dr Jenny Mack explores how global warming relates to #publichealth @MaggieRae20
https://t.co/aYmqhJUdiM"
1455566394301587459,2021-11-02 16:04:06+00:00,"FPH supports this petition from @TheBMA calling on UK Government to provide the funding and commitment needed to urgently increase the number of GPs, practice nurses and other practice staff and to improve the premises in which they work #SupportYourSurgey https://t.co/Q7JlWbaSrq https://t.co/YZ8r8VTVEB"
1455483886318886912,2021-11-02 10:36:14+00:00,Thank you to all members who attended our #COP26 briefing last week. FPH has observer status at the Conference and will be engaging with international colleagues over the next two weeks to place health and equity at the forefront of the climate change agenda
1454037676227715079,2021-10-29 10:49:31+00:00,"Thank you to all members who attended this week's FPH briefing on COP26. The public health voice is vital in highlighting the negative impacts of climate change on human health, particularly for those already facing disadvantage https://t.co/bKBYJV7OU5"
1453767971994734598,2021-10-28 16:57:48+00:00,"In this article published in the @NewStatesman, FPH President @MaggieRae20 discusses the potential impact of COVID-19, health inequalities, and vaccine take-up on this year's flu season https://t.co/VKCP4pSqsg"
1453758843738001415,2021-10-28 16:21:32+00:00,This Spending Review represents a dereliction of duty from Government to honour commitments to level-up health inequalities and deliver on the prevention agenda. It is unacceptable that Government has failed to restore public health funding https://t.co/g8hjEZ2u2w
1453297756420907010,2021-10-27 09:49:20+00:00,"Abstract submission for our FPH in Scotland Conference ‘Public Health – lighting the path for the next 10, 20, 50 years’ has now been extended to Friday 5 November. Visit the conference website to find out more https://t.co/h6OHT0S3Zt https://t.co/mjf6K9Qhyx"
1453046795869827072,2021-10-26 17:12:07+00:00,@doctorblooz @ADPHUK @jimmcmanusph @BWDDPH @Lisa_McNally1 @annaghartley @AliceWiseman11 @Jeanelleuk @MaggieRae20 @The_CIEH @R_S_P_H @petermbenglish @meradinp @e_hothersall @DPH_MAshton @DrJV75 @tonyjewell8 @FurberA @amaryond @bengoldacre Thank you for this article @doctorblooz - this links very well with our joint statement this week https://t.co/Ondz0TMugL
1452567830679932935,2021-10-25 09:28:52+00:00,"FPH have joined with @LGANews, @R_S_P_H, @The_CIEH, @Solace_UK, and @TheBMA to issue this new joint statement on rising COVID-19 rates and the need for stronger public health measures to prevent the spread of the virus https://t.co/Ondz0TMugL"
1450825433692446728,2021-10-20 14:05:13+00:00,"FPH is inviting members to attend a COP26 pre-Conference briefing on 27 October 2021, outlining FPH’s activities around the Conference and how members can get involved. If you have not yet received an invitation via email, please contact news@fph.org.uk"
1450825249084387335,2021-10-20 14:04:29+00:00,"Following #WorldMentalHealthDay, Chair of FPH’s Public Mental Health SIG Lina Martino has published an article on our blogsite discussing mental health equity and wellbeing amongst the public health workforce https://t.co/NmHv8nRuAQ"
1450757919255957508,2021-10-20 09:36:56+00:00,"Thank you @DrMariaNeira @IKotiuk @MarinaRomanell2 Marlies Hesselman and Richard Harvey for excellent talks at our Public Health, Climate Change and Strategic Litigation webinar with @GHLGroningen @EUPHActs @FarhangTahzib https://t.co/ZO19NXx9Bo"
1448975545337794562,2021-10-15 11:34:25+00:00,"Abstract submission for next year’s FPH in Scotland Conference ‘Public Health – lighting the path for the next 10, 20, 50 years’ is currently open, closing on 29 October 2021. Visit the conference website to find out more: https://t.co/h6OHT0S3Zt https://t.co/i1PchBCziL"
1448683929939107841,2021-10-14 16:15:38+00:00,"This brilliant poem written by @gateshead DPH @AliceWiseman11 and read by @racheljflowers, @sguntherph, @shusbands2 and @helenlowey reflects on the challenges of the COVID-19 pandemic and what can be achieved when we pull together https://t.co/4TtWD6EuvJ"
1448303910876295168,2021-10-13 15:05:35+00:00,"At today's FPH Awards Ceremony, we welcome new Honorary and Distinction Members and Fellows to the Faculty and commend this year's award winners. Congratulations to all - FPH looks forward to continuing to work with you long into the future to protect and improve health for all https://t.co/yT2YJYyPEC"
1448248172690743300,2021-10-13 11:24:06+00:00,"Together with our health colleagues across the world, we're calling for a #HealthyClimatePrescription ahead of @COP26. We must work together with urgency to maintain a thriving global ecosystem and protect health for future generations: https://t.co/Cv5berKmq8 https://t.co/xzTeOecy6C"
1447955337399635970,2021-10-12 16:00:28+00:00,The theme for #WorldMentalHealthDay is mental health in an unequal world. This is why FPH is joining with @BPSOfficial to call on Government to reverse it's decision on the £20-a-week cut to #UniversalCredit and #KeepTheLifeline to support better mental health for all
1447899384805576708,2021-10-12 12:18:08+00:00,FPH is pleased to support the #EveryMindMatters campaign offering expert advice and practical tips to help everyone look after their mental health and wellbeing. Head to the website to access the resources https://t.co/Lp4TXbbwtX
1447881732229898240,2021-10-12 11:07:59+00:00,"Dr Padmavati Ramachandran and Dr Sapna Nair - ""The COVID-19 pandemic and its impact on mental health services: the provider perspective"" (5/5) https://t.co/phyJMaJvNc"
1447881507494899713,2021-10-12 11:07:06+00:00,"Dr Ravindra Rao and Professor Bhrigupati Singh - ""Is there an opioid epidemic in India?"" (4/5) https://t.co/zdJzugnOkg"
1447881217626550274,2021-10-12 11:05:57+00:00,"Dr Anant Jani - ""Factors influencing care-seeking behaviour for mental illness in India: a situational analysis in Tamil Nadu"" (3/5) https://t.co/8vHNuhcEop"
1447880915435376646,2021-10-12 11:04:45+00:00,"Dr Lakshmi Narasimhan - ""Factors associated with homelessness among women: a cross-sectional survey of outpatient mental health service users at The Banyan, India"" (2/5)
https://t.co/SXmacmMckC"
1447880290416926720,2021-10-12 11:02:16+00:00,"FPH's Journal of Public Health has issued a new supplement on Mental Health in India, published on #WorldMentalHealthDay. FPH President @MaggieRae20 introduces a series of interviews with authors and Prof Premila Webster reflecting on their work (1/5) https://t.co/FLFot4Vyr2"
1446483413473669125,2021-10-08 14:31:34+00:00,Colleagues are invited to join FPH and sign the #HealthyClimatePrescription letter calling for climate action ahead of COP26. The letter to national leaders &amp; country delegations represents the global health community and is supported by @GCHAlliance @WHO https://t.co/Cv5berKmq8
1445715384452009985,2021-10-06 11:39:42+00:00,Proposals are open until 30 November 2021 for FPH Fellows to nominate outstanding individuals working in the UK or internationally for Honorary and Distinction membership. Nominees may work outside of a typical public health setting https://t.co/dLdOB0JbMI
1445713757842276360,2021-10-06 11:33:14+00:00,"Register for tomorrow’s free FPH webinar ‘Public Health, Climate Change and Strategic Litigation’ in collaboration with @GHLGroningen and @EUPHActs. @DrMariaNeira and others will discuss the major role strategic litigation plays in environmental protection https://t.co/mZFOAYG0L3"
1445710029781291014,2021-10-06 11:18:25+00:00,"On 12 October 2021 @HealthFdn are hosting a free webinar ‘The future role of public health, lessons from COVID-19’. Speakers will discuss local, regional, and national DsPH teams’ work during the pandemic, drawing on findings from @TheKingsFund DsPH report https://t.co/76j0nGhG0C"
1445358552177168389,2021-10-05 12:01:46+00:00,"Abstract submission for next year’s FPH in Scotland Conference ‘Public Health – lighting the path for the next 10, 20, 50 years’ is currently open, closing on 29 October 2021. Visit the conference website to find out more https://t.co/h6OHT0S3Zt"
1445335723457064962,2021-10-05 10:31:04+00:00,We are calling for urgent action on public health funding in the Spending Review. Investing in local public health is critical to levelling up. Our joint letter with @ADPHUK - https://t.co/pb5cqmMF7g
1445022117158916099,2021-10-04 13:44:54+00:00,"Welcoming this new report, FPH President @MaggieRae20 noted the importance of recognising harms caused by gambling including financial, employment, relationships, physical health, and criminal activity. Action is needed to tackle this public health problem https://t.co/LlSo0HpGsI"
1443896557363937280,2021-10-01 11:12:20+00:00,FPH have endorsed this new report from @ASHScotland calling on the Scottish Government to reduce the impact of health harming products and build a healthier Scotland. The report sets out priority areas for action as the 2021/22 parliamentary year begins https://t.co/VQBHoyZ4hK https://t.co/e0eclSzvwi
1443881234980016144,2021-10-01 10:11:27+00:00,"To recover from COVID-19 and build back better, Government must prioritise delivery of a well-resourced public health system at local, regional and national level. (2/2)"
1443881152113152012,2021-10-01 10:11:07+00:00,"With Public Health England responsibilities now transferred to @UKHSA, @NHSuk, @DHSCgovuk and OHID, FPH looks forward to continuing to work with our members and partner organisations to drive forward better health for all in society. (1/2)"
1443591925760548864,2021-09-30 15:01:50+00:00,"Abstract submissions are welcomed until 29 October 2021 for next year’s FPH in Scotland Conference ‘Public Health – lighting the path for the next 10, 20, 50 years’ taking place 12-13 May 2022. Visit the Conference website to learn more https://t.co/h6OHT19ER1 https://t.co/rUv5IYxDLA"
1443190790193287168,2021-09-29 12:27:52+00:00,"Join FPH and sign the #HealthyClimatePrescription letter to national leaders calling for climate action ahead of COP26. Supported by @GCHAlliance and @WHO, the letter represents the voice of the global health community https://t.co/Cv5berKmq8"
1443158061221351427,2021-09-29 10:17:49+00:00,"As the public health system evolves, this commitment remains unwavering and FPH thanks our members working at local, regional and national level for their determined efforts to safeguard health and tackle inequalities. (2/2)"
1443157975984709634,2021-09-29 10:17:28+00:00,"Before and during the COVID-19 pandemic, the public health workforce across the UK has continued to overcome significant challenges to deliver outstanding work to protect health for all in society. (1/2)"
