id,created_at,text,scores,compound
1476146225623834629,2021-12-29 11:01:00+00:00,"Take our survey and help us set our priorities for the next few years. Members, Fellows, stakeholders, partners, and friends - we want to hear from all of you!
https://t.co/zLjfZ1B9Ci https://t.co/hV9lDnMuo7","{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.75}",0.75
1473601711004692489,2021-12-22 10:30:00+00:00,Wishing everyone a Merry Christmas and a Happy New Year! https://t.co/wgjKsEaZJS,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.8553}",0.8553
1473243096016199681,2021-12-21 10:45:00+00:00,"Where have all the leaders gone? Read Vice President Dr Julia Newton on our Emerging Leaders course with @basem_uk, and why it's so important for you to get involved
https://t.co/7SETG29vNF","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.3327}",0.3327
1472959047443918857,2021-12-20 15:56:17+00:00,"Take our survey and help us set our priorities for the next few years. Members, Fellows, stakeholders, partners, and friends - we want to hear from all of you!
https://t.co/zLjfZ1B9Ci https://t.co/tBs0bxxwCN","{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.75}",0.75
1471420335572541443,2021-12-16 10:02:00+00:00,"Fantastic opportunity with @the_LTA as Chief Medical Officer for tennis in the UK.
Apply here: https://t.co/qWhut9Lk5z https://t.co/CDKTv8l0TL","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.7506}",0.7506
1471071665756983301,2021-12-15 10:56:30+00:00,"Our 2021 Essay Competition in partnership with @UndergradSEMS closes Dec 31st - Get your entry in now!

Open to undergraduates and recent graduates (foundation or equivalent). Win a cash prize, a conference ticket, and support towards publication

👉https://t.co/IEnjbBYvaW https://t.co/mhNSPI4gtF","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.8777}",0.8777
1469339034015174659,2021-12-10 16:11:39+00:00,"Just what our members wanted for Christmas - a survey! Find out why we're asking you to take part in our upcoming membership survey, and how your views will help shape our goals
https://t.co/u7EHlXPaBX","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4574}",0.4574
1466040685124100106,2021-12-01 13:45:11+00:00,"Booking is now open for the next sitting of our Diploma in MSK Medicine exam on 4 May 2022 🤩🌟

Developed with @pcrsociety, it sets a standard and recognises excellence in #MSK care among doctors and AHPs 

Find out more &amp; book:
https://t.co/5jCj5Wmyad https://t.co/hNxdnyJrQq","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.8074}",0.8074
1463524951483420683,2021-11-24 15:08:34+00:00,Still time to register for the @WeAreARMA Thinking Differently for MSK Health virtual conference on 6 December - https://t.co/KDlE12L0eO https://t.co/aipsWwPrO0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1461319780145770500,2021-11-18 13:06:00+00:00,"Still time to enter our 2021 Essay Competition in partnership with @UndergradSEMS. Win a cash prize, as well as a conference ticket and support towards publication!

Open to undergraduates and recent graduates (foundation or equivalent).

Find out more: https://t.co/IEnjbBYvaW https://t.co/ZFzbA2hhxV","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.9041}",0.9041
1460564302532800515,2021-11-16 11:04:00+00:00,"Benefits outweigh the risks: consensus statement helping break down barriers to #PhysicalActivity for people with long term conditions
👉Read the statement: https://t.co/NVuu1sCVSO

👉Or learn more in the latest BJSM podcast: https://t.co/Tc2qEn2Vg1","{'neg': 0.06, 'neu': 0.802, 'pos': 0.138, 'compound': 0.4019}",0.4019
1458001289300828162,2021-11-09 09:19:30+00:00,"Helping health professionals talk to people with long term conditions about #PhysicalActivity - Read the full statement in the BJSM 
https://t.co/NVuu1sUxho https://t.co/zQ2PurmgJ4","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",0.296
1456557849694416896,2021-11-05 09:43:47+00:00,"Benefits outweigh the risks: consensus statement helping break down barriers to #PhysicalActivity for people with long term conditions
https://t.co/NVuu1sUxho https://t.co/VVMjanY0sx","{'neg': 0.088, 'neu': 0.711, 'pos': 0.201, 'compound': 0.4019}",0.4019
1456282255031259142,2021-11-04 15:28:40+00:00,"The #ConsensusStatement contains five ‘impact statements’ that equip healthcare professionals with the knowledge they need to discuss #PhysicalActivity with people with long term conditions in a person-centred way
https://t.co/NVuu1sUxho https://t.co/O7ppPiT5GA","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1455832089371283458,2021-11-03 09:39:52+00:00,"New consensus statement shows benefits of physical activity for people living with long term condition ""far outweigh the risks"" - We're working with @Sport_England, @OHID &amp; others to support health professionals to help people get active
https://t.co/2WDZ9eGxR1 https://t.co/WWOT9kAXtz","{'neg': 0.047, 'neu': 0.714, 'pos': 0.239, 'compound': 0.8225}",0.8225
1455498455447711745,2021-11-02 11:34:08+00:00,"Opportunity for a Chief Medical Officer (Working with England and GB Hockey) at @eis2win 
https://t.co/ZyzErmZP5P","{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",0.4215
1454845278780071939,2021-10-31 16:18:38+00:00,Medical leaders sign joint statement in response to NICE guidance on ME/CFS https://t.co/Z8ePhMrpUP,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5473}",0.5473
1453672668641861642,2021-10-28 10:39:06+00:00,Great insight into becoming a #SEM doctor in the UK from @PandyaTej in @BMJOpenSEM https://t.co/Xff7YwyUBM,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.6249}",0.6249
1452596511532064780,2021-10-25 11:22:50+00:00,"Opportunity for an experienced SEM consultant in the East Midlands to serve as Training Programme Director. Part-time, based in Leicester. Apply here: https://t.co/32UWqvxDVE
See this and other current SEM vacancies on our careers page:
https://t.co/XiPdWCHMMw","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.4215}",0.4215
1448927452202405893,2021-10-15 08:23:19+00:00,"Prescribing Movement for Perioperative care - new @movingmedicine resource helps busy healthcare professionals support people who are waiting for operations to be active
https://t.co/QGBgbLkSyF","{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.8807}",0.8807
1448584015800377350,2021-10-14 09:38:37+00:00,"Read about important changes to @ukantidoping TUE policy in line with the 2022 WADA Prohibited List
https://t.co/yRGCWSxyU7","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2023}",0.2023
1442852166939643906,2021-09-28 14:02:18+00:00,"Introducing our 2021 Essay Competition in partnership with @UndergradSEMS. Win a cash prize, as well as a conference ticket and support towards publication!

Open to undergraduates and recent graduates (foundation or equivalent).

Find out more: https://t.co/xqMobVcLUh https://t.co/hByJPSTjWA","{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.9041}",0.9041
1440984199557701634,2021-09-23 10:19:40+00:00,"Almost ready for our Diploma Ceremony &amp; Dinner today. Remember, if you can't make it in person you can watch live on our YouTube channel from 3.30pm
https://t.co/ljbgXp8bhj https://t.co/NUgO54Sfi4","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2975}",0.2975
1438082076050350083,2021-09-15 10:07:39+00:00,"Faculty of SEM Ireland Annual Scientific Conference - Exercise is Medicine
Last chance to book! Registration closes tomorrow Thursday Sept 16 at 12pm
👉View the programme: https://t.co/ohabNckPxx
👉Book your place: https://t.co/B3HIomnFsc https://t.co/5gKxJf4gOH","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.3164}",0.3164
1434585533859209219,2021-09-05 18:33:39+00:00,Job Vacancy - Full Time: National Team Doctor (Youth Team) at Aspetar https://t.co/t1qN7YzAcd,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1433728473982324738,2021-09-03 09:48:00+00:00,"There's still time to book your place at our Diploma Ceremony &amp; Annual Dinner at @RCPhysicians London on 23 Sept. Looking forward to welcoming our new Diplomate Members and celebrating our 15th anniversary!
https://t.co/opDKzTTHdI https://t.co/I2AQZjxxlJ","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.784}",0.784
1430949880072114181,2021-08-26 17:46:51+00:00,@DW8674 @pcrsociety Congratulations 🎉,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.5994}",0.5994
1430540995817529351,2021-08-25 14:42:06+00:00,"✨Deadline extended - Book before Mon 6 Sept

⬆️Delighted that we're also able to offer more guest places - Members can now invite two guests! https://t.co/e7CTCULDK0","{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.2244}",0.2244
1430160786945724422,2021-08-24 13:31:17+00:00,"Members and Fellows - remember to book your place at our Diploma Ceremony &amp; Annual Dinner at @RCPhysicians London on 23 Sept. Looking forward to welcoming many of our new Diplomate Members!
https://t.co/mdT9iLpp8x https://t.co/NBLk7R1xiy","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4926}",0.4926
