id,created_at,text
1477973364660654082,2022-01-03 12:01:24+00:00,"There is just 1 week left to apply for the Part I and Part II MFSRH Exams! 

Don't miss your chance to apply for a recognised qualification in sexual and reproductive healthcare.

You can find out how to apply here: https://t.co/vhejiQ2iDK https://t.co/DJ81VxCxaS"
1477225633843486721,2022-01-01 10:30:11+00:00,"We would like to wish you all a very Happy New Year from everyone here at FSRH!

We're looking forward to a great year ahead of us where we can continue to work together to shape better sexual and reproductive healthcare for all. 

Wishing you all a fantastic 2022! https://t.co/GhVl0aLZ3x"
1476493546265927681,2021-12-30 10:01:08+00:00,"⭐ SRH Essentials

Join us for a one-day training course for learners new to #SRH. This course will enable those working in primary care to manage consultations about #contraception and #STIs with confidence.

When: 10 Jan 2022

👉 Find out more: https://t.co/hKgnNPwHSE https://t.co/tpqwFIZMU2"
1475768779233759237,2021-12-28 10:01:10+00:00,"Do you have an interest in improving SRH outcomes for girls and women across the UK?

We're looking for an intern to join our External Affairs team in February 2022.

👉 Read more about the role and details of how to apply here: https://t.co/FWPdF8NrOa https://t.co/qMpuyHDL5r"
1474681668363554819,2021-12-25 10:01:22+00:00,"🎄 Read our Christmas message from FSRH President Asha Kasliwal.

Thank you to all healthcare professionals for your hard work and dedication throughout what has been a challenging year, from all of us at FSRH. https://t.co/GM0CWlmqtD"
1473700305141473288,2021-12-22 17:01:47+00:00,"🎄 Office Xmas hours:

Our office is closed from 17:00 on Wednesday 22 December and will re-open at 09:00 on Tuesday 4 January. 

Our contact us page has FAQs which may help answer your question while we're away: https://t.co/bWE2XOYqjP.

Merry Christmas and a Happy New Year! https://t.co/YDV7Em59sF"
1473000263199993860,2021-12-20 18:40:04+00:00,"We support calls from across the medical community, encouraging pregnant women to get vaccinated – with this being the best way to safely and effectively protect against the virus.

For more information and resources visit: https://t.co/oYYH383V0W https://t.co/2vtuSZFSqn"
1472175050061193218,2021-12-18 12:00:58+00:00,"Rates of COVID-19 infections are rising rapidly due to the spread of #OmicronVariant, putting additional strain on an already overstretched health service. In this difficult time, it is still important to maintain access to SRH.

Read our full statement https://t.co/aPGUKorrmd https://t.co/rBXmRdLuI2"
1471924613500350464,2021-12-17 19:25:49+00:00,"Local services should adopt a flexible, realistic approach looking to adapt provision to balance evidence-based practice with what is manageable – taking capacity into account.

Read our full statement on rising COVID-19 numbers 👇 

https://t.co/aPGUKorrmd 

#OmicronVariant https://t.co/sD9B4nR0fJ"
1471782102098227203,2021-12-17 09:59:32+00:00,"There is no reason for Governments across the UK to delay making telemedicine f/ early medical abortion a permanent feature of healthcare. 

We urge Governments to listen to women &amp; make the regulations that allow for telemedical abortion services to become permanent.

@DHSCgovuk"
1471782100248543232,2021-12-17 09:59:31+00:00,"Independent poll shows clear majority of women in the UK want medical abortion at home to be allowed permanently beyond the pandemic.

https://t.co/YIShGnlJai

#TelemedicineFacts #AbortionIsHealthcare https://t.co/7bCI96A43a"
1471511719755321344,2021-12-16 16:05:08+00:00,"You can now submit applications for the MFSRH Exams Part I and Part II!

Want to find out more? Head to our website for details on how to apply and what to expect: https://t.co/L7GyveMpi8 

👉 The deadline to apply is 10 January 2022 https://t.co/qDz44rgzg6"
1471103105592958976,2021-12-15 13:01:26+00:00,"⭐ Want to improve your contraceptive consultation skills?

Our FREE course supports all healthcare professionals across the globe to deliver effective contraceptive care, and takes just 2 hours to complete.

Find out how to access the course: https://t.co/bEJf27RObK https://t.co/frl1OFYWXY"
1470800938051194881,2021-12-14 17:00:44+00:00,"📸 Do you follow us on Instagram?

https://t.co/0yikgmJTWy

We post exclusive live videos and behind-the-scenes content on all things #SRH https://t.co/KQ9a5X0VM4"
