id,created_at,text,scores,compound
1477219871926718471,2022-01-01 10:07:17+00:00,CONGRATULATIONS to all the outstanding individuals from the pharmaceutical and wider medical community who received honours in the UK New Year Honours List 2022. Find out more - https://t.co/0BAMdzskFe https://t.co/5WJ1PGYq9F,"{'neg': 0.0, 'neu': 0.624, 'pos': 0.376, 'compound': 0.9436}",0.9436
1475860355238793216,2021-12-28 16:05:03+00:00,"In case you missed it on publication - Penny Ward wrote her reaction to the new mission statement from the MHRA in July of this year. Read it here 
👇👇https://t.co/ZgZRZnT07r #ICYMI https://t.co/apqGsuhh97","{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.296}",-0.296
1474060495493730308,2021-12-23 16:53:03+00:00,"Read the fantastic new FPM Deep Dive by Andrew Teasdale. ""N-Nitrosamines: What are they?"" Find out more: https://t.co/A01t3Q3VoZ https://t.co/tCqko6Ne6F","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",0.5574
1473947063821996033,2021-12-23 09:22:19+00:00,"A Christmas Cracker! Penny Ward et al take a deep dive into our current understanding of SARS-CoV-2 Variants, Vaccines and Antivirals. Read more: https://t.co/Xn6fP5aoDT https://t.co/fDhrAZiLEr","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473323637914710019,2021-12-21 16:05:02+00:00,"ICYMI, Marcia celebrated two years in post earlier this year and penned a blog on 'FPM’s Journey to The Undiscovered Country'. Star Trek references aplenty :) 👇👇 
https://t.co/bKBI8dWigH https://t.co/VN1RUMtp6o","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.7717}",0.7717
1472865509930672129,2021-12-20 09:44:36+00:00,"Don't forget that our Vice-President @SheuliPorkess is giving this year's prestigious @RCPhysicians Christmas lecture 2021 on Wednesday, entitled 'Drugs and Bugs'. Find out more 👇👇
 https://t.co/OgzaaP1rzz https://t.co/yoTetG8QhL","{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.6329}",0.6329
1472253072336433164,2021-12-18 17:11:00+00:00,Please note that the FPM virtual office will be closed from Thursday 23 December for the festive period. We'll be back on Tuesday 4 January 2022. https://t.co/3Bjpcq6nsB,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6486}",0.6486
1470786929239207944,2021-12-14 16:05:04+00:00,"We have recently welcomed three new team members to our staff. Find out more about Seb, Musie and Joe on our website https://t.co/pIlhVJc5nY https://t.co/YsYQeeeOPK","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}",0.34
1470368508110426119,2021-12-13 12:22:25+00:00,"""Delivering UK strategic advantage in science and technology"". Our new president Dr Flic Gabbay is joining an illustrious panel @RAEngNews this afternoon alongside Sir Patrick Vallance. The event is closed for bookings but will be available on catch-up https://t.co/pl1LMobXo9 https://t.co/AAQqVPnBfy","{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.128}",0.128
1470344340610371593,2021-12-13 10:46:23+00:00,"Dr Harjeet Dhillon took some time to reflect on the recent #FPMSymposium2021. In this compelling, personal piece, Harjeet outlines what she most enjoyed and what she learned 👉 https://t.co/1AACGbxz2O https://t.co/i47mi8eMhI","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6925}",0.6925
1469302159401525258,2021-12-10 13:45:07+00:00,FPM Annual Symposium 2021 is now available on demand. You can catch up on all the plenaries and breakouts from this very popular two-day event from November 2021. #fpmsymposium2021 https://t.co/dKqQ21d6xd https://t.co/eTabR5sa0a,"{'neg': 0.045, 'neu': 0.863, 'pos': 0.092, 'compound': 0.3804}",0.3804
1468977373794213894,2021-12-09 16:14:32+00:00,@ABPI_UK We're delighted to lend our support to this initiative. @ABPI_UK @SheuliPorkess,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.7184}",0.7184
1468962448040366087,2021-12-09 15:15:14+00:00,"“Ethics and transparency are key principles within pharmaceutical medicine and FPM welcomes ongoing work to promote transparency of collaborations between industry and healthcare professionals.”  Dr Sheuli Porkess, Vice-President of FPM. 👇

@ABPI_UK https://t.co/h4IAjjlYVU","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.6486}",0.6486
1468535572130062343,2021-12-08 10:58:59+00:00,It's today! Join us later for our last event of 2021 - a Fireside Chat with Dr Bu Siakpere. Free to attend but registration is required - https://t.co/uArlGzwN36 https://t.co/BjpOzS3f2n,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4664}",0.4664
1466450350546821128,2021-12-02 16:53:03+00:00,"ICYMI, please read Bu Siakpere's recent blog article: Globalisation of medicine: African medicine. https://t.co/xxExzyYpwU https://t.co/tg6o7M4IUZ","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3182}",0.3182
1465372509914681348,2021-11-29 17:30:06+00:00,"Following news of the emergence and subsequent spread of the Omicron variant of the SARS-CoV-2 virus, FPM will continue to do all it can to support policy makers and the public. Read our latest statement now: https://t.co/6eWuKbImHx https://t.co/TUMtsW0JxF","{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.4019}",0.4019
1463913639921045506,2021-11-25 16:53:04+00:00,We're seeking new members for our Policy and Communications Group. Don't miss out on this very exciting opportunity to get involved with FPM! Find out more at https://t.co/3qM4zJ4WOG https://t.co/DpOMZdnBDv,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.8078}",0.8078
1463176783344377873,2021-11-23 16:05:04+00:00,🚨1400 VIEWS🚨  Emma Smith's blockbuster article has been one of our big hits of the past few months. You can read it here 👇👇 https://t.co/hq8xZsuqjO https://t.co/8S5PZ71W3X,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.5994}",0.5994
1462863215054966786,2021-11-22 19:19:03+00:00,Have you registered for our upcoming Fireside Chat yet? Bu Siakpere is a wonderful speaker and she will invite us to reflect on whether we can do more as a community of physicians to improve ED&amp;I in our day to day practice. Book now: https://t.co/uArlGzwN36 https://t.co/Lho9yR0swq,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.802}",0.802
1462089616115351554,2021-11-20 16:05:03+00:00,"FPM is seeking a Digital Communications Assistant. A great opportunity for someone in the early stages of their career, this is our first internship position as part of our new programme - FPM Develop. Find out more about the role and apply now: https://t.co/9k4wOtCzPA https://t.co/3uWY5DUsHx","{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.7845}",0.7845
1461757173110042624,2021-11-19 18:04:02+00:00,"FPM has launched an exciting new internship programme, FPM Develop 🙌 Find out more about the programme, and apply for our first internship position now: https://t.co/QDA9BTE0B1 https://t.co/MG8b86HbTV","{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.5719}",0.5719
1461616016044302337,2021-11-19 08:43:08+00:00,Congratulations Sir Mene! https://t.co/wT2ZosYsMi,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.636}",0.636
1460895383882772485,2021-11-17 08:59:36+00:00,FPM has reached 5000 followers on Linkedin! If you don't already follow us on there please go to https://t.co/QAoEONX7TG https://t.co/8vge3zMYDH,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4574}",0.4574
1459207810286247946,2021-11-12 17:13:47+00:00,And that's a wrap for FPM Annual Symposium 2021! Thank you to all speakers and everyone who worked so hard behind-the-scenes to make this year's event such a success. See you next year! https://t.co/sMhzElmZJn,"{'neg': 0.05, 'neu': 0.77, 'pos': 0.18, 'compound': 0.7112}",0.7112
1459161078752067585,2021-11-12 14:08:05+00:00,Great video of June Raine describing her unsung heroes of pharm med. We'll have a special networking session later with @Mphil22M to celebrate other unsung heroes and give them their overdue 'props'. #fpmsymposium2021 https://t.co/9A9fDm6DuS,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.9524}",0.9524
1459138922722779140,2021-11-12 12:40:03+00:00,@TrishnaBharadia #employeeofthemonth,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1459109365080805376,2021-11-12 10:42:36+00:00,"@TrishnaBharadia Hi Trishna, sorry to hear you had problems connecting. It looks like you're online now. Please let us know if you have any further connection problems.","{'neg': 0.2, 'neu': 0.657, 'pos': 0.143, 'compound': -0.2263}",-0.2263
1458846516647546885,2021-11-11 17:18:08+00:00,Excellent informal speed meet session to end the day! See you tomorrow! #FPMSymposium2021 https://t.co/cxdFTMp6l8,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.6467}",0.6467
