id,created_at,text,scores,compound
1477959898109521920,2022-01-03 11:07:53+00:00,"**New RCoA Podcast**

In this episode, @ProfEllenO talks to Professor @KathMaitland about her experiences working in Global Health. 

""I've always wanted to use my medical training as a passport to travel &amp; I knew I needed tools for the big challenge.""

🎙️https://t.co/fGZ4AQ8aCm https://t.co/76FyUgsqTm","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1477731549302902787,2022-01-02 20:00:30+00:00,"Making your @RCoANews membership count.

Through your membership, the College can carry out work in clinical standards &amp; patient safety as well as:

🔹Research
🔹Advocacy 
🔹Learning &amp; training tools &amp; more...

Your membership benefits👉🏽 https://t.co/GTRnXC86xA https://t.co/gTx1wxUnxH","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.5994}",0.5994
1477251164920066048,2022-01-01 12:11:38+00:00,".@RCoANews is delighted to see #Anaesthetists &amp; #Intensivists being recognised in the 2022 #NewYearHonours.

During another challenging year, recognition of our colleagues for their service to the #NHS &amp; their specialties is richly deserved.

Take a look: https://t.co/k5tXoDqEM3 https://t.co/NP6oMl6NqI","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7783}",0.7783
1477066981526409216,2021-12-31 23:59:45+00:00,"Hello 2022.

#HappyNewYear from everyone @RCoANews.

We look forward to supporting all our Fellows &amp; Members through a hopeful, healthy &amp; happy year ahead.🎉🎊🥳🎇 https://t.co/rbo1KeJ581","{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.9118}",0.9118
1476482835171135491,2021-12-30 09:18:34+00:00,"#Anaesthesia2022.

▶️Lectures on best practice &amp; future developments
▶️Quick-fire specialist updates
▶️Tailor your day with breakout sessions &amp; more...

Book by Midnight, 31 Dec &amp; enter 'EARLY20' at checkout to get 20% off your ticket.

Secure your place: https://t.co/RBUlyAi1sm https://t.co/ewCO80W8Ti","{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.765}",0.765
1475919716887711744,2021-12-28 20:00:56+00:00,".@RCoANews membership gives you access to digital platforms, including:

e-Learning Anaesthesia, one of medicine’s largest online resources, developed by clinical experts: https://t.co/WcKGpYxQt2

Lifelong Learning: https://t.co/WkAEhUdcQX

My RCoA: https://t.co/d9gU3RBDOA https://t.co/UgTy3nAWE7","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1475194818749997057,2021-12-26 20:00:27+00:00,"As a member of @RCoANews you can access a variety of benefits - including:

The BJA &amp; the BJAEd https://t.co/cL4OACZjaE

The Bulletin: https://t.co/boWKnkJdaS

Educational events &amp; courses. https://t.co/szpCqZSEQV

Digital platforms: https://t.co/d9gU3RBDOA https://t.co/vVs0V9toUW","{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3818}",0.3818
1475089296004689922,2021-12-26 13:01:08+00:00,".@RCoAPresident Dr Fiona Donald with  
@KamaliMelbourne on @SkyNews: 

#Booster #vaccinations will protect the #NHS, reduce spread of #covid &amp; reduce NHS staff sickness.

https://t.co/y5kFBUCU1U","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}",0.3818
1474573306552586246,2021-12-25 02:50:47+00:00,"Merry Christmas🎄❄️☃️

From everyone at @RCoANews - have a safe &amp; happy #Christmas. https://t.co/Ck33rkttbx","{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.8779}",0.8779
1474391508338229248,2021-12-24 14:48:23+00:00,"Please note the College will close for the Christmas &amp; New Year break from 5:00pm today.

A full service to Fellows &amp; Members will commence again at 9:00am on Tuesday 4 January 2022.🎄❄️☃️ https://t.co/qNgzFiDazx","{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.3182}",0.3182
1474332449102610438,2021-12-24 10:53:42+00:00,"""It's a busy time for all hospitals, made worse by staff being absent due to #COVID19.""

@RCoANews Council member @strachanjamie talks to @skynewsniall @SkyNews about the considerable pressures #NHS staff are under at this time of year.

https://t.co/Mvxlk5WcNk","{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.6597}",-0.6597
1474023102703091719,2021-12-23 14:24:28+00:00,"💻RCoA Blog. 

Dr Matt Bigwood discusses the @RCoANews campaign to highlight the correct use of #capnography to prevent undetected oesophageal intubation. 

Tragic cases from misread #capnographs are preventable.

📱https://t.co/yIdkzhjxsd https://t.co/gNqr3NLBLG","{'neg': 0.147, 'neu': 0.751, 'pos': 0.101, 'compound': -0.3818}",-0.3818
1473979842295214080,2021-12-23 11:32:34+00:00,"🚨Calling all Anaesthetists in Training🚨

Our abstract competition for Patient Safety in Perioperative Practice is now open. 

Enter for a chance to present at the event &amp; win £50💷

Competition closes 31 January 2022.

Go on, give it a go: https://t.co/MhAfnwRrf5 https://t.co/oiAIlRmCEg","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.8225}",0.8225
1473657602609455109,2021-12-22 14:12:06+00:00,"🎙️It's been a busy year of podcasts for our 
@RCoANews team.

🎄During this festive season, listen back to all the RCoA podcasts released this year https://t.co/a0TcJ63aVI

▶️If you have any ideas for podcast topics for 2022 - get in touch with us at: podcast@rcoa.ac.uk. https://t.co/2OGZkqiBRW","{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.5423}",0.5423
1473276888101670916,2021-12-21 12:59:16+00:00,"**Exam Results Update** 

The results of the #FINALFRCA SOE exam, which took place in December 2021, have been emailed.

Please check inboxes (including junk mail). https://t.co/iKmzK11T4t","{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.3182}",0.3182
1472990289572864004,2021-12-20 18:00:26+00:00,"Updated translations are now available for the new editions of our leaflets Sedation Explained &amp; Caring for someone who has had a GA or sedation https://t.co/463WIxxNiG

 @TranslatorsWB @CPOC_News @preopuk https://t.co/ChlAXQxqHD","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4939}",0.4939
1472970753373097986,2021-12-20 16:42:48+00:00,"🎄Your Christmas edition of @RCoAPresident's News is out now.

This issue includes:

❄️RCoA election results 
❄️Annual General Meeting 2021 recording
❄️Joint Winter Pressures statement 
❄️@RCoAPresident's Christmas message &amp; much more...

☃️https://t.co/RcMDJqkmX7 https://t.co/Tdc9vaxp3h","{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.3182}",-0.3182
1472871945511354369,2021-12-20 10:10:11+00:00,"Winter pressures &amp; #COVID19 mean that #NHS staff may be working beyond capacity &amp; outside of their normal clinical duties.

Please see our statement in partnership with @Assoc_Anaes providing guidance to all anaesthetists working this winter.

🔹https://t.co/lhlMKsVH34 https://t.co/3NWOzLPM3s","{'neg': 0.057, 'neu': 0.887, 'pos': 0.057, 'compound': 0.0}",0.0
1471843653505196034,2021-12-17 14:04:07+00:00,".@RCoANews Podcast🎙️

Dr David Selwyn (@totallytigers) in conversation with Dr Megan Griffiths &amp; Captain Alex Jolly (@alexjolls), discuss mitigating safety threats using simulation with human factors feedback from airline pilots.

✈️https://t.co/DpzhyW2U5U https://t.co/s1mQ5QyVxy","{'neg': 0.074, 'neu': 0.765, 'pos': 0.161, 'compound': 0.5106}",0.5106
1471543679152234500,2021-12-16 18:12:07+00:00,"Anaesthesia 2022 is back!

Our must attend event takes over Manchester 17-19 May 2022.

Book tickets before midnight on 31 Dec &amp; enjoy a super early bird discount of 20%.

With a packed programme, covering a diverse range of subjects, take a look &amp; book: https://t.co/RBUlyAi1sm https://t.co/G8bHx1jHSY","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.8122}",0.8122
1471418410433134592,2021-12-16 09:54:21+00:00,"@GasboardChloe Hello there, I've just sent you a direct message. Hope to speak soon. Many thanks, Liz","{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.7003}",0.7003
1471386167169978368,2021-12-16 07:46:13+00:00,"💨Last chance to vote.

The @RCoANews Council election closes TODAY at 12:00pm.

Last chance to vote &amp; fill:

✅six Consultant vacancies
✅one SAS vacancy
✅one Anaesthetist in Training vacancy

Use your vote &amp; make a difference🗳️https://t.co/9dhDEsbE8n https://t.co/sKxB91i8qK","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.4588}",0.4588
1471145430809518086,2021-12-15 15:49:37+00:00,"The @RCoANews Council election closes TOMORROW at 12:00pm on 16 December for:

▶️six Consultant vacancies
▶️one SAS vacancy
▶️one Anaesthetist in Training vacancy

Cast your vote 👉🏽https://t.co/9dhDEsbE8n https://t.co/kUgeBD65Og","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
