id,created_at,text
1477981078761713664,2022-01-03 12:32:03+00:00,"Have you submitted your abstract for RCOG World Congress 2022? With just one month remaining to submit an abstract, have a look at our Congress webpage to discover everything you need to know about abstract submission. Find out more: https://t.co/EgzXTY4Vkt https://t.co/Ic6M9TOBNf"
1477946602342002688,2022-01-03 10:15:03+00:00,Are you interested in developing and producing high-quality and evidence-based patient information? We are recruiting for clinical roles to join our Patient Information Committee. The deadline for applications is Thursday 20 January 2022. Find out more: https://t.co/5KdPl3cPZl https://t.co/dnkxH1Fn5d
1477696476943900672,2022-01-02 17:41:09+00:00,"Our innovative virtual courses and events mean you can participate anywhere in the world, with all content available on demand to support accessible and flexible education. Book your place to a virtual event today and discover the unique digital platform: https://t.co/Lw8lJcBqCl https://t.co/ibbWx8Yzgk"
1477598056560402433,2022-01-02 11:10:03+00:00,Our Women’s Network is at the heart of all the College does to improve women's health. The Network is recruiting new voluntary lay members to ensure the experiences of women inform and influence all that the College does. Find out more: https://t.co/bl9gZjBU9h https://t.co/jOLBUnjyXJ
1477566346300952584,2022-01-02 09:04:03+00:00,95% of RCOG Virtual World Congress 2021 delegates agreed that the programme met their development needs. Secure your place today for this year's event: https://t.co/gWNI3HURxI https://t.co/4eir5NSypC
1477282256389554177,2022-01-01 14:15:11+00:00,Start the new year off by applying for one of our member engagement roles. We are currently recruiting for a number of positions including on our influential Guidelines Committee and helping shape our patient information. Apply today:  https://t.co/ftqUev0uDF https://t.co/dZZza2ZwNe
1476954313872351234,2021-12-31 16:32:03+00:00,"In November, after campaigns from the RCOG and women’s rights charities, MPs voted to ban virginity testing. We are also pleased to hear that the Government has recently announced that hymenoplasty will be made illegal in the UK. https://t.co/BT5uB1CABE"
1476891401723985945,2021-12-31 12:22:04+00:00,"Calling all obstetricians: Share your knowledge and expertise, whilst learning about the management of obstetric medicine issues in clinical practice. 99% of previous delegates agreed the course met their personal development needs. Book now: https://t.co/dkuuaqG6Vx https://t.co/5pux0A5i0G"
1476594939245080582,2021-12-30 16:44:01+00:00,"We are looking to recruit a gynaecologist to join our Guidelines Committee to assist with the development, updating and publication of influential and wide-reaching clinical guidance. The deadline is Thursday 20 January 2022. Find out more: https://t.co/cnUnGOrH0r"
1476578613923360772,2021-12-30 15:39:09+00:00,"Together with @BlairBellRS, we are hosting the virtual two-day Annual Academic Meeting to showcase academic excellence in the specialty. Secure your place today: https://t.co/f7o7kmjdYC https://t.co/9VtUJnKpup"
1476490005258326016,2021-12-30 09:47:03+00:00,Do you want to improve your knowledge of multiple pregnancy? The latest issue of TOG features an insightful spotlight on this subject. Read the article now: https://t.co/mtXZuQRQds https://t.co/eobXgLaqFh
1476206890791100419,2021-12-29 15:02:04+00:00,"In August 2021, the Scottish Government published its Women’s Health Plan. Scotland is the first country in the UK to have a Women’s Health Plan, outlining ambitious improvement and change in areas including menopause, heart health, menstrual health and more. https://t.co/z6j5Wve6qT"
1476179968627458054,2021-12-29 13:15:05+00:00,"We are recruiting an Honorary Deputy Director of Events to help oversee our innovative events programme including the scope, content and quality assurance of courses, conferences, World Congress, webinars. Find out more here: https://t.co/U5RHY1gy3j https://t.co/iPM39mkljJ"
1476148508902268928,2021-12-29 11:10:04+00:00,"Are you passionate about using your experience to inform the work of @RCObsGyn? The College’s Women’s Network is recruiting new lay members, find out how you can get involved:  https://t.co/YfulZJHNzD https://t.co/KNeQRfR6tf"
1476146534316134404,2021-12-29 11:02:13+00:00,"Each year RCOG World Congress covers the entire spectrum of O&amp;G – just one of the reasons why @AndreaWoolner1 decided to submit an abstract. If you are inspired, submit your work before Thursday 3 February: https://t.co/oWSSFOgW2A https://t.co/yw7jhYgIo1"
1475874474033565699,2021-12-28 17:01:09+00:00,"Are you starting to plan your professional development for 2022? If you are not a member of the RCOG, sign up for email alerts to be the first to find out about next year’s educational and networking opportunities: https://t.co/O6u4XxHYWo https://t.co/4Bp5vLTlgT"
1475805999546183682,2021-12-28 12:29:04+00:00,"Positive workplace behaviour can have positive effects on patient safety, the team and can ultimately save lives. Learn more about why #BehaviourMatters in our new Workplace Behaviour Toolkit: https://t.co/6h5lwgnPvd 
@MidwivesRCM @civilitysaves https://t.co/IWqeajAQU1"
1475788979341512706,2021-12-28 11:21:26+00:00,"RCOG President @morris_ep reflects on 2021, highlighting the ways that the College has adapted to challenges, and some of the biggest achievements throughout the year to improve women's health. https://t.co/JstymEGxjF"
1475760957506953218,2021-12-28 09:30:05+00:00,"There are many ways to get involved with your College and help shape the future direction of our work. To ensure our member's voices are represented in everything we do, we are currently recruiting for a number of rewarding roles. Find out more: https://t.co/8EeXKUJLFP https://t.co/47R04PnPLH"
1475482866477899788,2021-12-27 15:05:03+00:00,Our Women’s Network is recruiting new lay members. Members attend 4 meetings per year and are offered an honorarium for their time. The Network aims to ensure the experiences of women inform and influence all that we do. Find out more here: https://t.co/5lHl3tFs2l https://t.co/LuQAGqyuHv
1475465003243388931,2021-12-27 13:54:04+00:00,"We have an exciting agenda for 2022 with new events, updates and resources. Stay informed in the New Year and keep up to date on the latest global O&amp;G issues by becoming an RCOG Associate member. Discover how you can join today: https://t.co/GBFGKvfRBJ https://t.co/2hfqxuzFEp"
1475414670366363653,2021-12-27 10:34:03+00:00,Join us this March for an interactive two-day event to improve your knowledge of  the equipment and scientific principles underpinning urodynamics. Book your place now: https://t.co/OMERZBAjI4 https://t.co/iSEL81oH05
1475059852133212160,2021-12-26 11:04:08+00:00,"With access to all content from RCOG World Congress 2022 for six months post-event, you can boost your professional development with 70+ hours of on-demand content. Register today: https://t.co/SPBfj41rFH https://t.co/TGvVbb93Fc"
1474697198046781442,2021-12-25 11:03:05+00:00,"Wishing a very happy Christmas to all our members, friends and followers. Thank you for your continued support in 2021. https://t.co/gbw9wYoL5z"
1474372298278899716,2021-12-24 13:32:03+00:00,"In February 2021, the largest ever study of UK abortion care found that early medical abortions (EMAs) at home are safe, effective and a more accessible service preferred by many. https://t.co/q8q6ewK2Zd"
1474354942076985376,2021-12-24 12:23:05+00:00,Would you like to get involved with the College and help guide the future direction of our work? We are currently recruiting for a number of influential roles including on our Guidelines Committee and delivering our innovative events programme. Apple here: https://t.co/TfXkVGUZaf https://t.co/YBxYYXSwkO
1474299332673392683,2021-12-24 08:42:06+00:00,We’re pleased this poster by @NHSEngland will be given to vaccination sites so that pregnant women and others at higher risk from COVID-19 will not have to queue. https://t.co/iZsCwrWgXG
1474031600501465095,2021-12-23 14:58:14+00:00,"We have signed this @TheBMA letter calling for global COVID-19 vaccine equity. Failure to ensure high vaccine coverage in all countries puts everyone at risk from new, potentially vaccine resistant variants of the virus. Read the letter here: https://t.co/TWXPOZprO7 https://t.co/SJ21FFkm1W"
1474017966186549259,2021-12-23 14:04:03+00:00,"The Government has today committed to banning hymenoplasty, on top of the earlier ban of virginity testing. Read @PayzeeMalika's story, and why she has campaigned as part of @IKWRO to ban these harmful practices: https://t.co/RFxFyUjKFY https://t.co/ut8UCUVQ0P"
1474007938444537857,2021-12-23 13:24:12+00:00,Submitting an abstract and entering the chance to present at RCOG World Congress provides you with personal and professional benefits. Hear @krcornthwaite's story of presenting at a previous Congress in this video. Submit your work by Thursday 3 February: https://t.co/rBOfWTfGMI https://t.co/JTtHlj2WM8
1473978206537531392,2021-12-23 11:26:04+00:00,"Today @DHSCgovuk published their vision for the Women's Health Strategy for England. We are pleased to see this vision includes positive steps to improve care and support to women across their lives, and tackle health inequalities. Read our response: https://t.co/0REP4jc6dV https://t.co/W9cf7mi4YP"
1473958506051088387,2021-12-23 10:07:47+00:00,"We are so pleased to hear that ministers have pledged to introduce a ban on hymenoplasty or any procedure to rebuild or repair the hymen. We feel privileged to have worked alongside @IKWRO, @MewsOrg, @KNFMHBV and @MidwivesRCM to make this happen. https://t.co/yYM8fAP4me"
1473945994526183431,2021-12-23 09:18:04+00:00,"Did you know TOG has over 20 online collections of articles, grouped by topic for your convenience and to support your professional development? Find out more: https://t.co/GL2IPoeiAc https://t.co/JvbBHs8lym"
1473705409160658961,2021-12-22 17:22:04+00:00,Are you a healthcare professional with a passion for women’s health? Become an RCOG Associate member today and join a global organisation working to improve the standard of care delivered to women and girls. https://t.co/Xqz8Yxnu3G https://t.co/3pxJJZoaE8
1473639644428386307,2021-12-22 13:00:44+00:00,RCOG and @MidwivesRCM are urging NHS Trusts and Boards to ensure that maternity staff are not redeployed to other areas of the hospital as COVID-19 cases rise again. Maternity staff can’t be replaced because of their specialist skillset: https://t.co/2lTQcUKy3O https://t.co/J6C9fWprm5
1473628148294107141,2021-12-22 12:15:03+00:00,We have updated our COVID-19 and pregnancy Q&amp;As reflect the latest JCVI announcement to include pregnant women as a clinically 'vulnerable' group. This emphasises the importance of all pregnant women having the COVID-19 vaccination and booster vaccine. https://t.co/LVol3lUJCl https://t.co/5ZeKX0DZBV
1473594669544136705,2021-12-22 10:02:01+00:00,"Calling all obstetricians, midwives, anaesthetists, theatre staff and neonatal staff – The ABC programme in collaboration with @MidwivesRCM and @THIS_Institute want to hear your views to improve monitoring and responding to babies' wellbeing during labour: https://t.co/6zY5P3dcCd"
1473575863522369537,2021-12-22 08:47:18+00:00,Join us for our upcoming virtual Obstetric Medicine event. We are delighted to welcome a unique programme featuring experts including @ProfFMcAuliffe and @ken_hodson will be hosting engrossing breakout groups. Find out more: https://t.co/WJZIKN99Hj https://t.co/Tf906Omy0t
1473332974447910914,2021-12-21 16:42:08+00:00,"The Manual Vacuum Aspiration (MVA) course will enable you to enhance your understanding and expertise of MVA through discussion, demonstrations and animations, all of which can be revisited up to three months post-event. Register today: https://t.co/4cwCInUnhc https://t.co/FJuPQ03rlx"
1473246947016380417,2021-12-21 11:00:18+00:00,"RCOG President 
@morris_ep spoke to @medspirepodcast recently about career as a consultant gynaecologist, his priorities as President of the RCOG and advice for medical students and doctors. Listen here: https://t.co/TZaP3RdW5O https://t.co/xDijJPNf6b"
1473212152999817217,2021-12-21 08:42:02+00:00,"In our Workplace Behaviour Toolkit, Dr Chris Turner, founding member of @civilitysaves, shares his knowledge and insight into difficult conversations when it comes to addressing negative behaviour in the workplace. Find out more: https://t.co/WTmBkRByAq https://t.co/CIps8ppTTs"
1472903124360863744,2021-12-20 12:14:04+00:00,The COVID-19 vaccine and booster is safe to have at any stage during pregnancy. This infographic has been designed to help health care professionals discuss COVID-19 vaccination with pregnant women. https://t.co/qgXx9oGuO4
