id,created_at,text,scores,compound
1477934005311848449,2022-01-03 09:25:00+00:00,"Over 1400 reporting ophthalmologists participate in RCOphth’s active surveillance scheme. 

Find out more about the current studies on the British Ophthalmic Surveillance Unit’s yellow card: https://t.co/PJMmf3oJ50

#MondayMotivation #RCOphth #Ophthalmology","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4019}",0.4019
1476513142876229635,2021-12-30 11:19:00+00:00,"The Ulverscroft Foundation is offering, in partnership with the College, a prize of £500 in recognition of research in paediatric ophthalmology and visual sciences to promote academic paediatric ophthalmology. 

Find out more: https://t.co/OQyXWPqTGc 

 #Ophthalmology","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.7096}",0.7096
1475805983490273285,2021-12-28 12:29:00+00:00,"The College is looking to recruit a CESR Faculty Chair to lead on the important work of evaluating and overviewing applications to gain the Certificate of Eligibility for Specialist Registration. 

Find out more: https://t.co/OBrAWFFCTW 

#RCOphth #GivingTuesday #Ophthalmology","{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.6369}",0.6369
1473969130042650624,2021-12-23 10:50:00+00:00,"Read an end of year message from the President, Bernie Chang: https://t.co/Ur1rf5UG78

#Ophthalmology #RCOphth","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473579311546310660,2021-12-22 09:01:00+00:00,"A series of patient information videos have been produced in conjunction with the National Eye Care Recovery and Transformation Programme @TorbaySDevonNHS @CollegeOptomUK @glaucoma_uk @UCLMoorfieldsEd and sight charities. 

Watch and share here: https://t.co/xaLWazS2LW https://t.co/Ha7UNgKohQ","{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8225}",0.8225
1473270526890156036,2021-12-21 12:34:00+00:00,"Make a difference to the work of your colleagues in eye services and the wider ophthalmic workforce. 

We are recruiting for 2 roles: 

1. CESR Faculty Chair

2. Chair for the Recruitment Sub-committee 

Find out more: https://t.co/OBrAWFXeiw 

#RCOphth #Ophthalmology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1472888760966778881,2021-12-20 11:17:00+00:00,"Applications are open for the 2022 Nettleship Medal! 

Find out more about this prestigious award: https://t.co/DRf2ps1AhB 

#RCOphth #RCOphthCongress #RCOphthCongress2022 #Ophthalmology #MondayMotivation","{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.784}",0.784
1471419718988972032,2021-12-16 09:59:33+00:00,"A new GMC report highlights the pressure on ophthalmologists in training. 

Read the other key findings here: https://t.co/HczGBrKVim 

#Ophthalmology #Ophthalmologists #TraineeOphthalmologists #OphthalmologistsInTraining #GMC","{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}",-0.296
1471188214874525705,2021-12-15 18:39:38+00:00,"The College is looking to recruit two key roles; a CESR Faculty Chair and a new Chair for the Recruitment Sub-committee. 

Find out more about these roles: https://t.co/OBrAWFXeiw     

#RCOphth #GivingTuesday","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1470792167849447431,2021-12-14 16:25:53+00:00,@DrRahilaZakir is heavily involved with this work.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1470737297817669640,2021-12-14 12:47:51+00:00,"The college is excited to be running the inductions for the mentors and mentees as part of an award winning reverse mentoring program today. 

#EDI #livedexperience #RCOphth","{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.8519}",0.8519
1470425896406368267,2021-12-13 16:10:27+00:00,"Simulation training enables trainee ophthalmologists to master these skills before in vivo training. 

Find out more: https://t.co/zsBQOsHHdH

#RCOphth #Ophthalmology #Simulation","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1468143315736485899,2021-12-07 09:00:17+00:00,"The deadline for abstract submission for Congress 2022 is this Friday (10 Dec). 

Find out more about how to submit your abstract: https://t.co/ENdccH8bMA 

#RCOphth #Ophthalmology #RCOphthCongress #RCOphthCongress2022 #Ophthalmology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1467883661957767176,2021-12-06 15:48:31+00:00,"Applications are open for the 2022 Nettleship Medal! 

Find out more about this prestigious award: https://t.co/9MFQCbQYkF 

#RCOphth #RCOphthCongress #RCOphthCongress2022 #NettleshipMedal2022 #Ophthalmology #NettleshipMedal #MondayMotivation","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.784}",0.784
1466780336197713924,2021-12-03 14:44:18+00:00,"Next Friday is the deadline for abstract submission for Congress 2022. 

Find out more about how to submit your abstract: https://t.co/pYZx6EXKuM 

#RCOphth #Ophthalmology #RCOphthCongress #RCOphthCongress2022 #Ophthalmology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1466443694098292750,2021-12-02 16:26:36+00:00,@Rahi_Eye_Vision @MariyaMoosajee,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1466443520953274377,2021-12-02 16:25:55+00:00,"Read the first in @Eye_Journal's new series of articles on research methodology for ophthalmologists: 'The clinician’s guide to p values, confidence intervals, and magnitude of effects'.

https://t.co/n15S39z5xd

#Ophthalmology #Research","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.7184}",0.7184
1465390034962599939,2021-11-29 18:39:44+00:00,"Read the full report here: https://t.co/qah6Mv3lSy 

4/4
#SAS #SASViableCareerChoice #ViableCareerChoice #nhs #career #ophthalmology #Ophthalmologists #SASOphthalmologists #RCOphth","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1465390033205141515,2021-11-29 18:39:44+00:00,"I have been an SAS doctor since 2015, after leaving a run-through training programme, there is not a day I look back or regret my decision.“ Dr Swetha Maddula-Batambuze MBChB, SAS Chair RCOphth

3/4
#SAS #ophthalmology #Ophthalmologists #SASOphthalmologists #RCOphth","{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.4215}",-0.4215
1465390031552626691,2021-11-29 18:39:43+00:00,"We hope it helps all medical undergraduates &amp; NHS doctors understand they do have options for a fulfilling and respectable hospital specialty role whilst achieving a work-life balance.  

2/4

#SAS #SASViableCareerChoice #ViableCareerChoice #nhs #career #ophthalmology","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8126}",0.8126
1465390029371551748,2021-11-29 18:39:43+00:00,"""We are thrilled to see the report from @AoMRC approving the “SAS- Viable Career Choice” paper published last week. 

This is a positive step in the right direction helping to highlight how our dedicated SAS workforce provide an essential service for our NHS today.""

🧵1/4 https://t.co/TUPSKDZ7OF","{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.9201}",0.9201
1464259116633894916,2021-11-26 15:45:52+00:00,"The deadline for abstract submission for Congress 2022 is 10 December 2021.

Find out more here: https://t.co/pYZx6EXKuM 

#RCOphth #Ophthalmology #RCOphthCongress #RCOphthCongress2022 #Ophthalmology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1463902139911135241,2021-11-25 16:07:22+00:00,"The RCOphth offer a wide range of awards and clinical/research fellowships in partnership with other organisations. We currently have two open awards: 

1. Nettleship Medal 2022 
2. Ulverscroft David Owen Award 2022

Find out more: https://t.co/D5miujRmvr 

#RCOphthCongress2022","{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.9118}",0.9118
1461736584869556226,2021-11-19 16:42:14+00:00,"Consultation on Treating Retinopathy of Prematurity in the UK closes on 22 November. 

Find out more: https://t.co/DC73XEpE1h

#Ophthalmology #RCOphth","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
