id,created_at,text,scores,compound
1478048882189811717,2022-01-03 17:01:28+00:00,St David’s Day Conference 2022: Join us in Cardiff and hear Dr Jenifer Evans’ presentation on PIMS TS and parents' experiences. Find out more: https://t.co/RsGxL1Jip3 https://t.co/lJdtQ4B5WT,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.296}",0.296
1478034023146528768,2022-01-03 16:02:26+00:00,CALL FOR ABSTRACTS: Submit an abstract for the 2022 RCPCH Conference and you could be presenting your work as either an ePoster or oral presentation. Submission deadline: 17 February. Find out more https://t.co/sQVP4maIUn https://t.co/vmMWJOETl4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1478018687563141121,2022-01-03 15:01:30+00:00,"Kidzmed is a resource for healthcare professionals that helps teach children to swallow pills. Listen to our podcasts covering pill swallowing in more depth, a fantastic extension to our elearning session for those who want to know more: https://t.co/dHocw5OxTr https://t.co/OpmkCzgbkX","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7769}",0.7769
1478003972338339842,2022-01-03 14:03:01+00:00,Live webinar: Learning how to take pills is a life skill that anyone aged 3+ can be taught. We explore the benefits and approaches to support and implement pill swallowing. Experienced mentors will share their experiences and answer questions https://t.co/jf6jCPJkJO https://t.co/CFmEgGTURw,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7579}",0.7579
1477988383884513282,2022-01-03 13:01:05+00:00,🆕 online workshop for overseas candidates: Taking the 2022 FOP exam? This workshop is for you! Explore topics that have proven particularly challenging. You’ll find them incredibly useful and helpful https://t.co/cQiwNA380y https://t.co/XDsiiXKLhc,"{'neg': 0.0, 'neu': 0.768, 'pos': 0.232, 'compound': 0.8147}",0.8147
1477958087172624386,2022-01-03 11:00:41+00:00,"⏱️One week left to apply!

Join our trainee research network task and finish group to help support trainees across the UK to undertake research. Find out more and apply for the role here: https://t.co/rNJMPal4pQ https://t.co/xQ3DOOFdBg","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.784}",0.784
1477943088161173504,2022-01-03 10:01:05+00:00,"We've been working on ways to enhance paediatric support through NHS 111 services with @NHSEngland and @NHSImprovement Recruitment is open for paediatricians to undertake paid shifts for NHS 111. 

Find out more and express your interest: https://t.co/kUrUhoI3MH https://t.co/RYzyTjV7LA","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.6908}",0.6908
1477686330532503553,2022-01-02 17:00:49+00:00,Would you like practical and reliable information on how to give medicines to your child safely? Check out the new website https://t.co/mvkFeolZav @MedsForChildren https://t.co/3bpx7S3Tj0,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6908}",0.6908
1477671340589129728,2022-01-02 16:01:16+00:00,"Are you studying for an RCPCH exam? We have a variety of online resources to help you prepare for them. Including preparation material, publications and sample papers. Visit our site: https://t.co/uySEKzs18n https://t.co/f9PugQ73wQ","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.4019}",0.4019
1477656131262681088,2022-01-02 15:00:49+00:00,🆕 online course: This one-day course explores how to write statements and reports that document the valuable information needed for effective investigation in child protection cases. Find out more: https://t.co/aEtLVQgkF8 https://t.co/GZoUTdwFn4,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.7351}",0.7351
