id,created_at,text,scores,compound
1478029636139290625,2022-01-03 15:45:00+00:00,"Sign up now! Registration has re-opened for our Continuous Professional Development Support Scheme for NCHDs. The new deadline is 31 Jan 2022.

To register of find out more ⬇️
https://t.co/ycyCdHf6rt https://t.co/ZP1sUI7Kny","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4574}",0.4574
1477961687835807749,2022-01-03 11:15:00+00:00,"Closing soon! Only 4 days left to register for our Certificate in Essential Leadership for New Consultants. Book before Friday 7 Jan ➡ https://t.co/s0pEVgWBB8 

@DrTrevorDuffy @goldmap1 @mountfordjames @ConsidineMgt @PeterLachman @EQuitaConsult @CcoHse https://t.co/BCf9DPEiB8","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1477927965753290753,2022-01-03 09:01:00+00:00,"Join us on 20 Jan for the Institute of Medicine Winter Symposium 2022. This year's virtual conference is will have the theme 'Educating the Educators' and will feature a fantastic line-up of speakers.

Find out more ⬇
https://t.co/MQrmJPU6pl https://t.co/TUceYSGRyV","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.7003}",0.7003
1477067295994355713,2022-01-01 00:01:00+00:00,"Happy New Year from all of us at the Royal College of Physicians of Ireland! 

#HappyNewYear #2022
@profmaryhorgan https://t.co/xec3oIZDDj","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.6114}",0.6114
1476855651863257092,2021-12-31 10:00:00+00:00,"By any standard, this has been another successful (and busy!) year at RCPI! 

Here's a little look back at some of what we achieved in 2021!

View our 2021 highlights reel ➡ https://t.co/ytu5cZf8OC https://t.co/iVfoO3vyo3","{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.6884}",0.6884
1476525725796560896,2021-12-30 12:09:00+00:00,"Book now! The deadline is fast approaching to register for our Certificate in Essential Leadership for New Consultants. Book before 7 Jan at: https://t.co/s0pEVhecsG 

@DrTrevorDuffy @goldmap1 @mountfordjames @ConsidineMgt @PeterLachman @EQuitaConsult @CcoHse https://t.co/FvDQc9Bpqy","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1476201086662766595,2021-12-29 14:39:00+00:00,"Sign up now! Registration has re-opened for our Continuous Professional Development Support Scheme for NCHDs. The new deadline is 31 Jan 2022.

To register of find out more ⬇️
https://t.co/ycyCdHf6rt https://t.co/CrErD1NlOx","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4574}",0.4574
1475979124154023940,2021-12-28 23:57:00+00:00,"Endometriosis Surgery - How We Do It

@RCPI_ObsGyn presents a brand new webinar series, looking at the most relevant topics and important new developments in the field.

🗓️ 19 Jan
⌚️ 5pm - 7pm
💻 Webinar
2⃣  CPD

Register now ⬇
https://t.co/P6e5tfLrvm

@niamhfee89 https://t.co/YY3Zx2Z8ri","{'neg': 0.0, 'neu': 0.955, 'pos': 0.045, 'compound': 0.2023}",0.2023
1475475807866953740,2021-12-27 14:37:00+00:00,"Sign up now! Whether you missed out last time around or you're a brand new NCHD, you now have another opportunity to sign up to our Continuous Professional Development Support Scheme. Deadline is 31 Jan 2022. 

To register or find out more ⬇️
https://t.co/ycyCdGXvzV https://t.co/uBAwH7gQTr","{'neg': 0.045, 'neu': 0.837, 'pos': 0.118, 'compound': 0.5562}",0.5562
1475406602035363841,2021-12-27 10:02:00+00:00,"Register now! The deadline is fast approaching to book a place on our Certificate in Essential Leadership for New Consultants. Register before 7 Jan at: https://t.co/s0pEVhecsG 

@DrTrevorDuffy @goldmap1 @mountfordjames @ConsidineMgt @PeterLachman @EQuitaConsult @CcoHse https://t.co/hIU4mJUcZC","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1474673775350370310,2021-12-25 09:30:00+00:00,"Wishing a very safe, happy and peaceful Christmas to all our RCPI Trainees, Members and Fellows this festive season.

#MerryChristmas2021 

@profmaryhorgan @climurphy @EmerShelley @RCPIArchive @RCPI_Trainees @RCPI_ObsGyn https://t.co/cxcN5j4lNh","{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.941}",0.941
1474311386071285771,2021-12-24 09:30:00+00:00,"A Stitch in Time: A Paediatrician’s Guide to Mitigating Childhood Adversity

🗓️ 11 Jan
⌚️ 6pm - 7.30pm
💻 Webinar
2⃣  CPD

To register or find out more ⬇
https://t.co/6Q4S2NmLmB

@docsiobhan https://t.co/TJ1zRdsnMg","{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.4215}",-0.4215
1474060924201971720,2021-12-23 16:54:45+00:00,"🛍 Looking for that final last-minute stocking filler? Grab a copy of this fascinating book from our online shop. Perfect for sports/history fans ➡ https://t.co/441kopHAfQ

@RCPIArchive https://t.co/cxp8WTCuxl","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.8327}",0.8327
1474060733402927123,2021-12-23 16:54:00+00:00,"Closing soon! Registration for our Certificate in Essential Leadership for New Consultants closes on 7 Jan. Book now to join this expert-led course ➡ https://t.co/s0pEVhecsG 

@PeterLachman @lulunugent @CcoHse https://t.co/jpWvigrqkr","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.3595}",0.3595
1474020971652681729,2021-12-23 14:16:00+00:00,"Sign up now! Registration has re-opened for our Continuous Professional Development Support Scheme for NCHDs. The new deadline is 31 Jan 2022.

To register of find out more ⬇️
https://t.co/ptVgJk86Us https://t.co/AS5V5Ncvnx","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4574}",0.4574
1473626553653342213,2021-12-22 12:08:43+00:00,"The National Immunisation Advisory Committee (NIAC) has written to the @CMOIreland with recommendations re: the interval between laboratory-confirmed breakthrough infection and an additional or booster COVID-19 vaccination.

Read the full advice ➡️ https://t.co/9y9cTif4tI https://t.co/5SQoaf5EV5","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473587917310382089,2021-12-22 09:35:12+00:00,*National Clinical Programme for Paediatrics and Neonatology,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473360075205103616,2021-12-21 18:29:50+00:00,"The Faculty of Paediatrics along with the National Children's Programme for Paediatrics and Neonatology welcomes and supports the COVID-19 vaccine programme for children aged 5-11 years and encourages parents to avail of vaccination.

Read more ⬇️
https://t.co/b7kU4BHtRB https://t.co/gwmJcAtdRN","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.7964}",0.7964
