id,created_at,text
1477219607618502658,2022-01-01 10:06:14+00:00,"Congratulations to all the College members recognised in the #NewYearsHonours. College President @mike4path:`I would like to congratulate them for their exemplary work for the benefit of patients, which is even more remarkable for having taken place during the COVID-19 pandemic.' https://t.co/YaJlX9ZOew"
1476886065948602375,2021-12-31 12:00:51+00:00,"In this podcast listen to the College President @mike4path talk about his career, priorities as President and his advice for medical students and doctors.  Available on Spotify and other platforms @medspirepodcast 
https://t.co/BYuWFkkeYO"
1476554136183353349,2021-12-30 14:01:53+00:00,‘Our haemophilia specialist multidisciplinary team (MDT) aims to support individuals to live the life they want to lead and I really enjoy building up relationships with these patients over time.’ Dr @shapiro_susie in our latest #spotlightblog. Read more⬇️ https://t.co/EqHa7pj28k https://t.co/g0yqqy9pwx
1476191338920034307,2021-12-29 14:00:16+00:00,"Pathology laboratory systems are still under tremendous stress from COVID-19. RCPath, with @IBMScience @ACP_Pathologist @TheACBNews has produced guidance on prioritisation of resources. This gives advice to path services on supporting clinical services https://t.co/aw61jvBrX7"
1475874504949837835,2021-12-28 17:01:17+00:00,"Did you know that #MedicalExaminers can claim #CPD credits?

Check out the link below for more information on how to claim CPD. (Medical Examiners section on page 4).

https://t.co/3VMPDe5X6K https://t.co/wwAnYUwoqT"
1474319302673289217,2021-12-24 10:01:27+00:00,"Wishing all our members, colleagues and stakeholders a happy Christmas and New Year! 

The College will be closed for the festive break and will reopen on Tuesday 4 January. https://t.co/IGBCIteubX"
1474002005811204103,2021-12-23 13:00:38+00:00,Take some time out from your Christmas preparations and check out our pathology-themed colouring resources #IncredibleYouArt. Relaxing and fun for all ages: https://t.co/N04DaQZy4E @DrLizzieBurns https://t.co/g6SoMu6F5Q
1473337875760570387,2021-12-21 17:01:37+00:00,"Unsure on how many #CPD credits you can claim for certain activities? Or even if you can claim #CPD credits in the first place?

Please check out our updated #CPD guide!

https://t.co/6YXVPHO9xK https://t.co/CNDKgBJ7JX"
1472960311158362119,2021-12-20 16:01:19+00:00,"Our new blog – celebrating International Pathology day 2021, is a roundup of the day sponsored by Sonic Healthcare UK and @BritSocHaem. Talks, lunchtime activities and the roundtable are available to view on-demand here: https://t.co/gzy4tG8fTn https://t.co/YD2iW1XM8d"
1472899801398325252,2021-12-20 12:00:52+00:00,"In this video message, which we co-badged with @RCObsGyn, Dr Erin Whyte addresses the myth about #COVID19 vaccines in relation to fertility:  https://t.co/N3OjWFChYy #GetYourShot #COVIDBooster https://t.co/kbknQtmL9w"
1471480686955704324,2021-12-16 14:01:49+00:00,"In our latest #ServiceSpotlight blog, Dr @shapiro_susie talks about her experience with her MDT team at Oxford University Hospitals NHS Foundation Trust @OUHospitals and their achievements in working with communities and patient groups.⬇️ https://t.co/B5W3qNyjnE https://t.co/mXCfthYPl4"
