id,created_at,text,scores,compound
1477248478225092611,2022-01-01 12:00:57+00:00,"Wishing everyone a happy and healthy new year, may 2022 bring you health, happiness, and prosperity 🎉!

#NewYear #2022 #HappyNewYear https://t.co/a8h6r4TKE4","{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.9041}",0.9041
1476493436681621504,2021-12-30 10:00:41+00:00,"For those who want to demonstrate their expertise in the healthcare of older people, our Diploma in Geriatric Medicine, in collaboration w/ @GeriSoc recognises the critical understanding &amp; clinical knowledge required in the field of geriatric medicine: https://t.co/jGlJvzalah","{'neg': 0.058, 'neu': 0.909, 'pos': 0.033, 'compound': -0.25}",-0.25
1476161275906428936,2021-12-29 12:00:48+00:00,"The RCP’s annual conference is back! 

On 31 March and 1 April, delegates will come together, reconnect and explore clinical and non-clinical topics.

Visit the Medicine 2022 website to book your place or submit an abstract: https://t.co/XQQuhFPMrg https://t.co/6wcc5MbDaO","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1475859432659693568,2021-12-28 16:01:23+00:00,"Are you a clinical leader looking to make change? Delivered with @BirkbeckUoL our new organisational change, leadership &amp; strategy module aims to equip clinicians with the opportunity to develop their medical &amp; clinical leadership! Read how to apply here: https://t.co/JTxwhpjvQ6","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.4753}",0.4753
1475496991404834816,2021-12-27 16:01:10+00:00,"If you’re applying for higher speciality training, why not see if you can apply for flexible portfolio training too? It offers time to undertake an additional training pathway alongside clinical training. We’re currently recruiting our next cohort: https://t.co/wJmP4drLPv https://t.co/oRMFNJZbOf","{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.2263}",0.2263
1475043791690252288,2021-12-26 10:00:19+00:00,"Applications for our six step programme for new consultants are open! Consisting of 6 contact days, with both face-to-face &amp; virtual classrooms to accommodate for busy schedules &amp; wellbeing woven throughout each day. Follow the link for more details: https://t.co/o4fA8OoZGf","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1474651292102504453,2021-12-25 08:00:40+00:00,Merry Christmas to all our members and Fellows in the UK and around the world who are celebrating today 🎄🎁. https://t.co/cJZI9UPAFu,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.802}",0.802
1474319175833337861,2021-12-24 10:00:57+00:00,"📣RCP Elections 2022📣

Members and fellows, you have until 19 January 2022 to submit questions to RCP presidential candidates about how they would carry out their roles in office. 

Find out more and submit a question here: https://t.co/VjVgLoDsqp","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1474032157110808583,2021-12-23 15:00:27+00:00,"There is concern that NHS systems can’t differentiate between 3rd primary course dose and booster dose of #COVID19 vaccine in severely immunosuppressed people.

To help you support your patients we’ve prepared a webpage dedicated to this issue. Read more: https://t.co/NH132HWBGs https://t.co/7Uubq4LYOw","{'neg': 0.062, 'neu': 0.725, 'pos': 0.213, 'compound': 0.743}",0.743
1473956770812997636,2021-12-23 10:00:53+00:00,"Our children's Christmas lecture is now available on demand! 🎄

Aimed at 12-18 year olds, the lecture explored how medicines can be used to fight diseases caused by bugs, why antibiotic resistance is an issue and what young people can do to help.

https://t.co/7Huhmqb7Iv https://t.co/w8B7fS5PM4","{'neg': 0.091, 'neu': 0.853, 'pos': 0.056, 'compound': -0.1759}",-0.1759
1473765969105494017,2021-12-22 21:22:42+00:00,"RCP president @bodgoddard, on @BBCNews, talking to @BBCShaunLey about the results of our latest #COVID19 member survey showing that 1 in 10 doctors are off work.

https://t.co/Tn2xhNFmML https://t.co/H2IlOpqS0W","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
