id,created_at,text
1477973249799737348,2022-01-03 12:00:56+00:00,"Have you seen our latest guidance on incidental irradiation of the spleen?

The purpose of this guidance is to raise awareness of the spleen as an organ at risk (OAR) structure.

Learn more: https://t.co/0e9GpdQizs

#ClinicalOncology https://t.co/6NDFriJ6wZ"
1477203071109406721,2022-01-01 09:00:31+00:00,"Happy New Year! Thank you to everyone who has supported us over the past 12 months. 

2022 promises to be an exciting year for the RCR and we'll continue to lobby on behalf of our members to build the #radiology and #oncology workforce for the future. https://t.co/1LpSgE4zks"
1476191627198750723,2021-12-29 14:01:24+00:00,"We have published a review of molecular #radiotherapy services in the UK, which looks at service readiness to adopt new nuclear medicine treatments and imaging techniques as they come online.

📘 https://t.co/v3SU9itiZA

@RCPhysicians @ipemnews @BNMSnews https://t.co/ZNKRIOQo7R"
1474651254223781888,2021-12-25 08:00:31+00:00,"Season's Greetings from all of us at the RCR. We hope you enjoy the holidays ✨🎄✨

A special thank you to all our Fellows and members working through the festive period. https://t.co/prl9jHOVPu"
1474424845068816384,2021-12-24 17:00:51+00:00,"Over the Christmas period, we will be closed between 25 December 2021 and 4 January 2022.

If you need to contact us during this time, please email enquiries@rcr.ac.uk ✉️ https://t.co/LYrTki9qtS"
1474319097756270594,2021-12-24 10:00:39+00:00,"""I want to thank you all for your help and support in 2021, and I look forward to reaching greater heights together in 2022.""

Our President @JeanetteRCR shares her thoughts on the last 12 months and looks forward to the New Year in her latest blog.

👉 https://t.co/aYJpPg1vhg https://t.co/YEqK2Uldi4"
1473956714982645764,2021-12-23 10:00:40+00:00,"Registration is open for our popular Supervisor skills online course ✍️

Designed for consultants, the course content maps to the Academy of Educators Standards and meets the standards required for recognition as a trainer with @gmcuk.

View the agenda: https://t.co/XdAlXmzmbd https://t.co/4Ak1JooNTQ"
1473582847055302656,2021-12-22 09:15:03+00:00,"On-demand registration closes at midnight ⌛

Don’t miss your chance to hear and learn from expert speakers providing updates on latest developments, evidence-based sessions and high-quality CPD.

Book your sessions today: https://t.co/1Aj7nwEcin https://t.co/nSlviAvVnb"
1473352746984165379,2021-12-21 18:00:43+00:00,"Sign-up to our first #radiology webinar of 2022, as we explore the benefit of fine needle aspiration in head and neck – specimen management and the role of Rapid Onsite Evaluation. 

Book now: https://t.co/ijEc5XQ5fE https://t.co/wqrDfyZpvn"
1473335656063582209,2021-12-21 16:52:48+00:00,"In April, we published ‘Care is not just for the Patient’, a report exploring the mental health and wellbeing issues faced by our members every day.

🔗 https://t.co/vLeH4mkrB4 https://t.co/LFDg3ty0xg"
1473335652477505543,2021-12-21 16:52:47+00:00,"This year’s #Radiology workforce census revealed huge shortages across radiology departments.

We need more funding, more trainees, and more understanding of the pivotal role radiology plays in improving patient outcomes.

Read more: https://t.co/esI8aQAmDF https://t.co/PIC3E8Ssbq"
1473335648471994370,2021-12-21 16:52:46+00:00,"Our 2020 #Oncology workforce census highlighted the widening gap between the future demand for cancer services and the specialist oncologist workforce who provide the service.

View the full report: https://t.co/zto0TbBfma https://t.co/7IMYTXTUPl"
1473329106171355136,2021-12-21 16:26:46+00:00,"Our virtual regional visits provide an important opportunity for members around the world to come together and meet our Officers 🌏

All #RCRFellows and members are warmly invited to join us and take part in the discussion. 

More information: https://t.co/qif4eaaGSL https://t.co/3jamfQiGYN"
1473324448946208769,2021-12-21 16:08:16+00:00,"We examined 1,300 Clinical Oncology and 3,300 Clinical Radiology candidates - an impressive feat given continuing restrictions.

Final Part B exam reform continues in both faculties, and in Clinical Radiology, Egypt and India have been introduced as new global exam venues ✍️ https://t.co/iBJVUmN7qx"
1473321788654379012,2021-12-21 15:57:42+00:00,"@kzamanamit Hi @kzamanamit, we have sent you a dm."
1473320478995537930,2021-12-21 15:52:29+00:00,"The @RadReach programme, launched in September, is aimed at encouraging under-represented groups to pursue careers within clinical oncology or clinical radiology.

Learn more about RadReach: https://t.co/Y0phf70f6L https://t.co/70UnoH8qO9"
1473314869319540749,2021-12-21 15:30:12+00:00,"The Admission Ceremony is one of the highlights of the RCR year!

While we couldn’t come together in person to celebrate, we hosted virtual events to recognise the work and commitment of all new #RCRFellows at this important moment in their journey. https://t.co/c69h4YajG3"
1473296048558948365,2021-12-21 14:15:25+00:00,"We delivered 54 live webinars and have been joined by a total of 7,420 live attendees 💻

All webinars are available on the RCR Learning Hub, which was re-launched in April and now offers over 1,500 learning resources for members.

https://t.co/HEhMkUvNl3 https://t.co/uASgI48znn"
1473271126801498117,2021-12-21 12:36:23+00:00,"We published our policy priorities for Clinical #Oncology and Clinical #Radiology for the next five years.

These will ensure the UK’s imaging and cancer teams have the resources they need to provide the best outcomes for patients.

➡️ https://t.co/Ls5rsLc5pk https://t.co/KWiqr28U6C"
1473258507663253506,2021-12-21 11:46:14+00:00,"Over three weeks our annual conference #RCRLive21 delivered 45 sessions, offering over 70 CPD hours!

We also welcomed @CMO_England who delivered the President’s Plenary Lecture. https://t.co/E400GBnYGh"
1473243622283919363,2021-12-21 10:47:05+00:00,"2021: Secured increased training numbers and funding for more equipment 📈

2022: Building on these asks to make the case for long term investment in workforce ⚙️

Learn more about this year’s #workforce campaign: https://t.co/uRTygUjUTy https://t.co/Pp6ILPMGRK"
1473243604894334978,2021-12-21 10:47:01+00:00,"As we approach the end of 2021, we’re looking back at some of the RCR’s highlights from a challenging but rewarding year! 👇"
1472597749413597186,2021-12-19 16:00:37+00:00,"This new e-learning series, featuring interactive bitesize sessions, provides an in-depth overview on #skincancer and serves as a beneficial revision aid.

Find out more by logging in or signing up to the RCR Learning Hub: https://t.co/3rWsH0emVk https://t.co/nRT5RUFZEP"
1472597746720858118,2021-12-19 16:00:37+00:00,We recently published our guidance on incidental irradiation of the spleen. Find out more 👇https://t.co/XSzTr0Y8ox
