id,created_at,text
1141422913234644999,2019-06-19 19:10:03+00:00,FINAL CALL - Applications for The Membership in Advanced General Dental Surgery close on Friday. Fill the gap in your career and apply today https://t.co/V2UTVA0Mbq https://t.co/0WZBKiXRi9
1140697632135942144,2019-06-17 19:08:03+00:00,Applications for the Membership in Advanced General Dental Surgery exam CLOSE on Friday 21 June. Apply online today to be part of the final 2019 examination diet https://t.co/fBIppHeMyQ https://t.co/Spte5a8JNv
1135618437823287297,2019-06-03 18:45:09+00:00,Familiarise yourself with the Membership in Advanced General Dental Surgery exam with our helpful guide. Online applications are now open until Friday 21 June https://t.co/fBIppHeMyQ https://t.co/TsBCDKDBAb
1133084214444875778,2019-05-27 18:55:03+00:00,"Positioned between the levels of general dental surgery and consultant level treatment, fill the gap in your career and apply for the Membership in Advanced General Dental Surgery today https://t.co/V2UTVA0Mbq https://t.co/3mCQsmdXwp"
1128014553059606529,2019-05-13 19:10:01+00:00,"Set at the same level as specialty exams, but across the generalism of General Dental Practice, apply today for the Membership in Advanced General Dental Surgery https://t.co/V2UTVA0Mbq https://t.co/M56JIyHR3f"
1120398367266353153,2019-04-22 18:46:01+00:00,"Currently the only General Dental Practitioner membership award benchmarked against level 2 treatments, apply today for the Membership in Advanced General Dental Surgery https://t.co/V2UTVA0Mbq https://t.co/fSB5rCh0I8"
1119644650929827841,2019-04-20 16:51:01+00:00,"We're recruiting for Dental Ambassadors! Here's your chance to ensure the views of your local #dental community are heard - apply now https://t.co/L0qFuOoZl0
#dentists #dentalcare https://t.co/HUWlrQenrR"
1118862006247927809,2019-04-18 13:01:04+00:00,"Applications now open for Dental Ambassadors. Give something back to your profession - inspire and support others! https://t.co/L0qFuOoZl0
#dentalcare #dentists #dental https://t.co/gTPatuGk8l"
1117863918561648646,2019-04-15 18:55:01+00:00,"Providing a pathway for clinical development in General Dental Practice, apply today for the Membership in Advanced General Dental Surgery https://t.co/V2UTVA0Mbq https://t.co/lcj2G9Gz5o"
1112794766889140226,2019-04-01 19:12:01+00:00,"Designed after comprehensive consultation with General Dental Practitioners, the Membership in Advanced General Dental Surgery is accepting applications today https://t.co/V2UTVA0Mbq https://t.co/GvLlSEurLz"
1107716302796455937,2019-03-18 18:52:01+00:00,"For practitioners who want to lead a team of colleagues providing level 2 treatments, the Membership in Advanced General Dental Surgery is accepting applications today https://t.co/V2UTVA0Mbq https://t.co/noUFRvbdN2"
1106533630011154433,2019-03-15 12:32:30+00:00,@RCSEdFDS are all set at the @BSSPD  conference!#prosthodontics #facultyofdentalsurgery https://t.co/CC9gyx5U2f
1105183110801616896,2019-03-11 19:06:01+00:00,"Offering recognition for more experienced practitioners who seek recognition for their higher level skills in General Dental Practice, the Membership in Advanced General Dental Surgery is open for applications https://t.co/V2UTVA0Mbq https://t.co/U6wTl6uAIf"
1101417402603057152,2019-03-01 09:42:26+00:00,"David is the second winner from @NewcastleSDS! Thanks to all those who took part and made the tournament a great success. You can find out more information on the competition, here - https://t.co/mMTStbuI02"
1101417076969926656,2019-03-01 09:41:09+00:00,Congratulations to David Cobbett of @NewcastleSDS who was victorious in the 2019 final of our #DentalSkillsComp with @DENTSPLY_UK #champion #winner https://t.co/MmCMBySLhc
1101114513368207361,2019-02-28 13:38:52+00:00,Join us on our Instagram now for live coverage of the 2019 #DentalSkillsComp Final! https://t.co/LaJzNTxuCU
1101059227454504960,2019-02-28 09:59:11+00:00,Today is the final of the RCSEd Dentsply Sirona Dental Skills Competition! You can follow the events on our our social media channels throughout the day. Good luck to all those who have made it this far! #DentalSkillsComp https://t.co/mMTStbuI02 https://t.co/VdEh7fPQOT
1100834707812560897,2019-02-27 19:07:01+00:00,Nominations are invited for the awards of the Faculty of Dental Surgery (Home) Medal and the Faculty of Dental Surgery (International) Medal of the Royal College of Surgeons of Edinburgh https://t.co/7S2wASacj0 https://t.co/AEc0hDaaj2
1100106158130561024,2019-02-25 18:52:01+00:00,Aimed at early career practitioners who want a defined pathway and high level recognition for their attainment in General Dental Practice - register today for the Membership in Advanced General Dental Surgery https://t.co/V2UTVA0Mbq https://t.co/IFx9lHxsar
1098679002489933825,2019-02-21 20:21:01+00:00,"Read the full story on our website, as we partner with the Scottish Dental Magazine https://t.co/mWQMpiiyCH https://t.co/HluJXgBvi0"
