id,created_at,text
1477988386736648193,2022-01-03 13:01:05+00:00,"Join our upcoming suturing course and learn how to complete a reef knot satisfactorily in less than minutes, whilst being able to demonstrate an increased level of skill in laparoscopic suturing. Register today: https://t.co/dJLwsaX25K https://t.co/yA0SqVsLf6"
1477912830842134530,2022-01-03 08:00:51+00:00,"Join us for this upcoming webinar, which will look at the management of malignant upper tract obstruction whilst presenting Oncological and Urological perspectives. Register now: https://t.co/gJO8DNbrri https://t.co/iVtwjEdUFx"
1477715071040163842,2022-01-02 18:55:02+00:00,"Apply now for the RCSEd Diploma in Special Care Dentistry. Achieving this Diploma allows candidates to demonstrate their knowledge of Special Care Dentistry, as well as their clinical reasoning and clinical problem-solving skills. Learn more: https://t.co/nmSY3JZrbN https://t.co/VTA20SijTJ"
1477625871380975621,2022-01-02 13:00:35+00:00,"In this two-day course, participants will learn how to interpret neuro-radiological investigations for multiple intracranial pathologies and describe the impact and influence on patient management of neuro-radiological investigations. Register here: https://t.co/7j0oqXXU2c https://t.co/kf3kxRDonY"
1477551492634755072,2022-01-02 08:05:02+00:00,"The life of a surgeon is as fulfilling as it is demanding, but these demands can take a toll. Learn about RCSEd’s Moon and Back campaign, and how we are driving awareness of  mental health: https://t.co/z651mIoo0j #MoonAndBack https://t.co/EqLJXY4XrN"
1477339214987632640,2022-01-01 18:01:31+00:00,"Aimed at all surgical and medical health professionals, the College and FST’s 2022 Triennial and ICOSET Joint Conference will look at current issues facing surgery, and will explore and debate crucial issues related to training #ICOSET22 https://t.co/mLxdvp3wXP #RCSEdTriennial https://t.co/BruzXoNnEz"
1477172963304738816,2022-01-01 07:00:53+00:00,The College wishes you all a Happy New Year - all the best for 2022! https://t.co/3Ryaw6omUR
1476947010599239691,2021-12-31 16:03:02+00:00,Applications are now invited for the Membership in Sport and Exercise Medicine Part 2 examination which will be taking place in April 2022. The closing date is 6 February - find out how to apply: https://t.co/wUHmJs3UMA https://t.co/p7uivUkfOF
1476870953284124672,2021-12-31 11:00:48+00:00,"The call for Abstracts for the 20th RCSEd QI &amp; Audit Symposium is open until 4 January! Topics for submission include General Surgery, Trauma &amp; Orthopaedics, Specialties &amp; Common Interest and this year, for the first time, Patient Safety. Find out more: https://t.co/Io8moo9MaB https://t.co/241Jv6ZeNO"
1476622874064605190,2021-12-30 18:35:02+00:00,Applications for the Saleem Khwaja Memorial Fellowship in Paediatric Surgery are invited from Higher Surgical Trainees or Junior Consultants (up to two years post-appointment) who are Members or Fellows of the College until 9 March 2022. Find out more: https://t.co/JmKQoHLLYo https://t.co/43LNhQdB1t
1476538847764828160,2021-12-30 13:01:08+00:00,"Join us for this upcoming evening, where candidates will be informed of what the format CST interviews entails, how to prepare for them with indication of useful preparation materials and experiences/advice from recent successful candidates. Register now: https://t.co/4I36DXZC0H https://t.co/wHHd2vxEbO"
1476466850343043075,2021-12-30 08:15:03+00:00,We are now welcoming abstract submissions for the RCSEd Chennai Conference. The authors of selected submissions will have the opportunity to present their research at the conference – submit yours by 27 May to be considered. Find out more: https://t.co/gl7Qvzsp8A #Chennai2022 https://t.co/owYC76d21U
1476222178010013704,2021-12-29 16:02:48+00:00,"Apply now for the RCSEd Diploma in Special Care Dentistry. Achieving this Diploma allows candidates to demonstrate their knowledge of Special Care Dentistry, as well as their clinical reasoning and clinical problem-solving skills. Learn more: https://t.co/nmSY3JZrbN https://t.co/EcDHj6e8pN"
1476162341867859970,2021-12-29 12:05:02+00:00,Applications are now being accepted for the April diet of the MFDS Part 1 Examination until 30 January 2022. Find out more: https://t.co/NEw456dtyq https://t.co/oeC4aw44cP
1475889851602018309,2021-12-28 18:02:15+00:00,"If you have registered for the RCSEd 2022 Triennial ICOSET Conference, you can now submit your abstracts on Surgical Education and Training and on how you will contribute to ‘Making it Better’ before 30 January 2022 #ICOSET22 #RCSEdTriennial https://t.co/BO3sFqJts3 https://t.co/qR9jR71M9l"
1475802476783747076,2021-12-28 12:15:04+00:00,"Join us in January for this upcoming webinar, in partnership with ENTUK, which will discuss the mulitdisciplinary team's approach to microtia and atresia. Register today: https://t.co/6O2FPPxfMO https://t.co/z3rkhujy3b"
1475739554619473923,2021-12-28 08:05:02+00:00,We can’t get on top of mental health if we don't start the conversation. That’s why we all need to do our bit. Learn about RCSEd’s Moon and Back Campaign and how you can get involved today: https://t.co/z651mIoo0j #MoonAndBack https://t.co/7kGYlrQ0yU
1475527421487030277,2021-12-27 18:02:05+00:00,"Join us in supporting AfPP in their aim to understand more about surgical smoke plume by completing their survey, which is open to everyone working in theatres – surgeons, anesthetists, theatre nurses, ODPs, and the wider perioperative team.
Survey link: https://t.co/LmZc14hY9P https://t.co/i2vlwkGIqE"
1475440090063253507,2021-12-27 12:15:04+00:00,RCSEd is currently recruiting new members for the Trainees' Committee from within the UK-based surgical trainee membership of the College. The deadline for nominations is 10:00 on Monday 17 January 2022 - find out more: https://t.co/CFkiJA4N2z https://t.co/oYDw8GGF41
1475376163912663040,2021-12-27 08:01:03+00:00,Last chance to submit your application for the February diet of the MFDS Part 2 Exam. The closing date for applications is 31 December - find out how to apply and more here: https://t.co/bs8ryZ8iCL https://t.co/yECi1Bgf6F
1475172090777059330,2021-12-26 18:30:08+00:00,This RCSEd online Prep course is aimed at candidates preparing for the RCSEd Diploma in Special Care Dentistry (DSCD). It gives participants the opportunity to familiarise themselves with the exam format and includes sample questions. Book Now: https://t.co/MYl4ff0ATZ https://t.co/xHliEODo8q
