id,created_at,text
1475519932767035395,2021-12-27 17:32:20+00:00,"Why do we feel so ‘blah’ after Christmas?

@JolantaBurke explains why some of us languish in the days after Christmas and shares her mood boosting tips in @ConversationUK 

https://t.co/OSiS1xxFtO

@RCSIHealthPlus"
1473972376211709952,2021-12-23 11:02:54+00:00,"Letting go of the 'perfect Christmas' and choosing self-compassion.

@JolantaBurke @DrTrudyMeehan share their suggestions for those who might be struggling this Christmas. 

https://t.co/l1WB3T7q1x 

@RCSIHealthPlus"
1473673639241334787,2021-12-22 15:15:49+00:00,"Until we meet again...Season's Greetings from all at RCSI.🎄✨

#RCSIAlumni #RCSI https://t.co/GHBZ3Z4Aa9"
1473630139271446529,2021-12-22 12:22:58+00:00,@kate_gajewska @SPHeREprogramme @hrbireland @pharmacoepircsi @regienbb Congratulations Kate! 🙌
1473617272128344071,2021-12-22 11:31:50+00:00,@ciaranc94 @Futureneuro_ie Congratulations Ciarán! 👏
1473279633311285250,2021-12-21 13:10:11+00:00,"In what has been another unforgettable year, we look back with great pride on RCSI's achievements, despite the challenges faced. 

📽️https://t.co/oIZpV7pPQ1 https://t.co/cfDMHhckq3"
1473266011101147140,2021-12-21 12:16:03+00:00,"A stunning performance of Silent Night on the steps of RCSI. ✨

We were honoured to have @patrickdextervc join us for the @RCSI_FacNurMid Christmas Gathering for Fellows Members and Friends. https://t.co/skK84hVA5e"
1473254219322908677,2021-12-21 11:29:12+00:00,"Supporting the mental health of first responders.

Michelle O'Toole @RCSI_SIM talks to @IT_HealthPlus 
about a new @MovemberIreland funded project co-led by @WalterEppich to help emergency workers.

https://t.co/uq3x3jRgtl"
1472863885996789760,2021-12-20 09:38:09+00:00,".@iPASTAR_stroke aims to improve the delivery of patient-focused stroke care

@IMT_latest #strokecare #strokerecovery
https://t.co/2hbklmbnho"
1471872807437058049,2021-12-17 15:59:58+00:00,"To celebrate #ArabicLanguageDay tomorrow, discover the inspiring exhibition @UNESCO exploring the beauty of the #ArabicLanguage through the eyes of artists around the world.

💬 https://t.co/nr0KgvMa0u 
@RCSI_SU_ @RCSIPGSU https://t.co/xIuja2NWsf"
1471866042578354182,2021-12-17 15:33:05+00:00,"@JolantaBurke @DrTrudyMeehan ""for some people, this time of year is more stressful than getting caught speeding or jaywalking.""

@ConversationUK @RCSIHealthPlus #stressmanagement #Christmas2021 
https://t.co/4rFcpA9EWw"
1471865704555196421,2021-12-17 15:31:44+00:00,"How to cope with Christmas stress 

Dr @JolantaBurke and @DrTrudyMeehan share techniques to help you deal with the stress of the season. 
https://t.co/4rFcpA9EWw"
1471849177848201221,2021-12-17 14:26:04+00:00,"RCSI launches research programme to improve patient-focused stroke care

@iPASTAR_stroke @hrbireland @ucddublin 
https://t.co/90fgX47v5A"
1471838329545109511,2021-12-17 13:42:57+00:00,"We welcome today's @hrbireland investment of €21m for cancer clinical trials to transform cancer care in Ireland.

We look forward to hosting the National Cancer Clinical Trial Network with @cancertrials_ie and our group partnership with @CancerCentreIre

https://t.co/LX6E1u5gh4 https://t.co/jOKUATsjdj"
1471779174193025027,2021-12-17 09:47:54+00:00,"Today, we will launch @iPASTAR_stroke, a new research programme to improve the delivery of patient-focused stroke care.

Join us at 11am: https://t.co/k9sSH3x3z1 #strokecare https://t.co/HIaZLR8cxR"
1471522942978768901,2021-12-16 16:49:43+00:00,"Congratulations to Prof. Kathleen Bennett @pharmacoepircsi and Dr Maeve Mullooly  @lavallymaeve on their new @IrishCancerSoc funded project.

Their research will help to shed light on the impact of the #Covid_19 pandemic on cancer diagnosis, treatment and survival in Ireland. https://t.co/GsGRB8tYjY"
1471483805370400768,2021-12-16 14:14:12+00:00,"We are delighted to receive The Keep Well mark, recognising our commitment to employee well-being. 

@IbecKeepWell #IbecKeepWell
https://t.co/gVmc2hslRZ"
1471414997972574208,2021-12-16 09:40:47+00:00,"Living well after stroke 

@iPASTAR_stroke researchers will introduce their projects focused on improving patient-focused stroke care.

Join us tomorrow. https://t.co/k9sSH3x3z1 @ucddublin https://t.co/mlDY3uX52K"
1471047651340820485,2021-12-15 09:21:05+00:00,"StAR MD candidates investigate the most urgent health issues in collaboration with hospital partners.

Apply for the 2022 programme now. https://t.co/XIisV5SwGW https://t.co/oz5hM8eJJS"
1470863107325145089,2021-12-14 21:07:46+00:00,"RCSI joins scientists and medical professionals calling for #TRIPSWaiver for COVID-19 vaccines.

Dr ⁦@DebStanistreet⁩ talks to ⁦@drivetimerte⁩. 

#VaccinEquity #HealthforAll  https://t.co/IrImxHTVtt"
1470711613602816000,2021-12-14 11:05:47+00:00,"Dr @DebStanistreet said: ""We need to provide a sustainable solution immediately and remove the barriers that are fast reversing hard-won progress against poverty and poor health in low-income countries.""

#VaccinEquity #TRIPSwaiver"
1470711035753824259,2021-12-14 11:03:30+00:00,"RCSI calls for TRIPS Waiver to provide equal access to COVID-19 vaccines 

#VaccinEquity #TRIPSwaiver
https://t.co/5DLs338Ezh"
1470709752707653632,2021-12-14 10:58:24+00:00,"Building a healthier Europe 

Prof. @BoNorrving will present the #StrokeActionPlan for Europe on Friday. 

 🎫https://t.co/k9sSH3x3z1 #strokecare https://t.co/j5EhhclZ0r"
1470345739310141445,2021-12-13 10:51:56+00:00,"@markshrime @RCSI_GlobalSurg 📢The call for abstracts for the Dublin Meeting in Patient-Centred Global Surgery is open 

📩Submit your papers by 9 Jan. https://t.co/x2N3RYR6Ww 

💬All accepted papers will be presented virtually. No travel required. #GlobalSurgery https://t.co/Vli2BY0ywD"
1470344645234286599,2021-12-13 10:47:35+00:00,"What is patient-centredness in #globalsurgery?

Prof. @MarkShrime explains. 
https://t.co/x2N3RYR6Ww @RCSI_GlobalSurg https://t.co/1piQJfLlJc"
1470333737166684160,2021-12-13 10:04:15+00:00,"1 in 5 people will have a stroke at some time in their life.

On Friday, @iPASTAR_stroke researchers will share their projects to improve patient-focused stroke care.

All welcome: https://t.co/k9sSH3x3z1 #PPI https://t.co/nwK6EJHCBl"
1470324369784066049,2021-12-13 09:27:01+00:00,"Listen to our mothers - fresh air and ventilation can prevent virus spread in hospitals

Prof. @HHumphreys11 @RCSI_Micro writes @thejournal_ie. https://t.co/C2a3xdNuQR"
1469272191095169025,2021-12-10 11:46:02+00:00,".@SurgeryIreland and @HSELive agree joint position on surgical antibiotic prophylaxis

The initiative aims to reduce patient harm and the development of #antimicrobialresistance in Ireland.

https://t.co/C5TmHJpN2Y https://t.co/x6KCEOUuZE"
1469261127292964868,2021-12-10 11:02:04+00:00,"Stroke can strike anyone, at any age.

On 17 Dec, stroke survivors on their experiences of life after stroke and being involved in @iPASTAR_stroke.

All welcome. https://t.co/k9sSH3x3z1 @hrbireland https://t.co/663HDJxEuU"
1469246063332761600,2021-12-10 10:02:13+00:00,"Are you interested in a career in physiotherapy, medicine, pharmacy or advanced therapeutic technologies?

Sign up for our virtual Open Day on 5 Jan. 
🎫https://t.co/q0UvhK0E8i https://t.co/gk8ftqJZSy"
1468627676957224964,2021-12-08 17:04:58+00:00,"Congratulations to our new Fellows, Members and Diplomates who were conferred today. 🙌

#RCSIConferring

https://t.co/SA46JksHWy https://t.co/YMLo8MbbUz"
1468567346159800321,2021-12-08 13:05:14+00:00,"@RCSI_Research The RCSI StAR MD programme 2022 is run in collaboration with Beacon Hospital, @brc_clinic, Bon, Secours Hospital Dublin, @hermitageclinic, @materprivate and @SSCSantry

Apply by 6 Jan. #clinicalresearch #patientcare
https://t.co/r6w6J9Aea4"
1468566924279824384,2021-12-08 13:03:34+00:00,"Working with hospital partners, RCSI StAR MD candidates strive to find innovative, impactful solutions to healthcare issues.

Apply for the 2022 programme now. https://t.co/XIisV5SwGW https://t.co/JrsPETdXSf"
1468565071831912455,2021-12-08 12:56:12+00:00,"Tune in to @LunchtimeLiveNT at 1pm to hear Prof. @SamuelMcConkey1 discuss the NIAC announcement on #COVID19 vaccines for 5-11 year olds.

Listen live at: https://t.co/YWhJtBRWF7 https://t.co/aaI8H4naiy"
1468515180325879808,2021-12-08 09:37:57+00:00,"Living well after stroke 

You're invited to a symposium marking the launch of @iPASTAR_stroke on 17 Dec. 

#strokecare #strokeactionplan"
1468503937602965507,2021-12-08 08:53:16+00:00,"We're looking forward to welcoming new Fellows, Members and Diplomates at our virtual conferring ceremony today. 

Join us at 3pm. https://t.co/rOtuHkrFa1 #RCSIConferring https://t.co/Pz2ul53mrj"
1468497597346287617,2021-12-08 08:28:05+00:00,"🔈 RCSI will reopen as planned today.

As Dublin is still under a status yellow wind and rain warning, all students and staff are encouraged to continue to take care. 

#StormBarra https://t.co/iptS6WNfRh"
1468307478492418051,2021-12-07 19:52:37+00:00,"We urge all students and staff to continue to take all the necessary precautions to stay safe.  

Please check the @MetEireann website for updates relative to your area. 

#StormBarra #StaySafe 

https://t.co/qKZuASntQN"
1468306642542510090,2021-12-07 19:49:18+00:00,"🚨#StormBarra update 

Following the most recent @DeptofFHed advice, RCSI will reopen tomorrow as normal. 

Students on clinical placement in red zones are advised not to attend.

Students in orange zones are encouraged to ask their course or site coordinator for guidance. https://t.co/yvrUPAcx2q"
1468298511934439435,2021-12-07 19:16:59+00:00,"RCSI’s new Fellows, Members and Diplomates will be conferred at our virtual #RCSIConferring tomorrow.

Join us at 3pm. https://t.co/4xjGVvYfyd 🎓✨ https://t.co/K2Z6RzHTmE"
1468186453918330888,2021-12-07 11:51:42+00:00,"Universal design for learning 

Dara Cassidy @elvrr explores how #UDL provides an effective framework to improve the learning experience of all students.

#highered @timeshighered https://t.co/lPzR9zbPRV"
