id,created_at,text,scores,compound
1477980563478876163,2022-01-03 12:30:00+00:00,"Is the future of surgery robotic? 

January’s issue of the Annals explores the use of technology and robotics in surgery, including the implications for trainees and the NHS. 

Read the full issue here: https://t.co/QGQvX6nrYW. https://t.co/xKd09ckPiV","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1477958043501568001,2022-01-03 11:00:31+00:00,Make it your #NewYear2022 resolution to certify your skills. Help us make aesthetic surgery safer by certifying under the Cosmetic Surgery Certification Scheme. Check your eligibility and start your application today: https://t.co/xqPMiz6blq https://t.co/fxAWrS6ibC,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.6705}",0.6705
1477293540665282563,2022-01-01 15:00:01+00:00,"How important is nutrition to postoperative recovery? 

January's Bulletin looks at the impact of hospital food on patients, how MRCS exam performance relates to specialty choice and the costs and benefits of clinical travelling fellowships. 

Full issue:
https://t.co/18xWix55OG https://t.co/7ng2TInnCQ","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.5267}",0.5267
1477218264195477505,2022-01-01 10:00:54+00:00,"#NewYear, new opportunities. There will be five vacancies to join our Council in 2022. This is your chance to represent your profession and the surgical community. More details to come when elections open on 5 January 2022. https://t.co/ISPfXzZKor","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.7003}",0.7003
1476922349601665033,2021-12-31 14:25:02+00:00,"We're unwrapping 2021 to see what you loved the most! The newsletter story you read the most celebrated members on the Queen's Birthday Honours list: https://t.co/GJDMTjZFw7

Keep an eye out for the New Year's Honours in January. https://t.co/Rav2OsZpTz","{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.9391}",0.9391
1476860443641933830,2021-12-31 10:19:03+00:00,@DrAphroditeENT We’re sorry that our choice of word in this tweet accidentally implied endorsement of the behaviour described in the article. Our series on unwrapping 2021 was intended to highlight our most popular content. Thank you for your feedback.,"{'neg': 0.078, 'neu': 0.698, 'pos': 0.223, 'compound': 0.7818}",0.7818
1476855856000077824,2021-12-31 10:00:49+00:00,"Despite 2021 being another year marked by the challenges of COVID-19, it has also been one of our most active. We opened the doors to our new home of surgery and published our diversity Action Plan. Thank you to our members, fellows, faculty and staff for another incredible year. https://t.co/LD2Xo9a0LQ","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.6997}",0.6997
1476549899936280576,2021-12-30 13:45:03+00:00,'Perfect for someone interested in breast surgery and/or undergoing a taster week... Amazing module!' Want to learn more about the modules on our PGCert in Surgery? Enrol in the full programme or select standalone modules to suit your career path: https://t.co/tpIgvU6joJ https://t.co/vMEeA3tfHJ,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.8955}",0.8955
1476490756160372739,2021-12-30 09:50:02+00:00,"We're unwrapping 2021 to see what you loved the most! The most read Bulletin article this year was on sexual assault in surgery: https://t.co/JpgnLq78Xv

Which Bulletin article was your favourite this year? https://t.co/Dh0pYfOPDe","{'neg': 0.097, 'neu': 0.795, 'pos': 0.108, 'compound': 0.1007}",0.1007
1476198855804923907,2021-12-29 14:30:08+00:00,Not every patient looks the same. We need to use diverse real-life images in medical training to deliver the best patient care. Help us create a truly diverse online medical media library. Donate: https://t.co/FQ8PQ4c0Uz https://t.co/zeWDg0Xe9V,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.9337}",0.9337
1476146103884132361,2021-12-29 11:00:31+00:00,"We're unwrapping 2021 to see what you loved most! The podcast episode you listened to most was on failing intelligently with @GinnyAB and @carisgrimes: https://t.co/6rZhDu3Lf5 

If you haven't already, subscribe to The Theatre on Spotify! https://t.co/eLIzzvu0i8","{'neg': 0.081, 'neu': 0.749, 'pos': 0.17, 'compound': 0.6021}",0.6021
1476100770286215169,2021-12-29 08:00:22+00:00,Making plans for 2022? Why not prepare to spend a year training in research? Applications are open for our One-Year Surgical Research Fellowship. Undertake your research in the UK and study any aspect of surgery or surgical care. Apply by 24 Feburary. https://t.co/MpsrbeCjei https://t.co/I9NVvihUj2,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.5514}",0.5514
1475813971340976132,2021-12-28 13:00:44+00:00,"We're unwrapping 2021 to see what you loved the most! The Instagram post you made viral was @cathyjmcd operating while 37 weeks pregnant: https://t.co/eeRrcbrQdP

Make sure you're following us on Instagram, and keep an eye out for the most popular podcast tomorrow. https://t.co/l4bXEZqtid","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.862}",0.862
