id,created_at,text,scores,compound
1477595571997270022,2022-01-02 11:00:11+00:00,"Speaking at our #RCGPLive event on Omicron, @GaryHowsam encouraged practices to review business continuity plans as many GP practices experience increased demand on services and will also have staff deployed elsewhere in the NHS. 

Watch the event back: https://t.co/QVSqRx0ftP https://t.co/l0CsFLFoCB","{'neg': 0.035, 'neu': 0.858, 'pos': 0.107, 'compound': 0.4767}",0.4767
1477228429070286851,2022-01-01 10:41:17+00:00,"Also among GPs receiving #NewYearsHonours are former @rcgp_ni Chair @GrainneRCGP OBE, College prescribing lead @TonyAvery1 OBE, @RCGP_SYNT Provost @AmarRughani MBE and Ethics Chair @SimonDGregory MBE - congratulations!","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.636}",0.636
1477226612030586881,2022-01-01 10:34:04+00:00,Lots of GPs being recognised for their work in the #NewYearsHonours - many congratulations to former Chair @HelenStokesLam who has received a Damehood for services to general practice.,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.5994}",0.5994
1477225767998304259,2022-01-01 10:30:43+00:00,"Happy New Year 🥳 to all our Members, Fellows and their teams!","{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.6114}",0.6114
1476958636119363586,2021-12-31 16:49:14+00:00,"Listen back to @michael_mul1 on @TimesRadio earlier (1h48m): “It was a huge challenge landed on us, on top of all the other things we have to do in general practice to ensure patients get the care they need - but GPs, our teams and volunteers stepped up” https://t.co/90JDajmK9e","{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.6249}",0.6249
1476901119901192194,2021-12-31 13:00:41+00:00,“Staff absence in general practice is a significant issue. Staff need access to tests to enable them to get back to work as soon as safely possible. But we also need investment in tech to allow well staff who are isolating to work remotely where appropriate” @MartinRCGP @SkyNews,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.7579}",0.7579
1476900568253845509,2021-12-31 12:58:29+00:00,"“Things are busy in general practice and we’re expecting them to get even busier over the next couple of weeks. It’s not just Covid, it’s people who are sick with other things and patients living with long term conditions” @MartinRCGP tells @SkyNews https://t.co/BZhTUYLGyo","{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.5106}",-0.5106
1476896638589415424,2021-12-31 12:42:52+00:00,General practice doesn't have access to the same levels of data on staff absence as secondary care. Help us build a picture of the situation in general practice by filling out our brief survey: https://t.co/mNgaimvfcn @MartinRCGP,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.7096}",0.7096
1476896024350310402,2021-12-31 12:40:26+00:00,"Watch out for @MartinRCGP on @SkyNews shortly discussing the efforts of GPs and their teams delivering the #COVIDBooster vaccine over the last few weeks, and pressures on general practice due to increasing levels of absence due to sickness and/or having to isolate","{'neg': 0.093, 'neu': 0.907, 'pos': 0.0, 'compound': -0.4767}",-0.4767
1476885963716579329,2021-12-31 12:00:27+00:00,"At last week's #RCGPLive event on Omicron @NikkiKF welcomed our updated workload prioritisation guide to support practices as the new variant spreads &amp; GP efforts shift to deliver the COVID-19 booster prog

Guidance https://t.co/wMbKqootqw
Watch the event https://t.co/QVSqRx0ftP https://t.co/wjWLe21416","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.6249}",0.6249
1476506855971201027,2021-12-30 10:54:01+00:00,"Do you look after patients in contact with the criminal justice system? Our eLearning course on secure environments will increase your confidence in managing complexity, safe prescribing, and partnership when working inside a prison. Learn more &gt; https://t.co/UjUkmtnVz4 https://t.co/0Ye1FiFoYT","{'neg': 0.129, 'neu': 0.596, 'pos': 0.275, 'compound': 0.765}",0.765
1476146031477895170,2021-12-29 11:00:14+00:00,"It's important to prioritise delivering the COVID-19 booster vaccine at the moment as ""we have a narrow window of opportunity"" - @CMO_England at last week's  #RCGPLive discussion on Omicron &amp; what it means for general practice.

Watch the event back: https://t.co/bqVGJj62Vu https://t.co/MBYWU2yjog","{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.5574}",0.5574
1475073962191302657,2021-12-26 12:00:12+00:00,"As Omicron continues to spread rapidly, ""GP practices are experiencing high levels of staff off-sick, much higher than usual"" - Vice Chair @GaryHowsam on some key findings from a recent RCGP survey at our #RCGPLive event on Omicron 

Watch the event back https://t.co/bqVGJj62Vu https://t.co/vYsTH9xKOY","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1474711134993371142,2021-12-25 11:58:28+00:00,"Merry Christmas to all our members celebrating today 🎄Many, along with their teams and #PrimaryCare colleagues - and colleagues right across the #NHS - will be working hard today and throughout the festive season protecting and delivering care to patients. Thank you.","{'neg': 0.027, 'neu': 0.663, 'pos': 0.31, 'compound': 0.9382}",0.9382
1474359357471141893,2021-12-24 12:40:37+00:00,"At our #RCGPLive event on Omicron earlier this week, NHSE Director of Primary Care @NikkiKF took the opportunity to recognise the leading role that general practice has taken to consistently deliver the COVID-19 vaccine prog. 

Watch the event back here: https://t.co/bqVGJj62Vu https://t.co/xMketgYLH9","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.7184}",0.7184
1474311954529464323,2021-12-24 09:32:16+00:00,Watch Professor @MartinRCGP on @SkyNewsAust discussing the response of general practice to the Omicron variant in the UK and progress with the booster rollout https://t.co/39NUrYoR03,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4215}",0.4215
1474059998749724674,2021-12-23 16:51:05+00:00,"Yesterday during our #RCGPLive discussion on Omicron and what it means for general practice,  @CMO_England acknowledged the ""amazing work"" that general practice has done over the last two years &amp; continues to do. 

Watch the event back here: https://t.co/93ObZn1sOa https://t.co/inAOKoqZa5","{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.5859}",0.5859
1473741392266600452,2021-12-22 19:45:03+00:00,"#RCGPLive: That's all for today and don't worry if you missed out, you can watch it back here: https://t.co/nC1FKHuYdj","{'neg': 0.102, 'neu': 0.787, 'pos': 0.111, 'compound': 0.0531}",0.0531
1473739187979497479,2021-12-22 19:36:17+00:00,"#RCGPLive: @d_spiegel says that facts alone won't convince everybody to get vaccinated, openness and transparency about information is absolutely necessary to counter any hesitancy","{'neg': 0.201, 'neu': 0.713, 'pos': 0.086, 'compound': -0.3049}",-0.3049
1473734867649187842,2021-12-22 19:19:07+00:00,#RCGPLive: @NikkiKF thanked GP for stepping up once again to deliver the COVID-19 booster prog  &amp; encouraged practices to use quieter days as opportunities to vaccinate people that may appreciate a quieter environment eg those with severe mental illness or learning disabilities,"{'neg': 0.104, 'neu': 0.686, 'pos': 0.21, 'compound': 0.6597}",0.6597
1473731867207733250,2021-12-22 19:07:12+00:00,#RCGPLive: @NikkiKF emphasised that GP remains open &amp; thanked the College &amp; @theBMA for producing guidance around workload prioritisation so practices can safely &amp; confidently focus on care that needs to be delivered in the coming weeks. Take a look: https://t.co/MKg4VJYiuu,"{'neg': 0.0, 'neu': 0.74, 'pos': 0.26, 'compound': 0.9129}",0.9129
1473729772672933889,2021-12-22 18:58:53+00:00,"#RCGPLive: @GaryHowsam highlighted data from an RCGP survey from the last 24hrs which shows that 95% of respondents are experiencing high levels of staff off sick, worse than usual.","{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.7506}",-0.7506
