id,created_at,text,scores,compound
1477633304887283717,2022-01-02 13:30:07+00:00,"Applications to our Trainee Emergency Research Network (TERN) Fellowship Scheme close on Friday 14 January 2022. If you're a EM trainees or clinical fellows from ST3 with an interest in research, send us your application! More info here: https://t.co/9jt2jf58vm","{'neg': 0.062, 'neu': 0.859, 'pos': 0.079, 'compound': 0.1759}",0.1759
1477075532839854085,2022-01-01 00:33:44+00:00,Happy New Year to all our members! Thank you for your incredible work in 2021 and we hope 2022 brings better things for all.,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.906}",0.906
1477067196102815749,2022-01-01 00:00:36+00:00,Happy New Year!!🎆🎇,"{'neg': 0.0, 'neu': 0.318, 'pos': 0.682, 'compound': 0.6467}",0.6467
1476531048955756547,2021-12-30 12:30:09+00:00,Trainees - how often do you get shop-floor teaching from a senior doctor? Tell @EMTAcommittee in it's annual survey. Contact dale.kirkwood@doctors.org.uk if you need the link again.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1476268037322031111,2021-12-29 19:05:02+00:00,"It might seem like a while away yet but @RCEMPresident demits from office in October 2022, and we're searching for a new President to take over. Fellows can submit nominations before 14 Jan 2022 here: https://t.co/zbMtiQwIjd","{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.1901}",0.1901
1476109489925464067,2021-12-29 08:35:01+00:00,Trainee from CT1 &amp; above? Got an idea for an EM research programme? Apply now for our RCEM PhD Fellowship Scheme. https://t.co/ZHnBtwY5nr,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1475859586804596737,2021-12-28 16:02:00+00:00,Our TERN Fellowship Scheme is an ideal opportunity for EM trainees/clinical fellows from ST3 who have a desire to engage with academic EM &amp; consider development of a portfolio career. Find out how to apply here: https://t.co/9jt2jf58vm,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.8834}",0.8834
1475511932480282629,2021-12-27 17:00:33+00:00,"Hoping all our members manage to rest and recuperate and spend time with friends and loved ones, especially those who worked so hard over Christmas. #EmergencyMedicine #Christmas #NHS","{'neg': 0.052, 'neu': 0.673, 'pos': 0.275, 'compound': 0.8374}",0.8374
1474666280212910083,2021-12-25 09:00:13+00:00,Wishing all our members and followers a very Merry Christmas 🎅🎅🎄🎄. A huge thank you to all our members for your dedication and hard work this year. We are especially grateful to all those working in Emergency Departments this Christmas. #NHS #Christmas #EmergencyMedicine,"{'neg': 0.077, 'neu': 0.657, 'pos': 0.266, 'compound': 0.8685}",0.8685
1474462388686577670,2021-12-24 19:30:02+00:00,Happy Christmas Eve🎄. Thank you to all those working so hard in Emergency Departments this evening and overnight; missing time with friends and loved ones. We appreciate all that you do. #Christmas #EmergencyDepartments #NHS,"{'neg': 0.142, 'neu': 0.532, 'pos': 0.326, 'compound': 0.8741}",0.8741
1474334381498159104,2021-12-24 11:01:23+00:00,". @RCEMpresident interviewed on @bbc5live by @missconniemac about what it's like on the frontline right now, what's expected over Christmas, and how staff are coping. #NHS #emergencymedicine 

Watch here: https://t.co/GZholU9EA0","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.3612}",0.3612
1474319245676888070,2021-12-24 10:01:14+00:00,"This Christmas please support our appeal to help health workers in Uganda. With only 1 doctor to every 24,000 people, the country is facing real crisis. Please donate if you can to help provide vital training to health workers and make a difference. https://t.co/2ViOHmHY8m https://t.co/qJMNQt0ohh","{'neg': 0.075, 'neu': 0.655, 'pos': 0.271, 'compound': 0.8316}",0.8316
1474002093526638597,2021-12-23 13:00:59+00:00,The RCEM TERN Fellowship scheme funds 50% of the successful applicants time over 2 years. Interested in research? Find out more here. https://t.co/9jt2jf58vm,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.7579}",0.7579
1473986806936969219,2021-12-23 12:00:14+00:00,"Workforce data from NHS Digital here: https://t.co/q5G3VWiB6n

And latest Urgent and Emergency Care Daily Situation Reports 2021-22 here: https://t.co/xzu8HQOZth","{'neg': 0.11, 'neu': 0.678, 'pos': 0.212, 'compound': 0.34}",0.34
1473986804198121473,2021-12-23 12:00:14+00:00,See our sitrep data visualisations here https://t.co/qbt4TYeKuL,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473986800683307009,2021-12-23 12:00:13+00:00,"The latest Urgent and Emergency Care Daily Situation Report 2021-22 shows that there are 124,855 staff absences related to covid (due to illness or self-isolation).

This represents nearly 10% of the total NHSE workforce (1,348,961 Headcount in August 21, NHS Digital). https://t.co/M288e3CZII","{'neg': 0.11, 'neu': 0.787, 'pos': 0.104, 'compound': -0.0772}",-0.0772
1473976431734624263,2021-12-23 11:19:01+00:00,Read full statement here: https://t.co/jdR8Iun7oz,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473976429452869632,2021-12-23 11:19:00+00:00,"""...this does not paint the full picture, there are also widespread shortages of junior doctors and trainees, SAS doctors, supporting staff and particularly of essential EM nurses...We urge the Welsh government to commit to publishing a long-term workforce plan."" @VP_Wales_RCEM","{'neg': 0.037, 'neu': 0.843, 'pos': 0.119, 'compound': 0.5423}",0.5423
1473976427284508676,2021-12-23 11:19:00+00:00,"“...the Welsh Conservatives this week uncovered consultant staffing levels across Wales. The data revealed a shortfall of over 50% of WTE consultants...These new figures correspond with our estimations that there is a shortfall of 100 WTE consultants in Wales."" @VP_Wales_RCEM","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473976425023684613,2021-12-23 11:18:59+00:00,"“The continued poor performance shows the dire crisis that the Health Service in Wales is facing. The situation is extremely challenging right now, and the threat of a more transmissible variant of covid means staff are extremely concerned about the weeks ahead."" @VP_Wales_RCEM","{'neg': 0.259, 'neu': 0.705, 'pos': 0.036, 'compound': -0.9137}",-0.9137
