id,created_at,text,scores,compound
1474319066504519681,2021-12-24 10:00:31+00:00,"At 12.30pm GMT today we’ll be closing our doors for our festive break, returning at 9am GMT, Wednesday 5 January.  We wish our staff, colleagues and friends all the very best over the next few weeks, and for 2022. https://t.co/3My8fD2ur6","{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.923}",0.923
1473981580700004355,2021-12-23 11:39:28+00:00,"Hosted by College President @MikeMckirdy, this free evening webinar will provide an overview of relevant issues for physicians &amp; surgeons in Northern Ireland that have arisen as a result of the ongoing COVID-19 pandemic: https://t.co/04LNmKPT8s

@Richard73015322 @AdrianStanleyGI https://t.co/a5CGcOdKDp","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.596}",0.596
1473947749347434497,2021-12-23 09:25:02+00:00,"The second session of our Syncope 2022 conference has a focus on cardiovascular, including talks from Consultant Cardiologists Dr John Byrne and Dr David Corcoran. View the full programme and register here: https://t.co/HTJnXZQ2WV 

@LesleyAnderton @laramitchdr https://t.co/GWEdh902zG","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473699965906165776,2021-12-22 17:00:26+00:00,"Our course providing foundation doctors and medical students with an overview of teaching, learning and feedback in the clinical environment takes starts on 17 January. You can find out more and book your place here: https://t.co/qIjcWcRe8s

@RCPSGTrainees @UofGMedicine https://t.co/ypgiKTInbz","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473662581101453316,2021-12-22 14:31:53+00:00,@RCPSGheritage The content we never knew we needed 😁,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473628142245842948,2021-12-22 12:15:02+00:00,"Join us in March for our online Top Tips for Dental Trainees conference. The conference will feature interactive presentations, the opportunity for you to share opinions and talks from the four UK CDOs: https://t.co/cBG7VYOTH6 

@SurgeonAndy @GlasgowOralSurg https://t.co/wCCWfmx8dQ","{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.7906}",0.7906
1473597942422462465,2021-12-22 10:15:02+00:00,"We are delighted to invite abstract submissions for our Interactive Cardiology Conference poster competition. The closing date for entries is 27 January. More information is here: https://t.co/7gMmeTZ5kM 

@PEteiba #RCPSGCardio https://t.co/C1GnRfCsfg","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.5994}",0.5994
1473352683289554953,2021-12-21 18:00:27+00:00,"Our Lower Limb and Foot in Diabetes Digital Learning modules features Speciality Registrar in Diabetes and Endocrinology Dr Lesley Hall. You can access the modules here: https://t.co/GF1MO7BVfJ

@wyliedpod @dewils1013  @ProfSarahCurran @DGArmstrong https://t.co/qL7FaJ27GF","{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.296}",-0.296
1473324181433499650,2021-12-21 16:07:12+00:00,"A massive thank you to our International Dental Advisors Dr Walter Lam and Dr Hin Kei Century Tsang who represented the College at the recent HK Ideas conference in Hong Kong - we very much look forward to meeting more of our global community as we move into 2022.

@SurgeonAndy https://t.co/tD5mBIwm6w","{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.3612}",0.3612
1473289231212634113,2021-12-21 13:48:19+00:00,"📣 The Intercollegiate Committee for Basic Surgical Examinations (ICBSE) and the four Surgical Royal Colleges of the UK &amp; Ireland can now confirm the updated MRCS exam schedule for 2022.

All details &amp; FAQs here: https://t.co/y2kClqK8Vz

@RCPSGTrainees @RCSEd @RCSnews @RCSI_Irl","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
