id,created_at,text,scores,compound
1477997867872698369,2022-01-03 13:38:46+00:00,"""The mental health fallout of the pandemic is going to last a long time, so the government and local commissioners need to act now."" Writes @DrElaineLockha1 Chair of @RcpsychCAP https://t.co/fsjRfKs1Zm","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1477973018722938885,2022-01-03 12:00:01+00:00,@TheBJPsych introduces the 2021 Praxis Editorial Award. We encourage entries from medical students and non-consultant grade doctors https://t.co/em5W63TcHK https://t.co/i9AqHUGm8Z,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.7783}",0.7783
1477957921526923269,2022-01-03 11:00:02+00:00,We have an exciting opportunity for your organisation to associate with the College which aims to raise the standards of #mentalhealth training. Read what others are saying about RCPsych accreditation AND MORE HERE: https://t.co/vwAEADDiQk https://t.co/XDaDhywAZH,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.7184}",0.7184
1477927715705556995,2022-01-03 09:00:00+00:00,"Nominations for elected posts on our Faculties, Divisions, Devolved Nations, International Divisions, SIGs, and the PTC CLOSE TODAY! #RCPsychElections

For more info on timetables and eligibility CLICK HERE: https://t.co/0haUWTiNUp https://t.co/9BeoblxOQe","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1477312661297659909,2022-01-01 16:16:00+00:00,"Make it a new year resolution to book your place at the @RcpsychCAP winter conference on 1 February 2022, exploring integrated and holistic pathways of care in services for children and young people.

Programme and how to book ➡️💻https://t.co/Ns8MHrDvNM #capwinter22 https://t.co/6kKpQ7EkSe","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4939}",0.4939
1477203485368238083,2022-01-01 09:02:10+00:00,"Dr John Mitchell of @RCPsychScot has been awarded a CBE for improving mental health in Scotland, while our CEO, Paul Rees, has been awarded an MBE for his services to mental health and equality, diversity and inclusion. #NewYearsHonours 

https://t.co/aSzBiVuLsx","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.802}",0.802
1476281875463172099,2021-12-29 20:00:01+00:00,"Nominations are now open for elected posts on our Faculties, Divisions, Devolved Nations, International Divisions, SIGs, and the PTC. #RCPsychElections 

For more info on timetables and eligibility CLICK HERE: https://t.co/0haUWTiNUp https://t.co/wMkxlSwDUa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1476236580587282432,2021-12-29 17:00:02+00:00,"Members, please help us to make workplaces more inclusive, by completing our first-ever LGBTQ+ survey. It will take you 15 mins to fill in. Look out for an email from Research by Design (RbD). https://t.co/Bq4y4J6AnC","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.6124}",0.6124
1475421200692224002,2021-12-27 11:00:00+00:00,"Nominations are now open for elected posts on our Faculties, Divisions, Devolved Nations, International Divisions, SIGs, and the PTC. Voting in the #RCPsychElections close NEXT WEEK!

For more info on timetables and eligibility CLICK HERE: https://t.co/0haUWT1d2R https://t.co/Wbtgjldcgc","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1475373382690648066,2021-12-27 07:50:00+00:00,@TheBJPsych introduces the 2021 Praxis Editorial Award. We encourage entries from medical students and non-consultant grade doctors https://t.co/em5W63TcHK https://t.co/1FW0u63thD,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.7783}",0.7783
1474681333997735936,2021-12-25 10:00:02+00:00,"We wish you a Happy Christmas from all at RCPsych. We may all have to adjust how we celebrate again this year, but we hope you can keep safe, however you enjoy the festivities. https://t.co/O89LaQ2W3q","{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.9709}",0.9709
1474364247006134295,2021-12-24 13:00:03+00:00,"Spending per head on mental health services increased from 2019/20 to 2020/21 in 40 of the 42 ICS areas. Which areas bucked the trend? Find out in our new #MentalHealthWatch summary report. 
https://t.co/goFN9XGXX8 https://t.co/smVrkBOYqP","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.2732}",0.2732
1474364233252888578,2021-12-24 13:00:00+00:00,Spending per head on mental health services increased from 2019/20 to 2020/21 in 40 of the 42 ICS areas. Which areas bucked the trend? Find out in our new #MentalHealthWatch summary report. https://t.co/Z8YoILpQ3g https://t.co/c8l6BtOLOs,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.2732}",0.2732
1473971647501717511,2021-12-23 11:00:00+00:00,"Calling RCPsych members, just a reminder to please complete the College’s first-ever LGBTQ+ survey, and help us make mental health workplaces more inclusive. https://t.co/pIrSiPrBTm","{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.6124}",0.6124
