account,tweets,compound
RCSnews,2661,0.3912897406989853
RCSI_Irl,1526,0.39082169069462647
RCSEdFDS,62,0.5997999999999999
RCSEd,2599,0.3839336283185841
RCRadiologists,2330,0.35037094420600856
Rcpsych,3001,0.1590590803065645
Rcpsglasgow,2405,0.3830583367983368
RCPI_news,1799,0.3713404113396332
RCPhysicians,2586,0.39913542150038667
RCPEdin,2755,0.36481546279491833
RCPCHtweets,2436,0.3111649425287356
RCPath,2191,0.4117791419443177
RCOphth,1996,0.3370275551102205
Rcollem,1675,0.24558411940298505
RCObsGyn,2460,0.34192886178861787
RCOANews,2564,0.44035456318252736
Rcgp,2801,0.30434526954659047
FSRH_UK,2072,0.3542284266409267
FSEM_UK,1359,0.36084047093451066
FPH,1238,0.5155369143780291
FOMNews,1121,0.2662719000892061
FICMNews,1467,0.4152248807089298
FDS_RCS,647,0.3392565687789799
FacultyPharmMed,967,0.34671458117890386
BDA_Dietitians,2549,0.44706959591996864
CollegeOptomUK,1984,0.30977681451612904
gmcuk,2004,0.4782773952095808
ParamedicsUK,2213,0.3370284681427926
nmcnews,2883,0.3552473465140479
RCSLT,1294,0.4419795981452859
RoySocMed,2555,0.3304984344422701
rpharms,2609,0.422655538520506
SCoRMembers,582,0.3365895189003436
thecsp,1628,0.35168249385749384
theRCN,2501,0.4196344262295082
theRCOT,2472,0.47777495954692556
theRCVS,1702,0.4249275558166863
UKCP_Updates,2713,0.12086398820493918
