id,created_at,text,scores,compound
1478006737487769600,2022-01-03 14:14:00+00:00,"The best way to maintain a healthy weight is to consider your diet as a whole.

Our fact sheet about weight loss and achieving a healthier weight has been updated - read it here: https://t.co/zOUu5QbQDs

#NewYearNewMe #NewYearResolution #FadDiet #FadDiets #WeightLoss","{'neg': 0.055, 'neu': 0.782, 'pos': 0.164, 'compound': 0.6808}",0.6808
1477924957351026689,2022-01-03 08:49:03+00:00,"Happy #Veganuary! 

If you're thinking about embarking on a vegan diet this year, why not check out our fact sheet which explains the key nutrients you should consider when starting a plant-based diet: https://t.co/YHRr2p2zJX https://t.co/wy4PCE0sye","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.6114}",0.6114
1477562580956852224,2022-01-02 08:49:05+00:00,"Following a fad diet may cause a cycle of weight loss followed by weight gain.

Dietitians will be able to help you know if dietary information is safe and based on evidence. Find out more about how you can speak to a dietitian: https://t.co/A1bWi0nYnT https://t.co/hU7VUJHv82","{'neg': 0.046, 'neu': 0.737, 'pos': 0.217, 'compound': 0.8225}",0.8225
1477282003426983940,2022-01-01 14:14:10+00:00,"New Year, New You?

We've separated the diet fact from the fiction and listed 20 common 'solutions' fad diets offer. Often these diets cannot be followed long term as many become fed up with the rigid rules and limits.

Read our full Fad diets fact sheet: https://t.co/pV9xTBX0P1 https://t.co/7Vbn20K6rY","{'neg': 0.03, 'neu': 0.895, 'pos': 0.076, 'compound': 0.3182}",0.3182
1477200183251410945,2022-01-01 08:49:03+00:00,"Wishing our members, staff, partners and suppliers a successful, safe, happy &amp; healthy New Year ⭐ https://t.co/vubUp6xMIC","{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.9325}",0.9325
1476475397558751232,2021-12-30 08:49:01+00:00,"Looking for a new challenge next year? Why not become a @BDA_TradeUnion Representative in your workplace?

Find out more about how you can join our team: https://t.co/JmBZUdU44z","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4329}",0.4329
1476194796880502793,2021-12-29 14:14:00+00:00,Planning for next year already? Find out how the BDA can help you with your Continuing Professional Development in 2022: https://t.co/SO0uu4yQ5A,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}",0.4019
1475750632090918913,2021-12-28 08:49:03+00:00,"The BDA General Education Trust Fund has a long history of supporting the science and practice of dietetics through the promotion of national awards which recognise the excellent work carried out by members.

Find out more about applying for the awards: https://t.co/bhJLJcyL1z https://t.co/KtI16oX3N2","{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.9423}",0.9423
1475388264655773700,2021-12-27 08:49:08+00:00,"After Christmas, there is a peak in the interest of #dieting and #nutrition. Wanting to lose weight or change our diet should not be at a cost to your health, your relationship with food or your wallet.

Check out our new #FadDiets food fact sheet: https://t.co/kitzH73QWs https://t.co/XcOOOQQzCZ","{'neg': 0.055, 'neu': 0.883, 'pos': 0.062, 'compound': 0.0772}",0.0772
1474663469408477187,2021-12-25 08:49:03+00:00,"We'd like to wish everyone a very Merry Christmas and a Happy and Healthy New Year, from all at the BDA 🎄

Have a wonderful day! https://t.co/1qGVQmVzco","{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.9606}",0.9606
1474010031561621518,2021-12-23 13:32:31+00:00,"Dietitian and BDA media spokesperson Dr Megan Rossi (@TheGutHealthDoc) explains how shifting your diet to include more plants can improve your health, as her new book, Eat More, Live Well, is published next week: https://t.co/hDBKVKQkFN","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.6749}",0.6749
1473938685028675584,2021-12-23 08:49:01+00:00,"We want to shout about our members' research! If you want to see your research highlighted in our next Evidence&amp;Expertise newsletter, email us with a short summary and a link to your paper.

📧👉info@bda.uk.com","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.2244}",0.2244
1473576573118959617,2021-12-22 08:50:07+00:00,"@LgillespieRD @karenwalshSLT @TheChristieNHS @BDA_Oncology For anyone trying to strain their eyes and read the photo, we've also got this excellent article online! https://t.co/73dtwiGno0","{'neg': 0.045, 'neu': 0.782, 'pos': 0.174, 'compound': 0.667}",0.667
1473576297293090823,2021-12-22 08:49:01+00:00,Plan your CPD for early 2022 - check out the BDA calendar for the latest courses and webinars: https://t.co/jHf6oRz6Jm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1473338227947933700,2021-12-21 17:03:01+00:00,"In this article, @carolinef_90 and Claire Gardiner explain what they have learned from BAME AHPs about improving ethnic diversity in the allied health professions. https://t.co/Jhe744Ukf2

@Dietitians_MHG @bda_renal","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4215}",0.4215
1473295703258501124,2021-12-21 14:14:02+00:00,This year we have donated to @NHSCharities. Donations to NHS Charities Together help take pressure off an overstretched NHS. Supporting incredible NHS staff and emergency volunteers so they can continue their vital life saving work. Merry Christmas and a Happy &amp; Healthy New Year! https://t.co/FgJpJVbEtA,"{'neg': 0.079, 'neu': 0.574, 'pos': 0.347, 'compound': 0.9468}",0.9468
1473213906835361794,2021-12-21 08:49:01+00:00,"Dietitians are regulated by the Health &amp; Care Professions Council (HCPC). To protect the public they publish a register of health professionals who meet their standards. Only those on the Register can call themselves dietitians.

Check the register: https://t.co/3lPzHx1QVW","{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.7003}",0.7003
