id,created_at,text,scores,compound
1477224587796656128,2022-01-01 10:26:01+00:00,Happy New Year to all! #2022🎉 https://t.co/HD1GB3ogeT,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.6114}",0.6114
1476639983255568393,2021-12-30 19:43:01+00:00,"As the cold winter weather continues to bite, will your patients be thinking of their eye health? We've created a #WinterEyeHealth infographic, along with smaller shareable assets to help you keep your patients informed. Download and share now ➡️ https://t.co/TWriXMAYKQ https://t.co/PeiBm7BUup","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.765}",0.765
1476191784170627073,2021-12-29 14:02:02+00:00,What support is available for patients with low vision and depression? In this #AcuityJournal article we look at the signs of depression you should look for among those with low vision and how optometrists can help. Read now ➡️ https://t.co/bf0wTekHvB https://t.co/BSqDF5YBXw,"{'neg': 0.215, 'neu': 0.611, 'pos': 0.174, 'compound': -0.4939}",-0.4939
1475456687628857345,2021-12-27 13:21:01+00:00,"Have your patients called the practice with symptoms of #dryeye? 👁️ 
Our patient website offers patient information on the condition, including symptoms, treatment options and who is most affected ➡️ https://t.co/3DbDAc7wUj https://t.co/gzcmyAraqd","{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.2247}",-0.2247
1474382357893365791,2021-12-24 14:12:01+00:00,Wishing you all a well-deserved restful holiday and a happy and prosperous New Year ❄️ https://t.co/7f1IcM69WK,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.9169}",0.9169
1473708095213817871,2021-12-22 17:32:44+00:00,"The required period for self-isolation following a COVID-19 exposure in England is now 7 rather than 10 days, subject to negative LFD tests. Read more here: https://t.co/lD5fEyuXLS","{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.5719}",-0.5719
1473655822190358531,2021-12-22 14:05:01+00:00,"This winter we're urging the public to take steps to protect their vision &amp; eye health, particularly as many more people are once again working from home. 

Want to be a part of our #WinterEyeHealth campaign? Download &amp; share our infographic &amp; assets ➡️ https://t.co/TWriXMAYKQ https://t.co/20YyX7hhyv","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.7783}",0.7783
1473302493304086546,2021-12-21 14:41:01+00:00,"During pregnancy, several physiological changes can occur within the eye, such as changes to the corneal morphology, and a reduction in intraocular pressure. This #OiP articles provides an overview of the ocular changes that can occur during pregnancy ➡️ https://t.co/eYO4kdExDp https://t.co/7QFIfGLFxX","{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.296}",-0.296
1472915947811966980,2021-12-20 13:05:02+00:00,"How often do you use our member app? Built to support members in providing the best possible patient care, our app gives you easy access to a range of our core clinical guidance which can be accessed even when working offline. Download now ➡️ https://t.co/dBnXNQW4Ri https://t.co/NJgY8IbHaM","{'neg': 0.028, 'neu': 0.734, 'pos': 0.239, 'compound': 0.91}",0.91
1472514299063111683,2021-12-19 10:29:01+00:00,"Are you an optometrist or ophthalmologist? Researchers at the @UniofNottingham are investigating how knowledge in memory is related to diagnosis, and they need your help! Complete this questionnaire now - all responses are confidential and anonymous ➡️ https://t.co/RRj29mazkj https://t.co/605JFifhhI","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.4574}",0.4574
1471885825633886217,2021-12-17 16:51:41+00:00,"Following a meeting with optical bodies, @DHSCgovuk &amp; @NHSEngland have confirmed that GOS will remain a national service when the Health and Care Bill becomes law, with no local variation. Read more ➡️ https://t.co/G1D3byDA0V https://t.co/3ToAiOrwRe","{'neg': 0.06, 'neu': 0.852, 'pos': 0.088, 'compound': 0.25}",0.25
1471859992663891969,2021-12-17 15:09:02+00:00,"From systematic reviews to exploring the efficacy of new treatments and approaches to eye care, clinical research is crucial to the advancement of #optometry. In this article we look at the 10 reasons to delve into research, &amp; how you can get involved ➡️ https://t.co/CnUIvZCKd4 https://t.co/o5Tp8nJoqt","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4939}",0.4939
1471783713394593793,2021-12-17 10:05:56+00:00,"@SarahChapman30 @CochraneUK Hi Sarah - thank you for your message, and we're glad that our patient leaflet has been of great help! We're direct messaging you now about the leaflet.","{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.9117}",0.9117
1471500731983089684,2021-12-16 15:21:28+00:00,"#OptometryTomorrow is back for 2022! 🎉 

We'll be returning to the Telford International Centre on 19-20 June 2022 to host our flagship conference. Save the date now, and look out for more information coming soon. We hope to see you there! https://t.co/0vQEpoYtI0","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.7955}",0.7955
1471134001750495238,2021-12-15 15:04:13+00:00,"As the winter deepens, we're urging the public to take steps to protect their vision and eye health, particularly as many more people are once again working from home. 

Get involved by downloading and sharing our handy infographic &amp; social media assets ➡️ https://t.co/TWriXMAYKQ https://t.co/WUCAgU82l9","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7964}",0.7964
1470819656554487809,2021-12-14 18:15:07+00:00,"The latest edition of our world-class research journal, #OPO, has arrived! We look at the validity of point of care tear film osmometers in the diagnosis of dry eye, the novel use of a Franklin split lens for cycling with hemianopia, &amp; more ➡️ https://t.co/i8ZjsEml5f
@WileyHealth https://t.co/LRVBV5ufiB","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.6996}",0.6996
1470416626696826882,2021-12-13 15:33:37+00:00,"On the hunt for your final interactive CET points? We have limited spaces available on our peer discussions taking place at 7.30pm on 14 and 16 December.
Competencies:
✅ Communication
✅ Ocular Disease
✅ Ocular Examination
✅ Standards Of Practice
➡️ https://t.co/PO23Sunc0v https://t.co/kyy2MmkbyR","{'neg': 0.048, 'neu': 0.952, 'pos': 0.0, 'compound': -0.2263}",-0.2263
1470054181780213766,2021-12-12 15:33:23+00:00,"Searching for a new role or looking to recruit? Our jobs board currently has multiple optometrist and pre-reg vacancies, from Liverpool to Clapham. Free for College members to advertise, and open to the whole profession to browse ➡️ https://t.co/6o6Jf5hC6S https://t.co/CII25aOIPR","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.5106}",0.5106
1469352536138293253,2021-12-10 17:05:18+00:00,"December is here, which means the end of the current CET cycle is fast approaching. Across the College website, we currently have more than 150 points available to help you fulfil your requirements. From OCT articles to BV courses, get your CET points ➡️ https://t.co/wtbXbokTS6 https://t.co/T19kuBWBhK","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.4019}",0.4019
1468867124760387585,2021-12-09 08:56:27+00:00,"Our clinical adviser, Daniel Hardiman-McCartney FCOptom, is back with the @BBCMorningLive team discussing the importance of eye health, our new driving campaign, and more with @GethincJones and @KimberleyJWalsh. Tune in at 9.15am ➡️ https://t.co/CdLJEZyS5Q
#WeAreOptometry https://t.co/CIbVsd8z47","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3612}",0.3612
1468592467721310208,2021-12-08 14:45:04+00:00,"In our recent survey almost half of drivers didn’t realise it was illegal to drive without their prescribed distance glasses or contact lenses. 

We've launched a new campaign to highlight the importance of good vision when driving. Support our campaign ➡️ https://t.co/6s7xppiskK https://t.co/dRXAtcWnGq","{'neg': 0.068, 'neu': 0.665, 'pos': 0.266, 'compound': 0.8126}",0.8126
1468234604268204040,2021-12-07 15:03:02+00:00,"⚠️ Last chance to share your views on post-stroke patient management!
Canadian &amp; Cardiff researchers are studying optometrists’ current &amp; future practice in post-stroke patient management. Take this survey to share your experience. Closes 17 December ➡️ https://t.co/L2P7wnbmE5 https://t.co/jU1w5INK8e","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.69}",0.69
1467899251774701583,2021-12-06 16:50:28+00:00,"Did you read about our new #RoadSafety campaign which has been covered in @MailOnline today https://t.co/KysvZW5fjw? 

Help us highlight the importance of good vision when driving by sharing our new campaign assets ➡️https://t.co/6s7xppiskK.

#WeAreOptometry","{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.9325}",0.9325
1467511855639842820,2021-12-05 15:11:06+00:00,"In our recent survey around a fifth of respondents said they had missed a turning because they were unable to see the sign.

We're running a campaign to highlight the importance of good vision when driving. Share our campaign assets ➡️ https://t.co/6s7xppiskK
#WeAreOptometry https://t.co/V1mzmEHEzd","{'neg': 0.044, 'neu': 0.681, 'pos': 0.275, 'compound': 0.8591}",0.8591
1467106919269781511,2021-12-04 12:22:01+00:00,"Our final webinar of the year is almost here! Join our upcoming live session where you'll be presented with a summary of the @RCOphth guidelines on primary angle closure disease. 
🗓️ 7.30pm, 8 December
✅ One interactive CET point
➡️ https://t.co/AVsHO9dgtl https://t.co/JjF7fwQ6sA","{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.299}",0.299
1466400587868786693,2021-12-02 13:35:19+00:00,"On the hunt for your final remaining interactive CET points? We have limited spaces available on our peer discussion taking place 7.30pm, 16 December
Competencies covered:
✅ Communication
✅ Ocular Disease
✅ Ocular Examination
✅ Standards Of Practice
➡️ https://t.co/HCXpwZgyog https://t.co/sYrU37g8iB","{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.2263}",-0.2263
