id,created_at,text
1477067351740796933,2022-01-01 00:01:13+00:00,"#HappyNewYear 

Happy New Year to you! 
Wishing you all a better coming year with your family, friends and colleagues. A special and huge thank you to everyone who has been working tirelessly to provide care to those most in need throughout 2021.

#Happy2022 https://t.co/193sjv5HJs"
1474658711868264452,2021-12-25 08:30:09+00:00,"Wishing you all a safe, healthy and happy Christmas this year. With a special thought to everyone who is providing care for the public and patients today - wherever you may be, thank you for all that you do. #Proud 

#MerryChristmas https://t.co/fOZnTocKW3"
1471511128240902153,2021-12-16 16:02:46+00:00,"We warmly welcome three new student member representatives to the #ParaStudentCouncil:

Scotland - Gavin Keymer
Northern Ireland - Matthew Johnston
London - Peter Turner-Wells

Read more about them here:

They take up their positions 1st January 2022 https://t.co/70HTXwqAtS"
1471404951305916419,2021-12-16 09:00:52+00:00,"Every month, we will ask one question to our members to find out your views on a variety of topics to do with the College. 

CPD: Whose Responsibility Should It Be?
Let us know: https://t.co/VEdpVkRei3 

#ParaSurvey #MemberBenefit https://t.co/rhgnaoo2pD"
1471178870326018052,2021-12-15 18:02:30+00:00,"Starts tomorrow! Thursday 16th Dec. 

Still chance to register for this first in a series of five 'sexual harassment and inappropriate behaviours' webinars with @BrabnersLLP 

https://t.co/k8ZldNog1J

Look out for announcements on further webinars. 
#DriveitOut #ParaCPD https://t.co/MfbVKH9Ycq"
1471027625166520320,2021-12-15 08:01:30+00:00,"Scotland or Northern Ireland Student members have you voted for your member representative?
Have your say - cast your vote!

Voting closes at noon tomorrow!
More info on your candidates here: https://t.co/tWSaftouFH 

#ParaStudentCouncil #ParaElections #ParaFuture https://t.co/V9SwNA16kI"
1470739948374482946,2021-12-14 12:58:23+00:00,Vacancy: Paramedic @SilverstoneUK #paramedics #parajobs https://t.co/VD0W2iz1KD Apply now! https://t.co/R7fwKUsdVz
1470685357813518337,2021-12-14 09:21:27+00:00,@cunningham118 👏🙏💚 https://t.co/v5gxRMin0O
1470634800360873990,2021-12-14 06:00:34+00:00,"Today we celebrate our 20th birthday, thank you to all our volunteers, employees, members, colleagues and friends who have supported us on our incredible journey – we have achieved a lot yet there is much more to do, we look forward to the next 20 years. #DevelopingtheProfession https://t.co/nKlf4EVUak"
1470454031654998016,2021-12-13 18:02:15+00:00,"Every month, we will ask one question to our members to find out your views on a variety of topics to do with the College. 

CPD: Whose Responsibility Should It Be?
Let us know: https://t.co/VEdpVkRei3 

#ParaSurvey #MemberBenefit https://t.co/mSD7XY7OcH"
1469306643380944903,2021-12-10 14:02:56+00:00,"Scotland or Northern Ireland student members have you voted for your student member representative?
Have your say - cast your vote!

Voting closes noon on Monday!
More info on your candidates here: https://t.co/zhOlkKu2sY 

#ParaStudentCouncil #ParaElections #ParaFuture https://t.co/SRnzybb9N5"
1468582216083116032,2021-12-08 14:04:19+00:00,"Paramedic vacancies, training roles with Iqarus #paramedics #parajobs https://t.co/VD0W2iz1KD Apply now! https://t.co/Q8d1bJxu9Y"
1468559741878161410,2021-12-08 12:35:01+00:00,"Vacancy: Palliative Care Paramedic/Palliative Care Paramedic Practitioner, Greenwich &amp; Bexley Community Hospice, #London #paramedics #parajobs https://t.co/VD0W2iz1KD Apply now! https://t.co/lQJtPyDtiI"
1468316950866583559,2021-12-07 20:30:15+00:00,"Check out #CollegeKnowledge

Regularly updated, here you will find brief outlines of developments, publications and workstreams, and updates on national groups that the College’s staff are involved with or leading on. 

https://t.co/LOHcq2n0O2 https://t.co/ecF0bY5ohp"
1468234341792813059,2021-12-07 15:02:00+00:00,"Every month, we will ask one question to our members to find out your views on a variety of topics to do with the College. 

CPD: Whose Responsibility Should It Be?
Let us know: https://t.co/VEdpVkRei3 

#ParaSurvey #MemberBenefit https://t.co/4YP4p9Hov2"
1468188888015544320,2021-12-07 12:01:23+00:00,Our Congress members are currently voting on the first iteration of our Bylaws since the recent governance restructure. Read the News Item at the following link for more details: https://t.co/OwiNbs9Mps https://t.co/jYiIRYyZV4
1467939463129190402,2021-12-06 19:30:15+00:00,"Do you know when self-referral to @The_HCPC is appropriate? 

Join the #paramedic self-referral guidance and advice webinar on 8th December with @ktolley1 and @lizharrisFCPara 

Registration details here...
https://t.co/dNduViAXzO 

#FitnessToPractise https://t.co/PAF840GQAn"
1467820906655404035,2021-12-06 11:39:09+00:00,Vacancy: Lecturer/Senior Lecturer in Paramedic Science @unilincoln https://t.co/1Q91CPTkdB Apply now! https://t.co/HkmzAZLgUE
1467735698325319682,2021-12-06 06:00:34+00:00,"Are you a Scotland or Northern Ireland student member? Have you received your voting email?
Things to do if you think you haven’t received it: https://t.co/zY2hLFWkix
View your candidates👆
Cast your vote before noon 13.12.21
#ParaStudentCouncil #ParaElections #ParaFuture https://t.co/R0fScDUXdF"
1466750245228920841,2021-12-03 12:44:44+00:00,@CarlBetts_YASQI Thanks for your contribution Carl
1466709103338733574,2021-12-03 10:01:15+00:00,"This #IDPWD2021, following @MyPurpleSpace's Leader to Leader conversations theme, @OcoRory of #ParaCouncil, @dawn_poulson of @N_AmbDisability and @Akkikko of #ParaDSG come together to discuss disability and why it's important to have these conversations. https://t.co/d2t6wCPvjA https://t.co/a85AbhozNX"
1466485051831554051,2021-12-02 19:10:56+00:00,@sarahlu37 @AACE_org @NHSEnglandCHS Thanks for your contribution Sarah
1466437608368754703,2021-12-02 16:02:25+00:00,"Are you a Scotland or Northern Ireland student member? Have you received your voting email?
Things to do if you think you haven’t received it: https://t.co/zY2hLFWkix
View your candidates👆
Cast your vote before noon 13.12.21
#ParaStudentCouncil #ParaElections #ParaFuture https://t.co/Fuu8XFZND9"
1466369553508753413,2021-12-02 11:32:00+00:00,@AirwayVigilante @blacksladder slight amendment in the hashtag Paul: https://t.co/YEMPvjFnY6
1466326278823456778,2021-12-02 08:40:02+00:00,"Look out for the Dec 2021 issue of #ParaINSIGHT, which comes with our 20th anniversary supplement. Can’t wait to receive your copy? 

Download INSIGHT here: https://t.co/lnRd2O0TSN Download the supp here: https://t.co/ZmN9fziq3K

 #DevelopingtheProfession #20YearsofParaHistory https://t.co/Q6akII4IGE"
1466120292338647068,2021-12-01 19:01:31+00:00,"Closes 23:59 on 2nd Dec!

Working closely with our #ParaDSG, this is an exciting opportunity to shape and steer our essential EDIHR journey, in support of the #paramedic profession and our members. Read more https://t.co/qcbEe96jOd

#equality #diversity #inclusion https://t.co/OHasvanHdr"
1466061205487902720,2021-12-01 15:06:44+00:00,Vacancy: Assistant Professor in Paramedic Science @CUparamedic #paramedics #parajobs https://t.co/aIwTvFTrTc Apply now! https://t.co/9Omo7rc7A1
1465984304790577154,2021-12-01 10:01:09+00:00,"24 hours and over 70 sessions later...
#ParaResearch21
...comes to a close.  

For those that registered you can 'watch back' throughout December and all presentations will be uploaded to our #CPDHub asap. 

THANK YOU ALL! 

See you at #ParaResearch22 https://t.co/9ZmkZAhkNg"
1465969160383569922,2021-12-01 09:00:58+00:00,"Scotland student members, you have two great candidates to choose from. 
View their statements here: https://t.co/GiuMAlyPfX

Look for your email from CES to vote
Voting closes noon 13th December 2021. 

#ParaStudentCouncil #ParaElections #ParaFuture https://t.co/VSsZpeInMh"
1465788025573715975,2021-11-30 21:01:12+00:00,"Huge THANK YOU! to our collaborators and the sponsors &amp; supporters of #ParaResearch21

@ACParamedicine 
@UclaCare 
@classprofession 
@ProdigyEMS 
@wlv_uni 
@paramedicfound 
@999EMSRF 
@ParamedicPhD 
@CaledonianNews 
@UniofHerts 
@uniofeastanglia 
https://t.co/zB4OYxvQ50 

👍👏🙏 https://t.co/gyyjzwkGRs"
1465677002397126657,2021-11-30 13:40:02+00:00,"#ParaResearch21 is now live around the world until 10:00 (UK time) on Wednesday!!

You can still join in, listen and learn by registering here... 
https://t.co/5JivAwfIuU

Co-hosted by @ACParamedicine and @UclaCare 

#ParaCPD https://t.co/e5PKC3HGDh"
1465561358913744897,2021-11-30 06:00:31+00:00,"Northern Ireland student members, you have two great candidates to choose from 
View their statements here: https://t.co/HA4V95EiLi

Look for your email from CES to vote
Voting closes at noon 13th December 2021

#ParastudentCouncil #ParaElections #ParaFuture https://t.co/sX6OV1ciEO"
1465302030696779785,2021-11-29 12:50:02+00:00,"Starts tomorrow! FREE 24hr International Research Conference: Global Developments in Paramedic Research. Full programme and booking here: https://t.co/5JivAwfIuU

Co-hosted by @ACParamedicine and @UclaCare 
 #ParaResearch21 https://t.co/UfqwG0vNmO"
1465198975322140673,2021-11-29 06:00:32+00:00,"Don’t miss the first in a series of five 'sexual harassment and inappropriate behaviours' webinars with @BrabnersLLP The first event takes place on Thursday 16th Dec. 
https://t.co/k8ZldNog1J

Look out for announcements on further webinars. 
#DriveitOut #ParaCPD https://t.co/O7YVbRAIoJ"
1464595239675572227,2021-11-27 14:01:30+00:00,"Scotland student members, you have two great candidates to choose from. View their statements here: https://t.co/GiuMAlyPfX

Look for your email from CES to vote
Voting closes noon 13th December 2021. 

#ParaStudentCouncil #ParaElections #ParaFuture https://t.co/9xJxw7StJN"
