id,created_at,text
1478048514399629314,2022-01-03 17:00:01+00:00,"Only 48 hours left to submit your feedback on the RCSLT assistant practitioner professional framework (APPF)! ⏰

Submit your valued responses by 5pm on 5 January 2022: https://t.co/BlkB8ZDnyp  

#SLPeeps #mySLTday 
@RCSLTWales @RCSLTNI @rcsltscot"
1476145980080902147,2021-12-29 11:00:01+00:00,"The RCSLT assistant practitioner professional framework (APPF) remains open for review over the festive period until 5pm on 5 Jan 2022 📆

Submit your valued feedback here: https://t.co/BlkB8ZlMGR  

#SLPeeps #mySLTday 
@RCSLTWales @RCSLTNI @rcsltscot"
1474052555147730945,2021-12-23 16:21:30+00:00,We are grateful for all the expertise of @BamptonKevin of @BOHSworld @gallagher_rose of @thercn Dr Barry Jones of @BAPENUK @microlabdoc of @FreshAirNHS
1474029914965876737,2021-12-23 14:51:32+00:00,"We've published statements on the importance of maintaining services for adults and children with communication &amp; swallowing needs during #COVID19 - read at https://t.co/wAlGSjj9F4 + https://t.co/FsnDO3DD08 
@KGadhok"
1474024322981416969,2021-12-23 14:29:19+00:00,The RCSLT is proud to have supported @thercn and others to create this new #COVID19 risk assessment tool. Read more at https://t.co/n9dNOoRCAh @KGadhok https://t.co/R2bt2sgxS8
1473656603324858372,2021-12-22 14:08:08+00:00,@RCSLTResearch @rcsltscot @Glennetal
1473617900825202693,2021-12-22 11:34:20+00:00,@PippaD19 @AHPsWestMids @RCSLTpolicy @BrollJudith
1473209122124296193,2021-12-21 08:30:00+00:00,"The RCSLT assistant practitioner professional framework (APPF) remains open for your feedback until 5pm on 5 Jan 2022 🖊️

To find out more, visit: https://t.co/BlkB8ZDnyp  

#SLPeeps #mySLTday 
@RCSLTWales @RCSLTNI @rcsltscot"
1472882020275703808,2021-12-20 10:50:13+00:00,@ASLTIP_UK Please contact @RCSLTResearch to indicate your interest. Thanks.
1471933718508064790,2021-12-17 20:02:00+00:00,Congratulations to all the @GivingVoiceUK Award Winners from the #RCSLTAwards 2021. https://t.co/4HcCR54lHC
1471933466589728774,2021-12-17 20:01:00+00:00,"Catch up on all the Fellows, Honorary Fellows and Sternberg Clinical Innovation Award Winners from the #RCSLTAwards 2021 https://t.co/3rnm8RrDfg"
1471933216512688128,2021-12-17 20:00:00+00:00,"Hear from @KGadhok, @MaryHeritage and @Nick_Hewer about the #RCSLTAwards winners 2021.  Congratulations to all our Fellows, Honorary Fellows, Sternberg and @GivingVoiceUK winners. https://t.co/HO1JH93cg0"
1471883291636731909,2021-12-17 16:41:37+00:00,"Our offices will be closed from 12pm on 24/12/21, reopening on 4/1/22. We know the holiday season can be difficult for some - our Health &amp; Wellbeing web pages feature helpful links &amp; guidance should you be in need of support during this time. https://t.co/fxnPlg7FJD . https://t.co/KHKORcoR6E"
1471827720820699144,2021-12-17 13:00:48+00:00,@AlexT_SLT Congratulations Alex!
1471827416251260932,2021-12-17 12:59:35+00:00,@OxleasNHS Fantastic news. Huge congratulations to the team! @rcslt_bulletin
1471827047618125826,2021-12-17 12:58:08+00:00,"Check out ""IALP Cleft Palate &amp;amp; Craniofacial Committee Webinar Series 2022: Webinar #1"" https://t.co/ENNz22l7lf @EventbriteUK"
1471797571311923203,2021-12-17 11:01:00+00:00,Watch the nomination graphic for  @McallisterLindy from Jois Stansfield. #RCSLTAwards https://t.co/qRpXvRcZGt
1471797322422046721,2021-12-17 11:00:00+00:00,"Congratulations @McallisterLindy
being awarded an @RCSLT Honorary Fellowship. #RCSLTAwards https://t.co/nHU5NGORap"
1471779092982808582,2021-12-17 09:47:34+00:00,@_hannah_slt Congratulations Hannah! 😀👋👋
1471465135612985347,2021-12-16 13:00:01+00:00,"The RCSLT assistant practitioner professional framework (APPF) is now open for review and we'd appreciate your feedback!

The consultation will remain open until 5pm on 5 Jan 2022. Access it here: https://t.co/BlkB8ZDnyp  

#SLPeeps #mySLTday 
@RCSLTWales @RCSLTNI @rcsltscot"
1471452605410955264,2021-12-16 12:10:14+00:00,"We're looking for neurodivergent speech and language therapists to work with us on content for Neurodiversity Celebration Week 2022. If you're interested in getting involved, send us a DM by 21 December 2021 #slpeeps #Neurodiversity #Neurodiversity"
1471450171196284933,2021-12-16 12:00:33+00:00,"@kathrynannhall @EmilioLees Yes, of course and we sincerely apologise for any offence we may have caused!"
1471379412868337672,2021-12-16 07:19:23+00:00,@GovenderRoganie @uclh @UCL_HNAC @rcslt_bulletin
1471228524254339072,2021-12-15 21:19:48+00:00,@ElaineMcgreevy @EmilioLees @WalkerSensei Thank you Elaine!
1471219343295930374,2021-12-15 20:43:20+00:00,@EmilioLees Thank Emily!
1471218772417601547,2021-12-15 20:41:03+00:00,@GovenderRoganie @uclh @UCL_HNAC @KGadhok @MaryHeritage @Nick_Hewer @rcslt_bulletin ☺️
1471215939467182087,2021-12-15 20:29:48+00:00,@Zw786 @Nick_Hewer
1471215665017241604,2021-12-15 20:28:43+00:00,@RCSLTNI @SouthernHSCT @HilaryMcfaul @RebeccaMcGowan1 @Lauren_JY7 @rcslt_bulletin will love this! Might even have to jump on a plane to tuck in!
1471213567424745473,2021-12-15 20:20:22+00:00,@dharford79 @Nick_Hewer Quite right too! You are amazing Dave and I was so impressed with how well you reacted when put on the spot last night. A true gentleman and what a supporter of the speech and language therapy! Feel proud to know you! @KGadhok
1471210811205038083,2021-12-15 20:09:25+00:00,@GovenderRoganie @uclh @UCL_HNAC Many congratulations Roganie!  We are so proud of you! @KGadhok @MaryHeritage @Nick_Hewer @rcslt_bulletin
1471158331184140290,2021-12-15 16:40:53+00:00,"For our latest Faces of SLT interview on Instagram, we spoke to @SteveRoseSLT about deafblindness. Steve is the lead author of recently published RCSLT clinical guidelines on deafblindness. Read the profile here: https://t.co/SMVq5XUm1M"
1471087894995423235,2021-12-15 12:01:00+00:00,"Watch the nomination video for  @barryjmjones @microlabdoc , @tracyniks, Gillian Higgins, @gallagher_rose and Tom Embury from @sarahwallaceslt on their @GivingVoiceUK award  #RCSLTAwards https://t.co/o7U9NvfoDX"
1471087642884329474,2021-12-15 12:00:00+00:00,"Congratulations to @barryjmjones @microlabdoc , @tracyniks, Gillian Higgins, @gallagher_rose and Tom Embury on being awarded a @GivingVoiceUK award for your outstanding work
on the PPE campaign, particularly for raising the profile of the issue through the media! #RCSLTAwards https://t.co/jD9OtCABba"
1470846303039115264,2021-12-14 20:01:00+00:00,Watch the nomination video for Lily Farrington from Stephen Parsons  @RADLDcam @NAPLIC  @WordAware. #RCSLTAwards  https://t.co/FiRWTMikDB https://t.co/MnPJGQQGTU
