id,created_at,text
1477708775381479433,2022-01-02 18:30:01+00:00,"From the RSM archives: Baroness Helena Kennedy QC, one of Britain's most distinguished lawyers and Director of the International Bar Association’s Human Rights Institute, joined Professor Roger Kirby, RSM President, last May. 👀 https://t.co/l4gMYAxp91"
1477708774223790082,2022-01-02 18:30:00+00:00,"Have you seen our Health Emergency of Climate Change series? The 10-part series unites leading healthcare experts to discuss the impact #climatechange is having on human health. Watch all episodes on the RSM YouTube channel 💻 
https://t.co/3xqStFfVbO"
1477696190724640771,2022-01-02 17:40:00+00:00,"Join this multidisciplinary meeting highlighting the complexity and challenges of managing patients with severe functional gastrointestinal, with case-based presentations and panel discussions and contributions from experts in their fields. 👇 

https://t.co/9aZub3X0GS"
1477337329140383745,2022-01-01 17:54:01+00:00,"Today's viewing is this In Conversation Live with Kate Bingham, former Chair of the UK Vaccine Taskforce, discussing the strategy and strive behind the UK’s historical COVID-19 vaccine effort. @katebingham2 
https://t.co/a1Bz0uoSlb"
1477218793801801729,2022-01-01 10:03:00+00:00,"""A big part of the work we do is looking at ways of adopting quality innovations in parallel across the trust &amp; the system. An example coming out of the pandemic has been our virtual wards."" Moira Durbridge, President, Patient Safety Section. Read more 👇  https://t.co/xGudQbLRAF"
1476970413653643272,2021-12-31 17:36:02+00:00,"Wishing all our members, friends and followers a happy, safe and well #2022. https://t.co/SwZYVtn6La"
1476843573899415558,2021-12-31 09:12:01+00:00,"Looking back on our #2021 highlights: on 27 July, Oscar-nominated actress Vanessa Kirby celebrated her father, Professor Roger Kirby's inauguration as President of the Royal Society of Medicine. Watch the ceremony here https://t.co/D2Ac9gOcPz
@RogerKirby12 https://t.co/dHmOKN2POE"
1476597704235048965,2021-12-30 16:55:01+00:00,"Join us for the first RSM #COVID-19 series episode of 2022 on Thur 6 Jan. We'll be exploring the mental health &amp; #wellbeing of #NHS colleagues and the support available with our panel, @ClareGerada @rcgp @NHSPracHealth @ProfNGreenberg. Register your place
https://t.co/BATZWGxT8G"
1476523714753794048,2021-12-30 12:01:00+00:00,"""You see different outcomes for patients with similar conditions, differences in the way patients are able to respond to the advice and treatments given..."" Dr @Mimi_Malhotra VP @RSMResp, speaking on #healthinequalities in this article about her work. 👇

https://t.co/zTdzlPPq4J"
1476523714636300288,2021-12-30 12:01:00+00:00,"Watch our fascinating conversation with the multitalented and inspirational Dr Rachel Clarke @doctor_oxford, author of Breathtaking - a compassionate, heartbreaking and compelling account of an NHS doctor working through the pandemic. https://t.co/PbGMVHpAg8"
1476249165051142145,2021-12-29 17:50:02+00:00,"""Remember the shy, miserable person who left America? Well, that person is no more..."" Christine Jorgensen, the first #transgender woman widely known for having gender reassignment surgery. Find out about more 'Snapshots in #LGBTQ+ medical history' 🌈 👇  https://t.co/UtWA4zBUbh https://t.co/EcwNiaUiKl"
1476146730173407233,2021-12-29 11:03:00+00:00,"More from the RSM In Conversation Live archives: this enthralling conversation between Professor Mary Beard, national treasure, author and the world’s most famous classicist, and Professor Sir Simon Wessely. 👇 
https://t.co/JssBBoIt8Y @wmarybeard @WesselyS"
1475916466507636736,2021-12-28 19:48:01+00:00,"Award-winning historian, biographer and broadcaster @holland_tom joined @WesselyS, RSM immediate Past-President for this In Conversation Live (and in person at the RSM!) in October - if you missed it first time round, now's your chance to catch up 👀

https://t.co/WE9viDZM4n"
1475765719077994505,2021-12-28 09:49:00+00:00,"""What’s been really good about being part of Council is that it’s allowed me to have a better understanding of how finances, management and governance work.""

Hear more from Dr Sarah Filson @Saffron_7uk about her term as Trainee rep on the RSM Council 👀 https://t.co/VGwxQtl9MU"
