id,created_at,text,scores,compound
1474394701914689537,2021-12-24 15:01:04+00:00,"""On behalf of the SoR, UK Council and the College Board of Trustees, I would like to wish you all a safe and restful festive season. 

Happy Holidays and a very Happy New Year"" 🥳

Claire Donaldson, President | Society and College of Radiographers https://t.co/XLkpHxMaO4","{'neg': 0.0, 'neu': 0.555, 'pos': 0.445, 'compound': 0.9716}",0.9716
1473266935039148046,2021-12-21 12:19:43+00:00,Exciting changes at Synergy News https://t.co/WSnzL5QcGd,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}",0.4939
1471831353457000460,2021-12-17 13:15:14+00:00,New advice to promote flexible working https://t.co/ahgNjRmCde,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.5423}",0.5423
1471776766964469762,2021-12-17 09:38:20+00:00,"Leeds University virtual recruitment fair - a must for second and third year diagnostic radiography students!
https://t.co/qXYdB8H4RU","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.3802}",0.3802
1470772930917371906,2021-12-14 15:09:27+00:00,"Calling all Radiology Services Managers!

There's still time to complete the 2021 Diagnostic Radiography Workforce Census

https://t.co/j6PXt79vnj","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1468578149311168516,2021-12-08 13:48:10+00:00,"Job opportunity:

Assessment Manager – Imaging Services
Salary £45,000 –  £50,000 per annum + Excellent Benefits

https://t.co/rNd5ziBKvR","{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.8442}",0.8442
1468507720332554240,2021-12-08 09:08:18+00:00,"The next NHS England and NHS Improvement Health and Wellbeing community event will be on Wednesday 8th December 2021, 4pm to 5pm. 

We will be focusing on menopause and how to support staff wellbeing in the workplace.

https://t.co/qm5a22pWCs
#Caring4NHSPeople","{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.6908}",0.6908
1468248938285256712,2021-12-07 16:00:00+00:00,Congratulations Flora Price! Runner up in the @SCoRmembers Insight magazine Student Writing Competition 2021 with an article on post-mortem imaging in paediatrics. Read it in our special edition: https://t.co/0nnIfF2Bah @radflora @UniversityLeeds https://t.co/oc16pKq4ch,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.784}",0.784
1468233847162777616,2021-12-07 15:00:02+00:00,Congratulations Thailay Roscoe! Runner up in the @SCoRmembers Insight magazine Student Writing Competition 2021 with a leaflet updating radiographers on Parkinson's disease. Read it in our special edition: https://t.co/0nnIfF2Bah @thailayroscoe @SalfordUni https://t.co/qMgCoJuNox,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.784}",0.784
1468218751279579136,2021-12-07 14:00:03+00:00,Congratulations Masoomeh Karimi! Runner up in the @SCoRmembers Insight magazine Student Writing Competition 2021 with an article on students' use of social media for education. Read it in our special edition: https://t.co/0nnIfF2Bah @UniofBradford https://t.co/lDrlCLP1cP,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.784}",0.784
1468203642184425485,2021-12-07 13:00:00+00:00,Congratulations Samantha Platt! Runner up in the @SCoRmembers Insight magazine Student Writing Competition 2021 with an article on smoking cessation during radiotherapy. Read it in our special edition: https://t.co/0nnIfF2Bah @LivUni https://t.co/64JbKi2Xzu,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.784}",0.784
1468201953066950659,2021-12-07 12:53:18+00:00,Congratulations to Callum Currie for winning FIRST PRIZE in the @SCoRmembers Insight magazine Student Writing Competition 2021 with an article on LGBT+ literacy in radiography. Read it in our special edition: https://t.co/DBgB1QtrGq @cllumtbh1 @GCUSHLS https://t.co/bf2Vcu8Qd2,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.9329}",0.9329
1468128154875273220,2021-12-07 08:00:03+00:00,"Guidelines for professional ultrasound practice: major update

The SoR and BMUS guidelines have been updated undergone a major review for December 2021

https://t.co/UyifSFiTog https://t.co/TM41TMfygi","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1467868111844089862,2021-12-06 14:46:44+00:00,"HCPC renewal for radiographers is now live

Deadline for HCPC renewals is Monday 28 February 2022.

https://t.co/N2rfnyb6bm","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1467785996695744512,2021-12-06 09:20:26+00:00,"Guidelines for professional ultrasound practice: major update

The SoR and BMUS guidelines have been updated undergone a major review for December 2021
#ultrasound
https://t.co/8B2zGCsrEo","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1467784543218372613,2021-12-06 09:14:39+00:00,"In collaboration with @BMUS_Ultrasound, we have updated our guidelines for professional ultrasound practice: 

https://t.co/8B2zGCsrEo 

Many thanks to our Professional Officer @UltrasoundPG and our Ultrasound Advisory Group for their input.","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4404}",0.4404
1467770882995146755,2021-12-06 08:20:23+00:00,"Vote in new awards, The Minnies, for the most influential radiographer
https://t.co/FQL58uDe9W","{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.7346}",0.7346
1466737553025941504,2021-12-03 11:54:17+00:00,"Choose the best of radiology in the EuroMinnies 2022
https://t.co/FQL58uDe9W","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369
1466708124442714112,2021-12-03 09:57:21+00:00,Only two weeks left to submit abstracts to UKIO https://t.co/iDS2PvA4oO,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1466388777748865025,2021-12-02 12:48:23+00:00,Time is running out to complete the Diagnostic Radiography Workforce Census 2021 - deadline is 10 December. Could #radiography managers please try to enter their department data to help us lobby for a properly resourced workforce. Thank you! https://t.co/e9V2UUisS7,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.784}",0.784
1465697209886797830,2021-11-30 15:00:20+00:00,"Announcing the Annual British Society for the History of Radiology Lecture 2022
https://t.co/at6kxQpMu3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1465675642905767936,2021-11-30 13:34:38+00:00,Superficial Radiotherapy Virtual Conference 2022 - call for presentations. https://t.co/nuFH5GR57N,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1465263589716115460,2021-11-29 10:17:17+00:00,"HEE launch new elearning programme on MRI safety
https://t.co/ir9FJv7btt","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215
1465262156312723462,2021-11-29 10:11:35+00:00,New imaging lead appointed for Northern Ireland https://t.co/G8aCtAaeO1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1463921587200139273,2021-11-25 17:24:39+00:00,Javid announces plans to integrate Health Education England https://t.co/9vTupmxV76,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1463916744121229312,2021-11-25 17:05:24+00:00,SoR has published guidance on gender #diversity and #pregnancy - introducing the Inclusive Pregnancy Status form for #radiographers. Download the guidance and book our dedicated webinar here: https://t.co/Zh7fcvZq7t https://t.co/OVGWo20Qmz,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4588}",0.4588
1463854277852602371,2021-11-25 12:57:11+00:00,The College of Radiographers new bursary supports therapeutic radiography education in England and Wales. Application deadline: Wednesday 1 December 2021. Find out more https://t.co/coWHmWVIwL,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3612}",0.3612
1462725865649983495,2021-11-22 10:13:17+00:00,Congratulations Ruth! Looks a fascinating topic #radiography #ethnography #research https://t.co/YhwlGiUHse,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.8268}",0.8268
1461653688016064513,2021-11-19 11:12:50+00:00,"""We believe that proposals for mandation of the Covid-19 vaccine risk further pressure on the workforce at a time when services are already struggling.""

Read our response to proposals for mandatory #covid19 vaccinations 

https://t.co/pAFYPf4zDf 

#radiographersmatter","{'neg': 0.117, 'neu': 0.847, 'pos': 0.036, 'compound': -0.4588}",-0.4588
1459107510980386823,2021-11-12 10:35:14+00:00,Ultrasound gel: National safety alert - The UK Health Security Agency has published updated guidance on ultrasound gel use - our expert @UltrasoundPG has picked out the key points and links to documentation for #sonography: https://t.co/mE4Vsv3CNR @UKHSA https://t.co/Viw8K6wT6i,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.7506}",0.7506
1457709491261214720,2021-11-08 14:00:00+00:00,"‘Radiographers are a very resilient, adaptable, dedicated and strong workforce’ says Kirsty Worton, radiographer and designer of one of @ScoRMembers #WRD2021 posters. Download and display a copy now: https://t.co/aRQBfdSBWq https://t.co/hKH3IexMHl","{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.7624}",0.7624
1457694400868274178,2021-11-08 13:00:02+00:00,"‘I’ve always looked upon our profession as a global one. World Radiography Day is a reminder of this’ says Leslie Robinson, radiographer and designer of one of @ScoRMembers #WRD2021 posters. Download and display a copy now: https://t.co/aRQBfdB0xQ https://t.co/dJmKjKvHZw","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1457679298907750410,2021-11-08 12:00:01+00:00,"‘We may be a small department but we are resilient and we look out for each other’ says Laura Tyreman-Guest, radiographer and designer of one of @ScoRMembers #WRD2021 posters. Download and display a copy now: https://t.co/aRQBfdSBWq https://t.co/cMwDoqTrOm","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1457664201053384704,2021-11-08 11:00:02+00:00,"‘My colleagues were the light in the darkness, which helped guide me to be a better radiographer’ says Nuzhat Khan, radiographer and designer of one of @ScoRMembers #WRD2021 posters. Download and display a copy now: https://t.co/aRQBfdSBWq https://t.co/CGUpq5B8KH","{'neg': 0.053, 'neu': 0.871, 'pos': 0.077, 'compound': 0.2263}",0.2263
1457649097951768577,2021-11-08 10:00:01+00:00,"‘The challenges we have faced cannot be described in words but the strength we have shown is extraordinary’
says Yalini Jeyarajah, radiographer and designer of one of @ScoRMembers #WRD2021 posters. Download and display a copy now: https://t.co/aRQBfdB0xQ https://t.co/piGTN5PvK4","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6652}",0.6652
1457634003540918276,2021-11-08 09:00:02+00:00,Today is World Radiography Day AND International Day of Radiology so @SCoRmembers is joining forces with @EFRadiographerS for a double celebration! #WRD2021 #IDOR2021 https://t.co/a0FraX4G5N,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1457402908446756871,2021-11-07 17:41:45+00:00,"Don't forget it's World Radiography Day tomorrow 8 November! Share your celebrations with us, photos and all, and name&amp;fame the colleagues who support and inspire you using #myradcolleague so we can tell the world! #WRD2021 https://t.co/J0WeWWuuBq","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.8705}",0.8705
1456916878174130180,2021-11-06 09:30:26+00:00,Tell us about your #myradcolleague for #WRD2021! https://t.co/TJWa5ncYOY,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1456915918035030018,2021-11-06 09:26:37+00:00,Which of your inspirational #radiography colleagues deserves a shout out for #WRD2021? Tell us why using #myradcolleague and we'll share with the whole profession! https://t.co/Iz8rFzNuEa,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6996}",0.6996
1456638247405330442,2021-11-05 15:03:15+00:00,Don't forget to nominate your #myradcolleague and tell us what makes them special! #WRD2021 https://t.co/oc3fOFhlY0,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.5659}",0.5659
1456554832865660930,2021-11-05 09:31:48+00:00,It's almost time! World Radiography Day is on Monday 8 November and everyone is invited to celebrate the best of the #radiography profession. We want to hear about your celebrations for #WRD2021 and also why your #myradcolleague should be recognised! https://t.co/uTJZX5sZk4,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.8684}",0.8684
1455880473226448900,2021-11-03 12:52:08+00:00,SoR calls for urgent consideration of #sonographers regulation in letter to health secretary @sajidjavid from @ScoRmembers chief executive @RichardEvans40 co-signed by the leaders of ten stakeholder organisations #radiographers https://t.co/RQL6QHPohW https://t.co/IG01QeXreh,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.2023}",0.2023
1455611209579892737,2021-11-02 19:02:10+00:00,Don't miss out on a fantastic opportunity to be an observer at @The_HCPC as a Council Apprentice. There are two one-year places that do not require previous board experience. Apply by 8 November! https://t.co/jNdau28EL1 #radiographers,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.7984}",0.7984
1454055392003203073,2021-10-29 11:59:55+00:00,"@UOS_Radiography have recently developed and approved postgraduate courses aimed at scaffolding the journey for advanced clinical practice. 

What will you study? 📚

Learn more: https://t.co/nBrlrr3Tfi 

#cpd #radiography #postgraduate https://t.co/xNzAy8CzrR","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.5859}",0.5859
1454012772514205698,2021-10-29 09:10:33+00:00,"Have you used our radiation dermatitis guidelines? 

We want to hear from you! There is still time to take our short survey on differences and confidence levels around distinguishing, reporting and managing radiation dermatitis.

https://t.co/zGM2GsErw5

#radiotherapy #skincare https://t.co/W0HHp1PiZt","{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.5983}",0.5983
