id,created_at,text,scores,compound
1473669866469081098,2021-12-22 15:00:50+00:00,"The UKCP office will be closed from Thursday 23 December and will reopen on Tuesday 4 January. 

We'd like to wish you all an enjoyable festive period and a Happy New Year. https://t.co/kxcYGe2oKB","{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.93}",0.93
1473307362916188167,2021-12-21 15:00:22+00:00,"'There might be a tendency to think of other therapists as competition, but treating other therapists as a community is a very helpful thing to do,' says UKCP member @Trusted_Place.

In our podcast he offers advice to psychotherapists starting out: https://t.co/KM46dkpKCg #Career","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.6297}",0.6297
1473277125281132546,2021-12-21 13:00:13+00:00,"With only four days to go until Christmas, it is important to remember not to let the festive period lead to burnout. 

But how can we avoid festive exhaustion? Lorna Evans @MindMovementuk spoke to @Lyd_Carolina for @Patient: https://t.co/RMyORB6RTW #Advice #NewYear","{'neg': 0.125, 'neu': 0.722, 'pos': 0.153, 'compound': 0.09}",0.09
1473235902059134976,2021-12-21 10:16:25+00:00,"Taking the initial step to seek psychological support can feel daunting at first. 

Look for an accredited therapist on our website to help you explore your concerns, thoughts and feelings in a safe therapeutic space. Start your search here: https://t.co/p2iAuZMgn2 #Psychotherapy","{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.8074}",0.8074
1472961247083651073,2021-12-20 16:05:02+00:00,"An introductory workshop on psychotherapy and sitting in the therapist's chair solidified UKCP psychotherapist @NicholasARose's choice to begin a career in psychotherapy. 

Find out more about his journey to training here: https://t.co/u4KGLxdBqM #Psychotherapy #Career","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1472915946247442439,2021-12-20 13:05:01+00:00,"Getting ready for a new year means looking at what we want to achieve in the time ahead. 

@newschainlife spoke to UKCP psychotherapists @Trusted_Place and @Dturner300 to find out what self-care gifts they are hoping for in 2022: https://t.co/5k8ncKT1Sj #NewYear #Goals #SelfCare","{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.6808}",0.6808
1472877226613956616,2021-12-20 10:31:10+00:00,"The trauma of resettlement can have a real impact on the psychological wellbeing of asylum seekers.

In her blog, UKCP psychotherapist Aida Alayarian explores the psychological implications to this client group and the need for specialised support: https://t.co/k585rwwdTs #Trauma","{'neg': 0.067, 'neu': 0.867, 'pos': 0.065, 'compound': -0.0258}",-0.0258
1471875341039853578,2021-12-17 16:10:02+00:00,"Reassessing his life and career, UKCP psychotherapist John-Paul Davies @Trusted_Place, took a break from being a lawyer and found psychotherapy. 

We spoke to him about his desire to train, his private practice and his media work. Listen to our podcast: https://t.co/SrCjCkjlh2","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4019}",0.4019
1471814943838195720,2021-12-17 12:10:02+00:00,"A new year is usually something to celebrate, but the rise of COVID cases has left many of us feeling uncertain of what's ahead.

We invited UKCP psychotherapists @fejrobinson and @jdearden100 to share their tips on how to beat winter blues. Read the blog: https://t.co/u2KR8sWtdh","{'neg': 0.056, 'neu': 0.805, 'pos': 0.139, 'compound': 0.4767}",0.4767
1471528052559597570,2021-12-16 17:10:02+00:00,"How has the pandemic altered the way we grieve?

UKCP psychotherapist Frankie Aitchison provides helpful insights into the need for connection and professional support for those experiencing bereavement. Read her blog: https://t.co/sEOG0BIUT9 #Grief #Covid19","{'neg': 0.066, 'neu': 0.793, 'pos': 0.141, 'compound': 0.4404}",0.4404
