id,created_at,text
1473971056650117124,2021-12-23 10:57:39+00:00,"Are you planning to apply for specialist registration via a CESR? Due to curricula changes being introduced across a range of specialities, read our new webpage which explains what this might mean for your application 👇  -  https://t.co/cVKFDGHgDe"
1473700887642128387,2021-12-22 17:04:06+00:00,@cliffadamfox Hi. Thanks for contacting us. We're unable to help with your query via social media. We'd encourage you to speak with one of our advisers who would be happy to assist you further. You can speak with an adviser via the contact details found here. https://t.co/1RaReL60ZO. Thank you
1473672804541288469,2021-12-22 15:12:30+00:00,If you have any queries during the festive period please see our contact centre opening hours in the image below. Best wishes from everyone at the GMC  ❄️ https://t.co/yHcNd0hIpV
1473259402710982664,2021-12-21 11:49:48+00:00,@Jzakiy Thanks for contacting us. We're unable to help with your query via social media. We'd encourage you to speak with one of our advisers who would be happy to assist you further. You can speak with an adviser via the contact details found here. https://t.co/5OEwIIo8Ze. Thank you.
1473259346721136641,2021-12-21 11:49:34+00:00,@naadiraaaaa Thanks for contacting us. We're unable to help with your query via social media. We'd encourage you to speak with one of our advisers who would be happy to assist you further. You can speak with an adviser via the contact details found here. https://t.co/5OEwIIo8Ze. Thank you.
1471788134618779655,2021-12-17 10:23:30+00:00,"In our annual report looking at The state of medical education and practice in the UK, we examine factors affecting doctors’ wellbeing and explore how we can work with others to build on learnings from the pandemic.  https://t.co/kAj7OQEmEb #StateOfMed https://t.co/PUcSoIHuAe"
1471464694577872899,2021-12-16 12:58:16+00:00,"In a new message to doctors, Acting Chair, Carrie MacEwen, acknowledges the findings of our report into The state of medical education and practice in the UK &amp; thanks doctors for their fortitude &amp; kindness during these challenging times.  https://t.co/PzsQL2z1Tb #StateOfMed https://t.co/SLFbiIjv20"
1471458803354935300,2021-12-16 12:34:51+00:00,"@Rama59329519 Hello. I do apologise for the inconvenience. We are currently having some issues with our website. Please try again later today and if you continue to struggle accessing, please try again to get in touch with the contact centre: https://t.co/L6LPIkPhjp"
1471064796506296322,2021-12-15 10:29:13+00:00,"@ralanshirley Hello, the link should now be working. Please try again, thank you."
1471035625684013058,2021-12-15 08:33:18+00:00,We’ve launched our annual report into The state of medical education &amp; practice in the UK. It looks at doctors’ experience of work &amp; training &amp; explores how we can build on innovations &amp; learnings. https://t.co/TMa4rpCR1B  #StateofMed https://t.co/eO3fdvXodd
1470701078702436352,2021-12-14 10:23:56+00:00,"@VigneshkrishnaH @elsa_john1 Hi, for more information about PLAB 1 tests please visit our website - https://t.co/FUhJYtVxCb . Thanks"
1470681714963927045,2021-12-14 09:06:59+00:00,"@pancake_ot7 Hi, for more information about PLAB 1 tests please visit our website - https://t.co/RInOoweg3Z . Thanks"
1469281504664633347,2021-12-10 12:23:03+00:00,Do you want to hear more about the review of Good medical practice? Sign up to our community of interest to receive regular updates. It’s open to all medical professionals and patients across the UK. https://t.co/X5dlywUK1q
1469281402860544003,2021-12-10 12:22:39+00:00,"New blog: @profEmmaCave, Chair of the independent Good medical practice advisory forum, explains how the forum are reviewing potential changes to the guidance. https://t.co/ISK1dgAJPF. https://t.co/yI2HMoExEi"
1469252698788794373,2021-12-10 10:28:35+00:00,"We’re proud to support @ukmedschools new guidance to help medical schools challenge discrimination. This builds on existing practice to provide students with the supportive, inclusive, &amp; fair learning environments they deserve. Find more info here: https://t.co/8CElc1sTO8"
1468629419237548036,2021-12-08 17:11:54+00:00,@Afaqsid1 Hi. Thanks for contacting us. We've replied to your DM with more information and would encourage you to speak with one of our advisers who can assist you further. You can find the contact details for our advisers here. https://t.co/jowli3PZgP. Thank you.
1467789473396232195,2021-12-06 09:34:15+00:00,"Are you attending @DEMEC21 this week, virtually or in person? If you have any questions about our work to support #MedEd, we’ll be at #DEMEC21 and happy to help. https://t.co/G3m7diweMS"
1466721250127003653,2021-12-03 10:49:31+00:00,"New blog: Ahead of #DEMEC21, Sue Carr reflects on why we’re focused on making postgraduate training flexible for all doctors. https://t.co/HDVxhuJVra"
1466711546755751937,2021-12-03 10:10:57+00:00,"@DEMEC21 @drcolinm Thanks to everyone involved for all you’re doing to support medical students, trainees and patient care at this difficult time."
1466711485699313668,2021-12-03 10:10:43+00:00,We’re looking forward to joining next week’s @DEMEC21 to learn from research and share good practice about #MedEd #DEMEC21. https://t.co/7ynva8cmz0
1466452731934441472,2021-12-02 17:02:31+00:00,"The winners of our 2021 medical student professionalism competition, run with @ukmedschools, are,

Molly Hugkelstone &amp; Clare Pearson of @Cambridge_uni. 👏🎉

Molly &amp; Clare created a learning module about multidisciplinary teams, which you can find here. https://t.co/ttkKMGJQvX"
