id,created_at,text,scores,compound
1477887706059489284,2022-01-03 06:21:01+00:00,"📱 💻 🖥️

Social media can be a great tool in work and life, but it is important to use it wisely. 

The Code and our social media guidance supports you to use it responsibly.

Check our #CaringwithConfidence video 👇

https://t.co/4UKxqG9XXG","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.8934}",0.8934
1477533385086152706,2022-01-02 06:53:04+00:00,"Get your free flu vaccine and COVID-19 booster as soon as you’re offered them.

https://t.co/0e32EUDBRb https://t.co/6v2IRFJHS6","{'neg': 0.131, 'neu': 0.704, 'pos': 0.166, 'compound': 0.1779}",0.1779
1477230977701318656,2022-01-01 10:51:25+00:00,And we’re so pleased to see Professor Mark Radford @MRadford_HEECN awarded with a CBE for services to nursing. Mark has shown inspirational leadership during Health Education England’s response to Covid-19.,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.8671}",0.8671
1477230975398690816,2022-01-01 10:51:24+00:00,"Huge congratulations to everyone throughout the nursing and midwifery world recognised in this year’s New Year’s Honours list. It is wonderful that your vital work has been acknowledged in this way. #NYHonours #Honours2022

https://t.co/V4i0F7mc90 https://t.co/D98NAcGV1N","{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.936}",0.936
1477160207625162752,2022-01-01 06:10:12+00:00,"Happy New Year from everyone at the NMC ✨

To all professionals on our register, thank you for everything you're doing in these incredibly challenging circumstances. We know you'll continue to make an enormous difference to people's lives in 2022. #ThankYou https://t.co/cRVNCjeyUt","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.796}",0.796
1476902167802003461,2021-12-31 13:04:50+00:00,"@BPNMA21 Hello, thanks for getting in touch. Please could you DM or follow us so we can send you information to answer your queries? Thanks!","{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.8122}",0.8122
1476876007462289414,2021-12-31 11:20:53+00:00,@covil_kate Congratulations Kate🥳 What a wonderful achievement. And thank you for everything you've done to make a difference to people's lives in those 40 years.🙏 Enjoy your retirement!,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.9273}",0.9273
1476875642226495490,2021-12-31 11:19:26+00:00,"We want to take a moment to say a huge thank you to @justine_mw whose last day on our #NMCCouncil is today. Justine has been on our Council since early 2021 as our designated member for Scotland. We wish Justine every success in her new role as Chief Midwifery Officer, Scotland. https://t.co/LpBDlvucFH","{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.8885}",0.8885
1476849832862101504,2021-12-31 09:36:53+00:00,@PeggyJaneAnn Congratulations Peggy-Jane 🥳Thank you for everything you do as a nursing associate!,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.636}",0.636
1476808353166897154,2021-12-31 06:52:03+00:00,"All healthcare professionals have a responsibility to be open and honest.

Our guidance provides helpful advice on what duty of candour means and how it applies to your practice.

Read the guidance and example case studies here 👇
https://t.co/jNemFCx6vr https://t.co/FyX3Gpfycv","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.7269}",0.7269
1476526479005696002,2021-12-30 12:11:59+00:00,"@CarrieLouiseyo2 No need to apologise Carrie, we understand it was frustrating and we're sorry for the stress caused. Really glad it's all sorted now 🙂","{'neg': 0.278, 'neu': 0.544, 'pos': 0.178, 'compound': -0.3197}",-0.3197
1476509533526704131,2021-12-30 11:04:39+00:00,"@shrinkhalashr Hi Muna, we aim to evaluate your application within 14 days of receiving all the information we need. Once we've confirmed your eligibility, we'll send you an email. There's more info here which you may find helpful - https://t.co/zinWvNNWMN Happy new year to you too! 🙂","{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.7777}",0.7777
1476445281340248071,2021-12-30 06:49:20+00:00,"Our Standards for Student Supervision and Assessment set out expectations for the learning, support and supervision in the practice environment.

If you’re an assessor, practice supervisor or student you can find out what is expected of you.

👇

https://t.co/zV5dppm22V https://t.co/QH9zh9CK6k","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4019}",0.4019
1476223210349813760,2021-12-29 16:06:54+00:00,"@CarrieLouiseyo2 Hi Carrie, we're really sorry to hear this. We've sent you a DM.","{'neg': 0.117, 'neu': 0.883, 'pos': 0.0, 'compound': -0.1513}",-0.1513
1475717918025564160,2021-12-28 06:39:03+00:00,"📱

Social media can be a great tool for learning and connecting with others, if used responsibly and appropriately.

Read our social media guidance for nursing and midwifery professionals on how to use social media in line with the Code 👇 

https://t.co/bjppLpfSqV https://t.co/X85VdQg9SC","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.6249}",0.6249
1475348232876310529,2021-12-27 06:10:04+00:00,"📞

Check out our contact centre opening hours over the festive period. 

Our online services will be available as usual.

https://t.co/cdjpq2mNsH https://t.co/HVDX7xbE3o","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4588}",0.4588
1475050511028170757,2021-12-26 10:27:01+00:00,"@CarrieLouiseyo2 Hi Carrie, we’ve sent you a DM about this.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1474984843117314049,2021-12-26 06:06:05+00:00,"You can give flu and COVID-19 to your family and those you care for without having symptoms. Get vaccinated as soon as you can ⬇️

https://t.co/irV9G2Qk5I https://t.co/XpkBUvGl9B","{'neg': 0.084, 'neu': 0.812, 'pos': 0.104, 'compound': 0.1531}",0.1531
1474623993256849410,2021-12-25 06:12:11+00:00,"Season's greetings from all of us at the NMC! 🎄

And to everyone who is working today, and across the festive period, to deliver care to people using health and social care services – thank you so much 🙏 https://t.co/zmEU3e6t21","{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.9324}",0.9324
1474276169516298243,2021-12-24 07:10:04+00:00,"Whether you’re a professional on our register, a student, an educator, a member of the public or an employer, we’ve got a newsletter for you.

To get our latest news and updates delivered straight to your inbox every quarter, sign up below 👇
https://t.co/3mWOuAb2Ks https://t.co/zF6JmdmQYh","{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.2263}",0.2263
1474259365649604619,2021-12-24 06:03:17+00:00,"Whether you’re a professional on our register, a student, an educator, a member of the public or an employer, we’ve got a newsletter for you.

To get our latest news and updates delivered straight to your inbox every quarter, sign up below 👇
https://t.co/wGBTwLIubJ https://t.co/eQyNxNII8E","{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.2263}",0.2263
1473970154371436551,2021-12-23 10:54:04+00:00,"Listen to @Crouchendtiger7 on @Ahpra's Taking Care podcast 👇

Andrea talks about our ambition to encourage a safe, fair and open nursing and midwifery culture that's free from blame – including our commitment to take account of context and support employers to manage concerns. https://t.co/miwxI2vSi7","{'neg': 0.042, 'neu': 0.6, 'pos': 0.358, 'compound': 0.9509}",0.9509
1473896657196658703,2021-12-23 06:02:01+00:00,"As a nurse, midwife or nursing associate, you use your professional judgement every day to make decisions. 

Check out our #CaringwithConfidence video all about professional judgement and how The Code supports you

👇
https://t.co/hr43NfDf48","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.3612}",0.3612
1473536290524123136,2021-12-22 06:10:03+00:00,"📞

Check out our contact centre opening hours over the festive period. 

Our online services will be available as usual.

https://t.co/W2haWGvwoa https://t.co/Ym23V7a8Lz","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4588}",0.4588
1473333313159020553,2021-12-21 16:43:29+00:00,"@SarahCoiffait Hi Sarah, we'd need to know a bit more about the circumstances in order to fully answer your question. So we've sent you a DM to find out more. In the meantime you might find this page on our website useful: https://t.co/oynaxSYrab","{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.4404}",0.4404
1473276571129716738,2021-12-21 12:58:01+00:00,"@AliceHay19 Thanks for the question Alice. Universities are working with @NHS_HealthEdEng and our emergency and recovery standards to support students and minimise the impact on their studies.
 
You can read more about our recovery standards here: https://t.co/RAJzCt67dQ","{'neg': 0.062, 'neu': 0.806, 'pos': 0.133, 'compound': 0.4588}",0.4588
1473174410991386626,2021-12-21 06:12:04+00:00,"This winter it’s essential you protect yourself and others against both flu and COVID-19. 

Book your vaccinations now ➡️ https://t.co/GwAEqTOUeg https://t.co/7yvgK52B4U","{'neg': 0.107, 'neu': 0.785, 'pos': 0.107, 'compound': 0.0}",0.0
1472456678348103680,2021-12-19 06:40:03+00:00,"If you’re going through the fitness to practise process you might want to talk to someone about how you're feeling, in complete confidence. You can contact our free careline 24 hours a day.

Call 0800 587 7396 | Email assist@cic-eap.co.uk | https://t.co/eAoo7df3uC https://t.co/DOaddf5wxt","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.8591}",0.8591
1472086992280240131,2021-12-18 06:11:03+00:00,"⚠️⚠️⚠️

A reminder that NMC Online will be unavailable from 7.15-10am this morning for essential maintenance.

We're sorry for any inconvenience, we'll get it back up and running as quickly as we can! https://t.co/CrXU1aVYQt","{'neg': 0.117, 'neu': 0.883, 'pos': 0.0, 'compound': -0.4753}",-0.4753
1471845652816863235,2021-12-17 14:12:03+00:00,"⚠️⚠️⚠️

Please be aware that NMC Online will be unavailable from 7.15-10am on Saturday 18 December for essential maintenance.

We're sorry for any inconvenience, we'll get it back up and running as quickly as we can! https://t.co/yHtyOxa4dE","{'neg': 0.101, 'neu': 0.842, 'pos': 0.057, 'compound': -0.2003}",-0.2003
1471724606398554113,2021-12-17 06:11:04+00:00,"Our latest employer newsletter included a great article from Chief Nurse @Fi_Millington.

Read Fiona's thoughts about how employers can put in place a clear and consistent Fitness to Practise policy that's fair and accessible to everyone 👇

https://t.co/EPNGytDQ5B https://t.co/HjdI88ZkSD","{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.8779}",0.8779
1471405184903532544,2021-12-16 09:01:48+00:00,@EmmaNQM Congratulations Emma! Welcome the the register 🥳,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.8016}",0.8016
1471362464881205249,2021-12-16 06:12:02+00:00,"Being open and honest is the responsibility of every health care professional.

Our guidance provides helpful advice on what to do when things go wrong and the responsibility you have to the people in your care.

Read it now ➡ https://t.co/dFi4Dk5sc9 https://t.co/Uy2ycv4YDa","{'neg': 0.06, 'neu': 0.698, 'pos': 0.242, 'compound': 0.8555}",0.8555
1471061385996083202,2021-12-15 10:15:40+00:00,"@NursingTimes Thanks for sharing this. We know preceptorship helps newly registered professionals have the best possible start as a registered professional in the UK. Anyone interested in learning more about preceptorship can find our Principles of Preceptorship here 👇
https://t.co/sYWRmGxyBy","{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.9349}",0.9349
1471051263785816071,2021-12-15 09:35:26+00:00,@AndiSch4 @CDDFTNHS @NHSuk Congratulations Andi and thank you for your service – you'll have undoubtedly made a difference for so many people over the years💙,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7506}",0.7506
1471047223475593218,2021-12-15 09:19:23+00:00,"""The GMC’s report mirrors our own findings: workplace pressures are impacting peoples’ health and wellbeing.""

Read our response to @gmcuk's annual report into The state of medical education &amp; practice in the UK 👇

https://t.co/CRHD88TmKb https://t.co/Wq6LGnbGP1","{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.3182}",-0.3182
1471000116865679361,2021-12-15 06:12:12+00:00,"Our Standards for Student Supervision and Assessment set out expectations for the learning, support and supervision in the practice environment.

If you’re an assessor, practice supervisor or student you can find out what is expected of you.

👇

https://t.co/HkWrPqEzcV https://t.co/7N9aUkln9J","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4019}",0.4019
1470772889225945091,2021-12-14 15:09:17+00:00,"@gaarahk It's not mandatory. We ask applicants to provide proof of qualification and registration information.

More info on requirements here: https://t.co/mGjnvJdsss","{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.0572}",-0.0572
1470679644445843457,2021-12-14 08:58:45+00:00,"@gaarahk Hi there, 

You can find out everything you need to know for internationally trained nurses joining our register on our website.

https://t.co/NPYaqE6Mlh","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1470640715344625666,2021-12-14 06:24:04+00:00,"This winter it’s essential you protect yourself and others against both flu and COVID-19.

Get your free flu vaccine and COVID-19 booster as soon as you’re offered them.

https://t.co/hflQ65bAbn https://t.co/ScGXBn4dKH","{'neg': 0.14, 'neu': 0.701, 'pos': 0.159, 'compound': 0.1779}",0.1779
1470397957535154180,2021-12-13 14:19:26+00:00,"@0rlaith Hi Orlaith, we've sent you a DM with some information about this 🙂","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1470374502613897219,2021-12-13 12:46:14+00:00,"Congratulations @profalexmcmahon on your permanent appointment as Chief Nursing Officer for Scotland!

We look forward to continuing to work with you. https://t.co/9UVKYGt864","{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.636}",0.636
1470353908157632517,2021-12-13 11:24:24+00:00,"@PDnurseClaireA Morning Claire, thanks for getting in touch about this. Our team received your email too so they'll get back to you via email shortly🙂","{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.4404}",0.4404
1469914421908545539,2021-12-12 06:18:02+00:00,"Nursing and midwifery professionals need to know what’s important when caring for someone at the end of their life. 

Even if you only need to do it once, there’s only one chance to get it right. 

Watch our #CaringwithConfidence animation about this 👇

https://t.co/WFCNHfuvI3","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.7184}",0.7184
1469557577415630849,2021-12-11 06:40:04+00:00,"If you’re going through the fitness to practise process you might want to talk to someone about how you're feeling, in complete confidence. You can contact our free careline 24 hours a day.

Call 0800 587 7396 | Email assist@cic-eap.co.uk | https://t.co/xiKrzbhQqh https://t.co/VDncx6HLuV","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.8591}",0.8591
1469241930722729984,2021-12-10 09:45:48+00:00,"@gospelkelvin_SN Hello, you can only add an additional nursing (adult, children’s, mental health and learning disability nursing), midwifery or nursing associate qualification to your existing registration record. Unfortunately, we’re not able to consider other clinical specialisms from overseas","{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.34}",-0.34
1469187893755531265,2021-12-10 06:11:04+00:00,"📣 Nurses and nursing associates, have you signed up to our #nursing newsletter?

To get our latest news and updates delivered straight to your inbox every quarter, sign up below 👇

https://t.co/dHiv8618rW https://t.co/z4rqS6oFaU","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.2263}",0.2263
1468885346897305600,2021-12-09 10:08:51+00:00,"In August 2021, we sent a survey to 13,043 people on our Covid-19 temporary register to find out about their experiences and future intentions.

Thank you to everyone who took the time to respond!

You can now read the survey results on our website👇
https://t.co/SzibkLhLF8 https://t.co/5pVE8qiGPw","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.4199}",0.4199
1468826767393705988,2021-12-09 06:16:05+00:00,"You can give flu and COVID-19 to your family and those you care for without having symptoms.

Get your free flu vaccine and COVID-19 booster as soon as you’re offered them.

https://t.co/bdtgSLWHb3 https://t.co/tYZedajPtk","{'neg': 0.128, 'neu': 0.713, 'pos': 0.16, 'compound': 0.3182}",0.3182
1468611958316355593,2021-12-08 16:02:31+00:00,"@OmitoyinV Hi there, you can only add another nursing (adult, children’s, mental health or learning disability nursing), midwifery or nursing associate qualification to your existing registration record. Unfortunately, we’re not able to consider other clinical specialisms from overseas.","{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.34}",-0.34
1468611286896459776,2021-12-08 15:59:50+00:00,"@OkaforPhyna1 Hi Phyna, we've sent you a DM about this 👍","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1468610970243248135,2021-12-08 15:58:35+00:00,"@hardanmah Hi there, if you've been practising in the UK in a registered role for 12 months or more in the last two years, you can use this as evidence to meet the English language requirements. There's more about this on this page - https://t.co/YOt240TOxv 👍","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
