id,created_at,text,scores,compound
1477973244498132993,2022-01-03 12:00:55+00:00,"The RPS Core Advanced Pharmacist Curriculum has been developed and we want your feedback.

Find out more and respond to the consultation: https://t.co/D41CfpcfiS

Consultation closes Tuesday 4 January 2022. https://t.co/kXwWjFbBLQ","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.3182}",0.3182
1477235266133843969,2022-01-01 11:08:27+00:00,Many congratulations to colleagues and friends recognised in the Queen's #NewYearHonours list including RPS Fellows @drmahendrapatel and @adewilliamsnhs #pharmacyheroes all,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.7906}",0.7906
1476999094921011200,2021-12-31 19:30:00+00:00,"Thank you to all pharmacists and pharmacy teams for their hard work and dedication to patients and the profession over the last year, as always.

Wishing you health and happiness for 2022 ❤️ https://t.co/23LKx5mC31","{'neg': 0.036, 'neu': 0.761, 'pos': 0.203, 'compound': 0.765}",0.765
1476946744181198850,2021-12-31 16:01:58+00:00,"Finding things tough? We can help.

Check out our wellbeing hub for support and guidance: https://t.co/sUUHfZKaLQ https://t.co/jX6BzK9vbW","{'neg': 0.072, 'neu': 0.67, 'pos': 0.258, 'compound': 0.5994}",0.5994
1476916550242340870,2021-12-31 14:02:00+00:00,"Consultant Credentialing webinars are back for 2022! 

Our January Q&amp;A session will give you the opportunity to understand how to best structure and organise your portfolio in preparation for submission in January

📅 Thursday 13 January | 7pm

Book now: https://t.co/eCIgBwfUlR https://t.co/9vQQMo26cR","{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.807}",0.807
1476493434932322304,2021-12-30 10:00:41+00:00,"We've delivered over 100 webinars this year, covering a range of topics including clinical updates, safer user of medicines, careers and inclusion and diversity.

RPS members can watch the recordings on our website: https://t.co/rjSWeysuwS https://t.co/4C6uUQqJqw","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4215}",0.4215
1476221869321818116,2021-12-29 16:01:35+00:00,"We have an exciting opportunity for a lead assessment developer and a team of question developers for the RPS mock GPhC registration assessment.

Applications close Monday 10 January.

Find out more and apply: https://t.co/KQsc8pZ3Rk https://t.co/noeeiBYWpi","{'neg': 0.072, 'neu': 0.773, 'pos': 0.155, 'compound': 0.4939}",0.4939
1476203808216821763,2021-12-29 14:49:49+00:00,"RPS is urging governments and the NHS to address lateral flow testing supply issues. 

RPS President @Clairewynn says: ""We are calling for immediate action to ensure additional tests are distributed to pharmacies.""

Full story: https://t.co/R35kecOywJ

#RPSNews https://t.co/tleSTZ9GyQ","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3818}",0.3818
1476161271418531842,2021-12-29 12:00:47+00:00,"Cernes Drug Stores was a pharmacy in Wombwell, Yorkshire &amp; this photograph shows the shop front around 1914

Photos like this give us insight into the different display techniques &amp; products sold

Visit our new museum site for more like this: https://t.co/4llOvqW0xu

#RPSMuseum https://t.co/zdYvF2OIL6","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.6124}",0.6124
1476123355719905283,2021-12-29 09:30:07+00:00,"Please remember, our Professional Support Service for RPS members is open as normal between Wednesday 29 December and Friday 31 December, and our expert pharmacists are on hand to help with any questions or difficulties you may have.

Get 1:1 support: https://t.co/fXZPZCFaLf https://t.co/JDeIppSO6L","{'neg': 0.042, 'neu': 0.701, 'pos': 0.258, 'compound': 0.886}",0.886
