id,created_at,text
1478063730164486146,2022-01-03 18:00:29+00:00,"The campaign for fair pay will continue in 2022. Last year, our members shared their personal stories on how unfair pay impacted them. Watch Malcolm's video and support the campaign. #FairPayForNursing https://t.co/p5Zw4zTLBB https://t.co/hPBSATWbaT"
1478045780397150215,2022-01-03 16:49:09+00:00,"You are the voice of nursing, together we will be heard. Wherever you work, whatever your role, you must be free to speak up with any and all concerns - in the interest of patient and professional safety. The RCN will always support you."
1478045778895507456,2022-01-03 16:49:09+00:00,"On behalf of members in England, we have today called for a more cautious approach and for the government to release the evidence behind the decisions on restrictions. Ministers must release their plans to cope with staff absences and rising demand. https://t.co/gY5Rhyb6eB"
1478045777360568327,2022-01-03 16:49:08+00:00,Members can also consult this new resource on workplace risk assessment. Your safety is the most important thing to the RCN: https://t.co/IgA0ZCQvNY
1478045775808675844,2022-01-03 16:49:08+00:00,"They received the latest updates from across the UK and agreed further steps for supporting members. The central point for all Covid-19 related advice and guidance is our website, which is updated at every opportunity: https://t.co/G6MxVGfFDg"
1478045773636022279,2022-01-03 16:49:07+00:00,"Today, your elected members on the RCN’s Council and Professional Nursing Committee convened urgent meetings to discuss the current challenges and the action we are taking to protect the nursing profession."
1478033457825599490,2022-01-03 16:00:11+00:00,"Listen to the best of #NursingMatters 2021. From patient safety to climate change, feminism to long COVID – our Professional Nursing Committee and guests delve into the issues impacting nursing today. Listen now. https://t.co/SbjDRDmzup"
1478003392563798024,2022-01-03 14:00:43+00:00,"When RCN members come together, you can achieve real change for the profession - now and in the future. Watch our film and find out how you can get more involved. https://t.co/lEYA61ugWS #FairPayForNursing #SafeStaffingSavesLives https://t.co/vE9UF9aVj8"
1477977016024584197,2022-01-03 12:15:54+00:00,"If you trained overseas and want more information on joining the NMC’s temporary register, please join this webinar from @NHSEngland with a speaker from @theRCN at 12:30 on Wednesday 5th January https://t.co/1wLJ0oSikI"
1477973032668905474,2022-01-03 12:00:05+00:00,"If you are working in close proximity to patients with confirmed or suspected #COVID19, use our new risk assessment toolkit to support you to make evidence-based decisions about PPE. Find out more. https://t.co/VyKyBYZMTI"
1477942838306430976,2022-01-03 10:00:06+00:00,“The course has given me hope and it’s given me the means to take action.” Carol Webley-Brown discusses how taking part in our first organising course gave her the confidence and skills to stand up to racism and injustice at work. https://t.co/cySIdve3ao
1477729663762026499,2022-01-02 19:53:01+00:00,Nursing staff deserve to go to work and have the right number of nursing staff on shift to provide safe care for patients. Find out more. #SafeStaffingSavesLives  https://t.co/IynUcwt8Hq https://t.co/3f2AXqayMg
1477693675589316618,2022-01-02 17:30:01+00:00,We know our members working across the health and care system are under pressure to ensure services are delivered in a safe and timely manner. We have resources to support you with the difficult decisions you make every day. https://t.co/l68n5ofGvq
1477656017630646273,2022-01-02 15:00:22+00:00,"The campaign for fair pay will continue in 2022. Last year, our members shared their personal stories on how unfair pay impacted them. Watch Vanessa's video and support the campaign. #FairPayForNursing https://t.co/p5Zw4zTLBB https://t.co/vEDfVTi26L"
1477595319898624001,2022-01-02 10:59:11+00:00,Navigating the right path in your #NursingCareer can seem daunting. Check out our free careers resource - developed with @NHS_HealthEdEng - that will help you answer all sorts of questions you might have about moving through your nursing career. 📈 https://t.co/luucotkOkx https://t.co/A1oEmKIzQX
1477572878971322370,2022-01-02 09:30:00+00:00,Looking for a career-based new year's resolution? Read our article published last year on five ways to embrace your inner leader. #RCNMagazines https://t.co/feC8Z3BLGV
1477546453082025984,2022-01-02 07:45:00+00:00,RCN Congress 2022: agenda submissions and voting applications now open. Members are encouraged to suggest nursing issues to be debated at RCN Congress in Glasgow this year. #RCN22 https://t.co/qKkaXrt9VL
1477353958951772165,2022-01-01 19:00:06+00:00,Read Interim General Secretary and Chief Executive @patcullen9's new year message to our members as she shares her aspirations for the profession in 2022 and how the RCN will continue to lead and influence on members’ behalf. Read more. https://t.co/YkG4Eznwg8 https://t.co/pFFJ8V5diL
1477323785690882049,2022-01-01 17:00:12+00:00,"Do you have questions about the #COVID19 vaccination programme? We have compiled resources, support and FAQs over on our website ⬇️ https://t.co/uQDTAwG91Y"
1477293627932123136,2022-01-01 15:00:22+00:00,"Nursing students and trainee nursing associates can find specific advice and information about the Omicron #COVID19 variant, part-time working and volunteering on our website. Read more. https://t.co/08kMR5UFuQ"
1477263405904011265,2022-01-01 13:00:16+00:00,"""Colleagues have told me that starting their shifts like this really made a difference."" As we enter 2022, read nurse Jessica's five tips for starting a mindfulness meditation practice. #RCNMagazines https://t.co/yAuCuOmCu2"
1477233151533592578,2022-01-01 11:00:03+00:00,"You can access advice, help and support from the RCN during the festive period on our website, by phone, online chat or email. Find out more. https://t.co/TMPhPtMNll https://t.co/V7uh4V2VLe"
1477195393784025088,2022-01-01 08:30:01+00:00,Congratulations to all nursing and other health care staff who have been recognised in the New Year Honours. These honours also mark the contribution of everyone involved in health and care during the #COVID19 pandemic. https://t.co/aQbntWMtAt
1477187879847837697,2022-01-01 08:00:10+00:00,Our Interim General Secretary and Chief Executive @patcullen9 shares her aspirations for the profession in 2022 and how the RCN will continue to lead and influence on members’ behalf in her new year message. Read more. https://t.co/YkG4Eznwg8 https://t.co/xkcSIQBNDl
1477014204460802050,2021-12-31 20:30:02+00:00,"To all our members working this evening, thank you for your continued hard work and dedication. Wishing you and your colleagues all the best for 2022. https://t.co/9VJCyT2WW4"
1476968900428541960,2021-12-31 17:30:01+00:00,"""It allowed me to switch off completely in a way that even sleep wasn’t allowing me to do"" - When pandemic work overwhelmed Olivia, cold water swimming helped her keep her head above water. Read Olivia's story from earlier this year. #RCNMagazines https://t.co/euKB8eSgDU"
1476919941924372487,2021-12-31 14:15:28+00:00,"When RCN members come together, you can achieve real change for the profession - now and in the future. Watch our film and find out how you can get more involved.  #FairPayForNursing #SafeStaffingSavesLives https://t.co/TzqOu9eWc5 https://t.co/0HpPRXj84v"
1476883682187165703,2021-12-31 11:51:23+00:00,"@BurgessDawson @Retired_AHPs @DaveDaoggio Hi Becca, you'll be able to find the details on our report of the 2021 employment survey here: https://t.co/qW1YqyitA6"
1476878303680212997,2021-12-31 11:30:01+00:00,Find resources on our website to support you during the coming months as you continue to work under pressure to ensure services are delivered in a safe and timely manner across health and care. https://t.co/l68n5ofGvq
1476866976194699297,2021-12-31 10:45:00+00:00,"Looking for a new podcast in 2022? Subscribe to #NursingMatters, the podcast from the RCN Professional Nursing Committee where we unpack nursing news, discuss professional issues and meet some of our members at the forefront of the nursing profession 🎧 https://t.co/oc8tggqzm0"
1476833003812925440,2021-12-31 08:30:00+00:00,Yesterday we released our new report revealing how our members are feeling nearly two years into the pandemic. Read our report and find out how we are supporting members through these challenging times. https://t.co/fwcUPoLagm
1476617084373245955,2021-12-30 18:12:01+00:00,Have you been inspired by how our members have organised to win positive change in their workplaces this year? Register your interest for the latest updates on how you can get involved. https://t.co/vrLVUwV1n8 https://t.co/La0Z5cDE2Y
1476607516981219333,2021-12-30 17:34:00+00:00,"""English is like a foreign language for some D/deaf people."" 
Find out why communication could be at the crux of improving health outcomes for D/deaf patients. #deafnurse https://t.co/I1bCaJKcCX"
1476534285981081605,2021-12-30 12:43:01+00:00,"With over 50,000 nurse vacancies in the NHS and social care across the UK, the need to demand safe nurse staffing has never been more urgent. Find out more. #SafeStaffingSavesLives https://t.co/IynUcwt8Hq https://t.co/KHHgadm4GX"
1476515914329825282,2021-12-30 11:30:00+00:00,Find resources on our website to support you during the weeks and months ahead as you continue to work under pressure to ensure services are delivered in a safe and timely manner across health and care. https://t.co/l68n5ofGvq
1476493296256098309,2021-12-30 10:00:08+00:00,"You can access advice, help and support from the RCN during the festive period on our website, by phone, online chat or email. Find out more. https://t.co/TMPhPtMNll https://t.co/Fu9OC4cjSD"
1476468285151584258,2021-12-30 08:20:45+00:00,Our members can also get help and advice from the RCN – wherever you work and whatever your nursing role. Find out more on our website.  https://t.co/2tcgfIc4N6
1476468121334657025,2021-12-30 08:20:06+00:00,We have resources to support our members facing unsustainable pressures in delivering safe and effective care. Find out more on our website. https://t.co/Vx2QKjYR8n
1476467795214934018,2021-12-30 08:18:48+00:00,And just over half of these members reported these additional hours were unpaid. https://t.co/3oocwIwxoe
1476467504495181824,2021-12-30 08:17:39+00:00,Almost three-quarters also told us they are regularly working beyond their contracted hours at least once a week. https://t.co/n1YJ4k6v0H
1476467161535287300,2021-12-30 08:16:17+00:00,Around three-quarters of respondents reported having worked when unwell on at least one occasion over the previous 12 months. https://t.co/U3EYcBHYAi
1476466766847033348,2021-12-30 08:14:43+00:00,"The findings show nursing staff routinely working unpaid overtime, delaying or not taking annual leave and feeling exhausted.  Respondents also expressed a growing sense of disillusionment after 18 months’ fighting the pandemic."
1476466640028151810,2021-12-30 08:14:13+00:00,"Our report out today, based on a survey of our members in October 2021, details how much pressure nursing staff were under even before the Omicron wave hit &amp; how working during COVID-19 has both exacerbated longstanding issues, as well as created new ones https://t.co/fwcUPoLagm"
1476447973823463428,2021-12-30 07:00:02+00:00,We have published a new report today revealing how members are feeling nearly two years into the pandemic. Read more in our news story. https://t.co/fwcUPoLagm
1476274326043299847,2021-12-29 19:30:01+00:00,"If you’re concerned about safety in your workplace, we have resources to support you including how to raise concerns. Read more on our website. https://t.co/Vx2QKjYR8n"
1476251802295320580,2021-12-29 18:00:31+00:00,"The campaign for fair pay will continue in 2022. Earlier this year, our members shared their personal stories on how unfair pay impacted them. Watch Sheila's video and support the campaign. #FairPayForNursing https://t.co/p5Zw4zTLBB https://t.co/NhIpfkju6N"
