id,created_at,text
1477928000419250176,2022-01-03 09:01:08+00:00,"New year, new Annual Conference to look forward to.  🤩✨

We’ve got a shortlist of themes for Annual Conference #RCOT2022 and we want to know your favourites. Kick start the year by helping us to shape the programme here:  https://t.co/mVnMWpGewg https://t.co/zT51ACRI57"
1477187985577807873,2022-01-01 08:00:35+00:00,"✨ Happy New Year from everyone at RCOT. 🎆 

Here's to a fantastic start to 2022. We've got a lot planned this year, so watch this space. 😊 #HappyNewYear #NewYear2022 https://t.co/4rojLxG35C"
1475798912250355716,2021-12-28 12:00:54+00:00,"Looking for something to do in the limbo between Christmas and New Year? 🤔 How about helping us shape the Annual Conference #RCOT2022 themes? It's takes just a minute!

Rank the shortlist of themes and let us know your favourites: https://t.co/mVnMWpGewg https://t.co/FYVshSf81P"
1474651513255514114,2021-12-25 08:01:33+00:00,"We hope your Christmas Day is full of love, peace and joy. Have a fantastic day. 🎄🕯️

#MerryChristmas https://t.co/OLYBxSl3EA"
1474017642126139396,2021-12-23 14:02:46+00:00,"We received 350 great theme suggestions for Annual Conference 2022. Please let us know which themes on the shortlist you prefer.  

💡 Rank the themes and shape the programme: https://t.co/mVnMWpGewg

#RCOT2022 https://t.co/dEDSpYaLaI"
1473724660156092436,2021-12-22 18:38:34+00:00,@ajciliaOT @HousingOT @CUH_OT We are contacting the BBC to inform them of their error and will be offering advice on the difference between occupational health and occupational therapy.
1473681489841774592,2021-12-22 15:47:01+00:00,"Are you, or your child or young person affected by Long Covid?  

See how occupational therapy can support people to manage and recover from #LongCovid in our two new quick guides about occupational therapy and Long Covid.

 ➡️ Access quick guides here: https://t.co/qsJZYdLxx0 https://t.co/wJBaXrUxV4"
1473625659230543874,2021-12-22 12:05:10+00:00,"2/2 Join one of our steering groups. We're still looking for impassioned people who want to help RCOT, @LGBTQIAOTUK and @AbleOTUK drive our profession forward. 

Find out more here: https://t.co/O7YEKBSeXy

#NewYearsResolution #NewYear2022"
1473625655824822273,2021-12-22 12:05:09+00:00,"1/2 Planning your New Year's resolutions? 🤔 So are we. Help us ​continue to build a culture of inclusion and diversity 🙌

#NewYearsResolution #NewYear2022 https://t.co/ZG1g6AscvQ"
1473579243359686659,2021-12-22 09:00:44+00:00,"📣 From tomorrow (23 December 2021) we'll be logging off social media and will not be responding until we return on 5 January 2022.

If you send us a message during this period we will get back to you in the new year.

Have a fantastic festive break and see you in 2022. 😊"
