id,created_at,text,scores,compound
1476870751479386112,2021-12-31 11:00:00+00:00,"Julie Dugmore RVN, Director of Veterinary Nursing talks about her career journey, the progress the profession has made in the last decade and the future of veterinary nursing. Read our new VN Diamond Jubilee e-book here: https://t.co/NZXfFfcsn0 https://t.co/QusEQmxiIt","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.6369}",0.6369
1476551880897613830,2021-12-30 13:52:56+00:00,Have you seen our new commemorative VN Diamond Jubilee e-book? It looks at the highlights from the last 60 years of veterinary nursing and contains exclusive interviews and stories from the profession. Find out more here: https://t.co/H2MGFUC754 https://t.co/tE9m81VsgK,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.4404}",0.4404
1473979334037807115,2021-12-23 11:30:33+00:00,We have written a joint letter to the PM with @BritishVets and @bvnauk asking the UK Govt to support 20 Afghan vet professionals &amp; their families who left the country as part of #OperationMagicCarpet: https://t.co/DlOurCDKTr,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.4019}",0.4019
1473609263692103688,2021-12-22 11:00:01+00:00,"Julie Dugmore RVN, Director of Veterinary Nursing talks about her career journey, the progress the profession has made in the last decade and the future of veterinary nursing. Read our new VN Diamond Jubilee e-book here: https://t.co/NZXfFfcsn0 https://t.co/QEWuG7oTwo","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.6369}",0.6369
1473235221080334341,2021-12-21 10:13:42+00:00,"To conclude our celebration of the VN Diamond Jubilee, we’d like to share our new commemorative e-book, looking at the highlights from the last 60 years of veterinary nursing and containing exclusive interviews and stories from the profession: https://t.co/H2MGFUC754 https://t.co/zpYJTT8VNf","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.765}",0.765
1472990180315389966,2021-12-20 18:00:00+00:00,"To conclude our celebration of the VN Diamond Jubilee, we’d like to share our new commemorative e-book, looking at the highlights from the last 60 years of veterinary nursing and containing exclusive interviews and stories from the profession: https://t.co/H2MGFUC754 https://t.co/5P3rxGLK3v","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.765}",0.765
1472960704189808642,2021-12-20 16:02:52+00:00,"Final call to take part in our consultation on the proposed competences, skills and professional behaviours required of newly-qualified #vetnurses. 

The deadline for all responses is 5pm on Wednesday, 22 December 2021. Find out more https://t.co/KKvhNboxfa https://t.co/7qBN2zRbG6","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1471518849795297288,2021-12-16 16:33:27+00:00,"Our Standards Committee has reinstated the temporary guidance that allows vets to prescribe remotely (at their discretion), due to rising pressures on practices from high levels of Covid-19 infection, stricter isolation rules and the threat of #Omicron https://t.co/CU789mYkF0 https://t.co/84CBpeQYgX","{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.8126}",-0.8126
1469719889304862723,2021-12-11 17:25:02+00:00,"There are just under two weeks left to take part in our consultation on the proposed competences, skills and professional behaviours required of newly-qualified #vetnurses. Find out more and take part https://t.co/KKvhNboxfa https://t.co/lxC5kGoigI","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1466784350612172801,2021-12-03 15:00:15+00:00,"If you're a student, new grad or overseas vet it's your last chance to register for next week's webinar on handling difficult situations early in your career. Featuring real-life case studies &amp; Code advice the event aims to provide guidance &amp; reassurance: https://t.co/TU5HHTVUZn https://t.co/cHC34m9wAa","{'neg': 0.053, 'neu': 0.851, 'pos': 0.096, 'compound': 0.25}",0.25
1465712376360153089,2021-11-30 16:00:36+00:00,Thank you to everyone who took the time to attend the RCVS Workforce Summit. There were some innovative and ambitious ideas put forward and we will be sharing a report from the day with you very soon. #WorkforceSummit @ViVetUK,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.8834}",0.8834
1465697252647727113,2021-11-30 15:00:31+00:00,We’re excited to now hear the ideas people have developed from the Summit - Delegates are pitching their solutions to the workforce challenges. #WorkforceSummit @ViVetUK,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.5267}",0.5267
1465640517715255297,2021-11-30 11:15:04+00:00,"Throughout today, delegates will be using innovative ‘design thinking’ to come up with ideas to solve the workforce challenges the profession is facing and pitch them to the Summit audience to decide how to take these forward. #WorkforceSummit @ViVetUK https://t.co/DgdqyZapXY","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.6124}",0.6124
