id,created_at,text,scores,compound
1477973308217901056,2022-01-03 12:01:10+00:00,"New year, new challenge! Just 3 days left to apply to be on our new Equity, Diversity &amp; Belonging Committee. 

@AlexMacKenzie11 says: 'We aim to create a profession that welcomes everyone, values diversity &amp; influences changes within wider society too.' https://t.co/YbsRDuFKsi","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.7959}",0.7959
1477218039661834240,2022-01-01 10:00:00+00:00,"What are your New Year's resolutions and hopes for the physiotherapy profession in 2022?

We asked some of our members to let us know what changes they'd like to see - and we'd love to hear your thoughts too ⬇️

Feat. @Emaroids1 @BhanuPhysio @SammyGibson29 https://t.co/CZBCYUMwgY","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8591}",0.8591
1477212926079606788,2022-01-01 09:39:41+00:00,Congratulations to Dr Rhoda Allison on her MBE for services to physiotherapy in the #NewYearsHonours! Rhoda is Associate Director of Nursing and Professional Practice @TorbaySDevonNHS @rhodaallison10,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.636}",0.636
1473998592402759685,2021-12-23 12:47:04+00:00,"'We would publicly oppose any proposal which we believed would give the government wider powers to deprive people of their British citizenship' 

- @AlexMacKenzie11, CSP Council Chair, speaks out on the Nationality and Borders Bill.

Read full statement: https://t.co/aMwi1VSvSA","{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.4767}",-0.4767
1473918798394638337,2021-12-23 07:30:00+00:00,"Which colleagues would you like to say thank you to this year? 

Here’s our second video of members who starred in Frontline this year sharing their thoughts. 

Thank you to all our members for their enduring hard work and commitment in 2021. 

@Emaroids1 
@TheACPRC https://t.co/bLMjb57nJa","{'neg': 0.026, 'neu': 0.732, 'pos': 0.242, 'compound': 0.8885}",0.8885
1473335755317592067,2021-12-21 16:53:11+00:00,"Who would you like to say thank you to this year? 

We asked some of our CSP members, who have starred in Frontline this year, to share their thoughts - and we'd love to hear yours too.

Featuring: 
@SammyGibson29
@BhanuPhysio  
@physioarmstrong https://t.co/t9r8YAwziQ","{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.886}",0.886
1473292254622228494,2021-12-21 14:00:20+00:00,"New measures on safe use of ultrasound gel from 22 Jan after bacteria outbreak prompts National Patient Safety Alert.

Full story: https://t.co/D7vg70D3az","{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.7845}",0.7845
1472205191529340928,2021-12-18 14:00:44+00:00,"At the end of UK Disability History Month, @cspdisability talk disability awareness

https://t.co/AOkJZ8YdDs

Find out more and get involved: https://t.co/FhQjlfIDfj","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1471812558831112195,2021-12-17 12:00:33+00:00,"Marking the end of UK Disability History Month, @cspdisability discuss reasonable adjustments in the workplace

https://t.co/UioSBrsTPJ

Find out more &amp; get involved: https://t.co/FhQjlfIDfj","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1471528052039593985,2021-12-16 17:10:01+00:00,"We are looking forward to @ashjamesphysio  joining us next year!

Find out more: https://t.co/3M2ru9o779","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1471092908208136199,2021-12-15 12:20:55+00:00,"‘We are disappointed Parliament didn't listen to the genuine concerns raised by ourselves &amp; many other organisations. But now this is law we will focus on advising members who have difficulty accessing vaccinations or who have concerns.’

Find out more: https://t.co/sUxQRfMQxU","{'neg': 0.117, 'neu': 0.883, 'pos': 0.0, 'compound': -0.631}",-0.631
1471028876717572103,2021-12-15 08:06:29+00:00,"Thread on the latest set of anti-union rules, put forward by government this week https://t.co/r8RIsHwmFG","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1470393557185961986,2021-12-13 14:01:57+00:00,"If you want to promote equity, diversity &amp; belonging in the physiotherapy profession, we need you!

Help us shape the future of the CSP &amp; develop the profession. 

Apply now for a place on the new Equity, Diversity and Belonging Committee.

Find out more: https://t.co/YbsRDuFKsi","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.7088}",0.7088
1468904038423048198,2021-12-09 11:23:08+00:00,"Read this thread for comments from @natbeswetherick and other health leaders about why we're supporting this important guidance from @ABPI_UK 

More information here: https://t.co/7hLYUchQKK https://t.co/C2i3Cd1q4D","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5994}",0.5994
1468252939554852871,2021-12-07 16:15:54+00:00,"""Playing shops needs to go and integrating across acute, community, primary and social care needs to be the norm"" 

- the CSP's @RobYeldham on why ending the NHS market in England is the right thing for healthcare and for our members.

Full story: https://t.co/VVZZ9Adg7G","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.6124}",0.6124
1467781019772370945,2021-12-06 09:00:39+00:00,"For our organisation to be successful, we need to work with the most talented &amp; diverse people. 

Varied experiences, knowledge &amp; perspectives are vital. 

We are now recruiting for our first Equity, Diversity and Belonging Committee. 

Find out more: https://t.co/YbsRDuFKsi","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.8622}",0.8622
1466663538240409600,2021-12-03 07:00:11+00:00,"🦋#Physio22 call for abstract reviewers is open! 

🌱This important volunteer role is great for your CPD and helps us create a high quality conference programme.

▶️Take the opportunity to contribute and get involved with PUK22 now. ⏬
Find out more: https://t.co/gQtBH4yWqL https://t.co/mihLVX4TTe","{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.9134}",0.9134
1466403076550672387,2021-12-02 13:45:12+00:00,"You shouldn't be forced to choose between your health or job when pregnant. 

We join @MaternityAction's call on government to urgently review workplace health &amp; safety rules during pregnancy 

#unsafeandunsupported

Stat from new report: https://t.co/r6RMVrNbY7 https://t.co/d8ntuWkXj7","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7565}",0.7565
1465980408231833602,2021-12-01 09:45:40+00:00,"Fundamental principles of practice - 10 key professional advice resources 

https://t.co/8MDtd3Az3G","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1465727626644004879,2021-11-30 17:01:12+00:00,"CSP members &amp; other AHPs can attend a free ‘MS Teams Live’ webinar tomorrow (from 12pm–1pm), to learn more about NHS England’s Greener Allied Health Professional hub and Walking Aids Reuse.

See the poster below for more details.

And to attend just visit: https://t.co/R9Nf5n5AKB https://t.co/BnvxhrQPiq","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.5106}",0.5106
1465682097897680912,2021-11-30 14:00:17+00:00,"The pandemic has accelerated the use of digital learning within pre-reg education, what has worked well and what hasn’t. 

Share your views at the next #KNOWBEST crowdsourcing webinar, on 1 December 7-8pm. 

Register your place: https://t.co/jOeuhQXwbO https://t.co/vlUfA7NGHI","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.5106}",0.5106
1465637577491456009,2021-11-30 11:03:23+00:00,"Watch the new #MakeYourMove video series, from the charities behind #WeAreUndefeatable, specifically designed for people with long-term health conditions to keep active. https://t.co/DHRUhaKTz8","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.7096}",0.7096
