id,label,created_at,text,scores,compound
1460294399435362313,neg,2021-11-15 17:11:30+00:00,@henryellison30 @MisterABK @AliPlumb -_- I hate that you’re not wrong… I’ve only just been able to emerge from my summer hibernation,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.5719}",-0.5719
1393853503257432066,neg,2021-05-16 08:59:06+00:00,"@EviPoimenidi @chebbes Is this a kind of thing that exception reporting would be useful for? I know it’s not the ‘ideal’ mechanism. But if you’re working overtime due to things outside your control, isn’t that what it’s there for?","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.3204}",0.3204
1329198156849029127,pos,2020-11-18 23:01:50+00:00,"@henlog1990 It’s the ‘Donald trump is a genius, that’s what the j is for’ that just tops it all off","{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5106}",0.5106
1230034860292628480,neg,2020-02-19 07:42:18+00:00,"@UKANRO hi, I’m having issues getting to the application form for st3, I keep getting server issues and errors from yesterday. How can I sort this?","{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.34}",-0.34
976075557975797761,neu,2018-03-20 12:38:42+00:00,Neater version https://t.co/1ic9GUD4Pg,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.25}",0.25
976070961094123521,neu,2018-03-20 12:20:26+00:00,Careers day 2 days later https://t.co/ZIuVsMu8HK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
886827845384884225,neu,2017-07-17 06:00:09+00:00,"@BBCTomFeilden @BBCr4today 6 weights, 20, 10, 5,3,2,1. Goes up to 41kg too!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
852259870351011840,pos,2017-04-12 20:39:21+00:00,"@truGym Hi, wondering if you have a gym in Leicester/if there are any plans for one? Thanks","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404
698272505841197056,neu,2016-02-12 22:28:33+00:00,@TheLastLeg #dickoftheyear - jeremy hunt - just the name...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
565117255332397056,neu,2015-02-10 11:57:07+00:00,#F1careers http://t.co/JSKSUdLSSu,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
485554531456274432,neg,2014-07-05 22:43:16+00:00,C'mon Holland!! Don't be English and fail on penalties #NEDvsCRC,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.6229}",-0.6229
466543567117496322,neu,2014-05-14 11:40:29+00:00,@virginmedia all sorted thanks :),"{'neg': 0.0, 'neu': 0.337, 'pos': 0.663, 'compound': 0.7096}",0.7096
466334187545706497,pos,2014-05-13 21:48:29+00:00,"@GroovesharkHelp back online, thank you!","{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.4199}",0.4199
466333076105482241,pos,2014-05-13 21:44:04+00:00,"@GroovesharkHelp thats ok, it works fine on a mobile device and the page sorta loads on a VPN too... Im with @virginmedia btw","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.4588}",0.4588
466331857051983872,neg,2014-05-13 21:39:13+00:00,"@GroovesharkHelp down for me too..checked chrome for update, cleared cache and removed extensions. not down on phone tho - ISP blocked?","{'neg': 0.098, 'neu': 0.837, 'pos': 0.065, 'compound': -0.1779}",-0.1779
445664053533630464,pos,2014-03-17 20:52:45+00:00,Celebrating St.Patricks properly... http://t.co/2EEPLViPbS,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719
285871121922936833,neg,2012-12-31 22:12:41+00:00,Oh dear god #fartoodrunk,"{'neg': 0.0, 'neu': 0.299, 'pos': 0.701, 'compound': 0.5719}",0.5719
256395812253364224,neg,2012-10-11 14:08:19+00:00,Has just seen a 2 year old with an ear piercing and a star shaved into their head...#greatparenting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
255955816178393088,pos,2012-10-10 08:59:56+00:00,"Have gone to special school today, have already seen some very interesting things and had my perceptions of disability shifted!","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.7171}",0.7171
255254435243118594,neg,2012-10-08 10:32:54+00:00,Left in a hurry this morning to get to mansfield only to find out... No physiotherapy patients today. #annoying,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",-0.296
243691574075203584,pos,2012-09-06 12:46:13+00:00,@hosepope1991 why hello there! You may be seeing me sooner than you think.. 3.20 today or possibly tomorrow! X,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
243585560772501504,pos,2012-09-06 05:44:57+00:00,I love Dropbox because of the device interconnectivity and the ease of storing data. its just so good! http://t.co/eGXvxNl8,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.8941}",0.8941
